#,WCAid,Nome,Oro,Argento,Bronzo,Totale
1,2014MAUR06,Lorenzo Mauro,181,131,80,392
2,2009ROTA01,Marco Rota,61,84,97,242
3,2007POLI01,Lorenzo Vigani Poli,50,77,99,226
4,2021MARI04,Paolo Marino,107,63,51,221
5,2016GAMM01,Vincenzo Maria Gammino,92,65,55,212
6,2019SART01,Daniel Sartori,81,77,50,208
7,2009MORI05,Paolo Moriello,67,76,48,191
8,2012NICO02,Alessandro Nicolì,32,58,79,169
9,2011TRON02,Sebastiano Tronto,80,51,36,167
10,2013FURL01,Mattia Furlan,113,28,22,163
11,2009CONT01,Giovanni Contardi,70,38,43,151
12,2018RIMI01,Flavio Rimi,57,44,45,146
13,2017DUMM01,Matteo Dummar,49,50,46,145
14,2018LOCA01,Valerio Locatelli,76,31,25,132
15,2018CENT02,Giovanni Centili,44,50,37,131
16,2009IOVA01,Massimiliano Iovane,66,40,22,128
17,2009DIMP01,Mariano D'Imperio,36,44,47,127
18,2008CIRN01,Fabrizio Cirnigliaro,61,37,21,119
19,2019CORO04,Giacomo Daniele Corò,40,32,41,113
20,2021SALE01,Sofia Saletnich,27,31,47,105
21,2017BRAS01,Luca Brasini,24,37,35,96
22,2009PROV01,Matteo Provasi,15,33,40,88
23,2008SIMO01,Riccardo Simone,23,33,29,85
24,2021ZANG01,Alessandro Zangolini,16,27,38,81
25,2009SANT01,Simone Santarsiero,29,28,21,78
26,2009COLO03,Matteo Colombo,40,21,16,77
27,2013MANO03,Alessandro Manopulo,25,31,21,77
28,2013DISA01,Edoardo Disarò,20,28,29,77
29,2008BRAN01,Filippo Brancaleoni,21,26,28,75
30,2021CALZ01,Alessandro Calzoni,45,14,14,73
31,2012CAPP01,Gabriele Cappelletti,7,31,34,72
32,2020TOMA01,Fabian Tomasović,8,20,39,67
33,2022RIPO01,Riccardo Ripoldi,31,22,12,65
34,2019GIOR02,Marco Giordano,20,26,19,65
35,2019RIGO01,Mattia Rigo,40,15,7,62
36,2018ARNE04,Davide Arnesano,23,16,23,62
37,2012CANT02,Simone Cantarelli,3,14,44,61
38,2021PARO01,Matteo Parodi,15,25,16,56
39,2011BARB03,Nicola Barbaro,22,19,11,52
40,2009BEVA01,Stefano Bevacqua,12,18,20,50
41,2017TENU01,Enrico Tenuti,12,14,22,48
42,2010SARD01,Andrea Lo Sardo,12,12,23,47
43,2014RAPO01,Tommaso Raposio,9,16,21,46
44,2022MANT03,Alberto Mantovani,2,18,25,45
45,2011ANNE01,Edoardo Annesi,17,13,14,44
46,2015FAVA01,Alessandro Fava,14,17,13,44
47,2022CORB03,Leonardo Corbelli,10,15,17,42
48,2012PLAC01,Gianluca Placenti,13,14,14,41
49,2022MACC01,Evan Maccagnan,9,12,20,41
50,2016GASP01,Pietro Gasparetto,7,17,16,40
51,2015MANN02,Marco Manno,11,15,12,38
52,2016PAOL01,Damiano Di Paola,7,17,14,38
53,2021NARB01,Dario Angelo Narbone,6,18,9,33
54,2018RICC02,Alessandro Ricci,22,3,7,32
55,2021MARC03,Chiara Marcucci,8,12,12,32
56,2008SIMO02,Nicolò Simone,6,15,10,31
57,2023CREA02,Christian Crea,4,14,13,31
58,2024RICC01,Riccardo Fiumefreddo,11,12,7,30
59,2021PAND01,Alessio Pandin,5,13,10,28
60,2022CHIA12,Ismaele Chiarella,14,5,8,27
61,2011MONT02,Kevin Montano,11,5,10,26
62,2021ITAL02,Manfredi Italiano,10,5,10,25
63,2008ZOFF01,Tommaso Zoffoli,4,10,10,24
64,2023EMIL02,Matteo Emiliani,7,7,9,23
65,2009TESS01,Giovanni Tessari,5,8,9,22
66,2020GUAR01,Marco Guarasci,4,5,13,22
67,2010BELO01,Marco Belotti,8,11,2,21
68,2014BENT02,Roberto Bentivoglio,3,10,8,21
69,2015PERU02,Vittorio Maria Perucatti,1,10,10,21
70,2009CIAN01,Simone Ciancotti,4,6,9,19
71,2014BACC01,Gabriele Bacchieri,7,5,6,18
72,2015CITT01,Marco Edoardo Cittar,5,7,6,18
73,2009KASE02,Christian Kaserer,3,3,12,18
74,2014MARC05,Leonardo Marchizza,10,5,2,17
75,2022RANN01,Rocco Rannisi,2,9,6,17
76,2015BOND02,Marianna Bondi,7,5,4,16
77,2021NOVI01,Alessia Novizio,3,7,6,16
78,2008SANT01,Andrea Santambrogio,11,3,1,15
79,2023DANT01,Michel D'Antoni,6,6,3,15
80,2022TALA03,Valentina Trinca Talalin,4,6,5,15
81,2023CARO07,Leonardo Carosio,5,4,5,14
82,2022BOLD01,Loris Boldi,5,2,7,14
