#,WCAid,Nome,Oro,Argento,Bronzo,Totale
1,2014MAUR06,Lorenzo Mauro,3,2,0,5
2,2009IOVA01,Massimiliano Iovane,2,2,0,4
3,2007CHIM01,Giulio Chiminelli,2,0,0,2
,2010SARD01,Andrea Lo Sardo,2,0,0,2
5,2009DIMP01,Mariano D'Imperio,1,2,0,3
6,2021PARO01,Matteo Parodi,1,1,1,3
7,2009CONT01,Giovanni Contardi,1,1,0,2
,2019MAZZ01,Nicola Mazza,1,1,0,2
9,2009MACR01,Davide Macri,1,0,1,2
,2011ANNE01,Edoardo Annesi,1,0,1,2
,2017PIER03,Davide Pierrat,1,0,1,2
,2019GIOR02,Marco Giordano,1,0,1,2
13,2007POLI01,Lorenzo Vigani Poli,0,2,1,3
14,2016FURB01,Pietro Furbatto,0,1,1,2
15,2009CIAN01,Simone Ciancotti,0,1,0,1
,2012CAPP01,Gabriele Cappelletti,0,1,0,1
,2013DISA01,Edoardo Disarò,0,1,0,1
,2015MANN02,Marco Manno,0,1,0,1
,2021ZANG01,Alessandro Zangolini,0,1,0,1
20,2008SIMO02,Nicolò Simone,0,0,2,2
,2018CENT02,Giovanni Centili,0,0,2,2
22,2006BINE01,Matteo Binello,0,0,1,1
,2008BRAN01,Filippo Brancaleoni,0,0,1,1
,2008FELI03,Luca Feliciotto,0,0,1,1
,2009PROV01,Matteo Provasi,0,0,1,1
,2011TRON02,Sebastiano Tronto,0,0,1,1
,2017SANN01,Valerio Sannito,0,0,1,1
