#,WCAid,Nome,Oro,Argento,Bronzo,Totale
1,2011TRON02,Sebastiano Tronto,5,1,0,6
2,2014RAPO01,Tommaso Raposio,2,3,1,6
3,2007POLI01,Lorenzo Vigani Poli,1,4,2,7
4,2017FOKI01,Alexandros Fokianos,1,1,1,3
5,2017TENU01,Enrico Tenuti,1,1,0,2
6,2008BRAN01,Filippo Brancaleoni,1,0,0,1
,2008MONT04,Andrea Egidio Monti,1,0,0,1
,2009MORI05,Paolo Moriello,1,0,0,1
,2012NICO02,Alessandro Nicolì,1,0,0,1
10,2014MAUR06,Lorenzo Mauro,0,1,2,3
11,2008SIMO02,Nicolò Simone,0,1,0,1
,2009DIMP01,Mariano D'Imperio,0,1,0,1
,2011IRAC01,Alessandro Iraci,0,1,0,1
,2012CAPP01,Gabriele Cappelletti,0,1,0,1
,2013DISA01,Edoardo Disarò,0,1,0,1
,2014CORS01,Costantino Corsi,0,1,0,1
17,2009ROTA01,Marco Rota,0,0,2,2
18,2009COLO03,Matteo Colombo,0,0,1,1
,2009GIOB01,Piermarco Giobbi,0,0,1,1
,2009IOVA01,Massimiliano Iovane,0,0,1,1
,2009LEVR01,Marco Levrero,0,0,1,1
,2014BENT01,Claudio Bentivoglio,0,0,1,1
,2014BORG02,Federico Borgogni,0,0,1,1
,2016GAMM01,Vincenzo Maria Gammino,0,0,1,1
