#,WCAid,Nome,Evento,Anno,Oro,Argento,Bronzo,Totale
1,2021MARI04,Paolo Marino,clock,2025,16,3,1,20
2,2016GAMM01,Vincenzo Maria Gammino,777,2024,15,3,4,22
3,2018LOCA01,Valerio Locatelli,333,2024,14,4,0,18
4,2019CORO04,Giacomo Daniele Corò,444,2024,14,0,0,14
5,2019SART01,Daniel Sartori,333,2023,13,10,1,24
6,2021MARI04,Paolo Marino,666,2024,13,2,1,16
7,2018LOCA01,Valerio Locatelli,333,2023,12,3,2,17
8,2016GAMM01,Vincenzo Maria Gammino,777,2025,12,3,0,15
9,2019SART01,Daniel Sartori,555,2024,11,8,0,19
10,2016GAMM01,Vincenzo Maria Gammino,666,2024,11,3,2,16
11,2019RIGO01,Mattia Rigo,333bf,2024,11,1,0,12
,2018LOCA01,Valerio Locatelli,333oh,2024,11,1,0,12
13,2018LOCA01,Valerio Locatelli,333,2025,11,0,1,12
14,2019SART01,Daniel Sartori,333,2024,10,9,4,23
15,2016GAMM01,Vincenzo Maria Gammino,777,2023,10,3,1,14
16,2021MARI04,Paolo Marino,777,2024,10,3,0,13
17,2021CALZ01,Alessandro Calzoni,minx,2024,10,1,0,11
18,2021CALZ01,Alessandro Calzoni,minx,2025,10,0,0,10
19,2019SART01,Daniel Sartori,555,2025,9,7,1,17
20,2021MARI04,Paolo Marino,555,2024,9,6,3,18
21,2021MARI04,Paolo Marino,555,2025,9,4,0,13
22,2019CORO04,Giacomo Daniele Corò,444,2023,9,3,3,15
23,2021MARI04,Paolo Marino,666,2025,9,2,1,12
24,2008CIRN01,Fabrizio Cirnigliaro,333mbf,2011,9,2,0,11
,2014MAUR06,Lorenzo Mauro,222,2018,9,2,0,11
26,2014MAUR06,Lorenzo Mauro,pyram,2017,9,1,0,10
,2014MAUR06,Lorenzo Mauro,333bf,2018,9,1,0,10
28,2019SART01,Daniel Sartori,333,2025,8,8,2,18
29,2021MARC03,Chiara Marcucci,333fm,2025,8,4,2,14
30,2017DUMM01,Matteo Dummar,clock,2022,8,4,1,13
,2021MARI04,Paolo Marino,clock,2024,8,4,1,13
32,2021MARI04,Paolo Marino,clock,2023,8,2,3,13
