#,WCAid,Nome,Oro,Argento,Bronzo,Totale
1,2009IOVA01,Massimiliano Iovane,5,4,4,13
2,2008BRAN01,Filippo Brancaleoni,4,3,2,9
3,2008SIMO01,Riccardo Simone,4,1,1,6
4,2009SANT01,Simone Santarsiero,2,2,1,5
5,2007POLI01,Lorenzo Vigani Poli,1,5,4,10
6,2009CONT01,Giovanni Contardi,1,1,1,3
7,2007CHIM01,Giulio Chiminelli,1,0,1,2
,2009GAGG02,Andrea Gaggioli,1,0,1,2
,2009LUNA01,Luigi Lunardon,1,0,1,2
10,2008LOMB01,Pasquale Lombardozzi,1,0,0,1
,2009CIAN01,Simone Ciancotti,1,0,0,1
12,2009DIMP01,Mariano D'Imperio,0,3,5,8
13,2009MACR01,Davide Macri,0,2,0,2
14,2009MORI05,Paolo Moriello,0,1,1,2
15,2009BOSI01,Isabella Bosia,0,1,0,1
,2009GLIO01,Alfredo Glioti,0,1,0,1
,2009LEVR01,Marco Levrero,0,1,0,1
18,2008ROSS01,Paolo Rosson,0,0,2,2
,2009BEVA01,Stefano Bevacqua,0,0,2,2
20,2008CIRN01,Fabrizio Cirnigliaro,0,0,1,1
,2009CAIM01,Danilo Caimano,0,0,1,1
,2009COLO03,Matteo Colombo,0,0,1,1
,2009MUSC01,Gianluca Muscò,0,0,1,1
,2009SOAR01,Giosuè Soardo,0,0,1,1
