#,WCAid,Nome,Oro,Argento,Bronzo,Totale
1,2011TRON02,Sebastiano Tronto,19,6,5,30
2,2017TENU01,Enrico Tenuti,10,2,4,16
3,2016GAMM01,Vincenzo Maria Gammino,8,10,7,25
4,2021MARC03,Chiara Marcucci,8,9,6,23
5,2009ROTA01,Marco Rota,8,4,4,16
6,2014RAPO01,Tommaso Raposio,7,8,5,20
7,2007POLI01,Lorenzo Vigani Poli,5,7,8,20
8,2012NICO02,Alessandro Nicolì,4,2,3,9
9,2012CAPP01,Gabriele Cappelletti,3,4,4,11
10,2014MAUR06,Lorenzo Mauro,2,10,5,17
11,2009COLO03,Matteo Colombo,2,2,1,5
12,2009MORI05,Paolo Moriello,2,1,3,6
13,2021NARB01,Dario Angelo Narbone,2,1,0,3
14,2008BRAN01,Filippo Brancaleoni,2,0,1,3
,2013DISA01,Edoardo Disarò,2,0,1,3
16,2017FOKI01,Alexandros Fokianos,1,1,1,3
17,2008SIMO02,Nicolò Simone,1,1,0,2
,2010SARD01,Andrea Lo Sardo,1,1,0,2
,2017DUMM01,Matteo Dummar,1,1,0,2
20,2009SANT01,Simone Santarsiero,1,0,2,3
21,2019GIOR02,Marco Giordano,1,0,1,2
22,2008MONT04,Andrea Egidio Monti,1,0,0,1
,2009CONT01,Giovanni Contardi,1,0,0,1
,2009LEVR01,Marco Levrero,1,0,0,1
,2011MONT02,Kevin Montano,1,0,0,1
,2016SPED01,Gabriele Spedicato,1,0,0,1
,2017BRAS01,Luca Brasini,1,0,0,1
,2018CENT02,Giovanni Centili,1,0,0,1
,2020TOMA01,Fabian Tomasović,1,0,0,1
,2022MACC01,Evan Maccagnan,1,0,0,1
31,2009DIMP01,Mariano D'Imperio,0,2,2,4
,2009IOVA01,Massimiliano Iovane,0,2,2,4
33,2009PROV01,Matteo Provasi,0,2,1,3
,2016PAOL01,Damiano Di Paola,0,2,1,3
35,2012CANT02,Simone Cantarelli,0,2,0,2
,2015MANN02,Marco Manno,0,2,0,2
37,2016GASP01,Pietro Gasparetto,0,1,1,2
,2018ADAM13,Davide Adamo,0,1,1,2
39,2009CIAN01,Simone Ciancotti,0,1,0,1
,2010BELO01,Marco Belotti,0,1,0,1
,2014COLI02,Gianluca Colizzi,0,1,0,1
,2019CORO04,Giacomo Daniele Corò,0,1,0,1
,2019RIGO01,Mattia Rigo,0,1,0,1
,2021MARI04,Paolo Marino,0,1,0,1
45,2012MAZZ02,Matteo Mazzini,0,0,2,2
,2012PICC01,Angelo Piccolella,0,0,2,2
,2020GUAR01,Marco Guarasci,0,0,2,2
,2024PERD01,Alessia Perdichizzi,0,0,2,2
49,2009LUNA01,Luigi Lunardon,0,0,1,1
,2010CHAN14,Letian Mattia Chang,0,0,1,1
,2011IRAC01,Alessandro Iraci,0,0,1,1
,2014BENT02,Roberto Bentivoglio,0,0,1,1
,2014CORS01,Costantino Corsi,0,0,1,1
,2016RACI03,Riccardo Raciti,0,0,1,1
,2018PERE31,Mattia Perego,0,0,1,1
,2021ITAL02,Manfredi Italiano,0,0,1,1
,2021PARO01,Matteo Parodi,0,0,1,1
,2022FUSE01,Daniele Fusella,0,0,1,1
,2023NOVI01,Enrico Noviglio,0,0,1,1
,2025CHIA03,Aidan Chiari,0,0,1,1
