#,WCAid,Nome,Oro,Argento,Bronzo,Totale
1,2009ROTA01,Marco Rota,7,0,1,8
2,2009DIMP01,Mariano D'Imperio,2,2,2,6
,2011BARB03,Nicola Barbaro,2,2,2,6
4,2013MANO03,Alessandro Manopulo,1,1,0,2
5,2011GALA01,Filippo Galasso,1,0,0,1
6,2009SANT01,Simone Santarsiero,0,6,1,7
7,2017DUMM01,Matteo Dummar,0,1,1,2
8,2014MAUR06,Lorenzo Mauro,0,1,0,1
9,2010PAUL02,Cesare Paulin,0,0,2,2
10,2009CAIM01,Danilo Caimano,0,0,1,1
,2009COLO03,Matteo Colombo,0,0,1,1
,2012MAZZ02,Matteo Mazzini,0,0,1,1
,2012NICO02,Alessandro Nicolì,0,0,1,1
