#,WCAid,Nome,Anno,Oro,Argento,Bronzo,Totale
1,2008CIRN01,Fabrizio Cirnigliaro,2011,9,2,0,11
2,2019RIGO01,Mattia Rigo,2023,5,1,0,6
3,2008CIRN01,Fabrizio Cirnigliaro,2012,5,0,0,5
,2008CIRN01,Fabrizio Cirnigliaro,2013,5,0,0,5
5,2019RIGO01,Mattia Rigo,2024,4,3,0,7
,2022RIPO01,Riccardo Ripoldi,2024,4,3,0,7
7,2008CIRN01,Fabrizio Cirnigliaro,2010,4,1,1,6
8,2008CIRN01,Fabrizio Cirnigliaro,2014,3,1,0,4
9,2014MAUR06,Lorenzo Mauro,2018,3,0,0,3
10,2009LEVR01,Marco Levrero,2010,2,1,0,3
,2007POLI01,Lorenzo Vigani Poli,2015,2,1,0,3
,2014MAUR06,Lorenzo Mauro,2019,2,1,0,3
,2014MAUR06,Lorenzo Mauro,2023,2,1,0,3
14,2007POLI01,Lorenzo Vigani Poli,2016,2,0,3,5
15,2014MAUR06,Lorenzo Mauro,2022,1,2,0,3
,2022RIPO01,Riccardo Ripoldi,2025,1,2,0,3
17,2008CIRN01,Fabrizio Cirnigliaro,2015,1,1,2,4
,2014MAUR06,Lorenzo Mauro,2024,1,1,2,4
19,2009BOSI01,Isabella Bosia,2010,1,1,1,3
20,2014BENT02,Roberto Bentivoglio,2014,1,1,0,2
,2014BENT02,Roberto Bentivoglio,2015,1,1,0,2
,2009ROTA01,Marco Rota,2024,1,1,0,2
,2022MACC01,Evan Maccagnan,2024,1,1,0,2
24,2007POLI01,Lorenzo Vigani Poli,2018,1,0,4,5
25,2007POLI01,Lorenzo Vigani Poli,2017,1,0,1,2
,2015CITT01,Marco Edoardo Cittar,2017,1,0,1,2
,2021PAND01,Alessio Pandin,2023,1,0,1,2
,2022CHIA04,Luca Chiandotto,2024,1,0,1,2
,2021PAND01,Alessio Pandin,2025,1,0,1,2
30,2009CIAN01,Simone Ciancotti,2009,1,0,0,1
,2009DIMP01,Mariano D'Imperio,2010,1,0,0,1
,2010BELO01,Marco Belotti,2011,1,0,0,1
,2011MONT02,Kevin Montano,2013,1,0,0,1
,2012PLAC01,Gianluca Placenti,2015,1,0,0,1
,2011TRON02,Sebastiano Tronto,2016,1,0,0,1
,2015CITT01,Marco Edoardo Cittar,2016,1,0,0,1
,2012PLAC01,Gianluca Placenti,2022,1,0,0,1
,2018CENT02,Giovanni Centili,2023,1,0,0,1
,2019RIGO01,Mattia Rigo,2025,1,0,0,1
,2022SCHI01,Giacomo Schiava,2025,1,0,0,1
,2023DANT01,Michel D'Antoni,2025,1,0,0,1
42,2008CIRN01,Fabrizio Cirnigliaro,2016,0,4,1,5
43,2009DIMP01,Mariano D'Imperio,2011,0,4,0,4
44,2017DUMM01,Matteo Dummar,2023,0,2,1,3
45,2007POLI01,Lorenzo Vigani Poli,2013,0,2,0,2
,2014MAUR06,Lorenzo Mauro,2017,0,2,0,2
,2019RIGO01,Mattia Rigo,2022,0,2,0,2
,2017TENU01,Enrico Tenuti,2025,0,2,0,2
49,2011TRON02,Sebastiano Tronto,2011,0,1,1,2
,2018CENT02,Giovanni Centili,2022,0,1,1,2
,2022RIPO01,Riccardo Ripoldi,2023,0,1,1,2
,2024MESR01,Yassine Mesraoui,2024,0,1,1,2
,2024MESR01,Yassine Mesraoui,2025,0,1,1,2
54,2009BOSI01,Isabella Bosia,2009,0,1,0,1
,2009CAIM01,Danilo Caimano,2010,0,1,0,1
,2010MAZZ02,Marco Mazzuoccolo,2010,0,1,0,1
,2009BEVA01,Stefano Bevacqua,2011,0,1,0,1
,2009BOSI01,Isabella Bosia,2011,0,1,0,1
,2010MAYE01,Michael Volpe Mayerle,2011,0,1,0,1
,2009ROTA01,Marco Rota,2012,0,1,0,1
,2011GALA01,Filippo Galasso,2012,0,1,0,1
,2011MOSC01,Andrea Moscatello,2012,0,1,0,1
,2011TRON02,Sebastiano Tronto,2012,0,1,0,1
,2009COLO03,Matteo Colombo,2013,0,1,0,1
,2010BELO01,Marco Belotti,2013,0,1,0,1
,2012PLAC01,Gianluca Placenti,2013,0,1,0,1
,2007POLI01,Lorenzo Vigani Poli,2014,0,1,0,1
,2011TRON02,Sebastiano Tronto,2014,0,1,0,1
,2011TRON02,Sebastiano Tronto,2015,0,1,0,1
,2012NICO02,Alessandro Nicolì,2015,0,1,0,1
,2014BENT02,Roberto Bentivoglio,2016,0,1,0,1
,2012PLAC01,Gianluca Placenti,2017,0,1,0,1
,2014BENT02,Roberto Bentivoglio,2017,0,1,0,1
,2012PLAC01,Gianluca Placenti,2018,0,1,0,1
,2015CITT01,Marco Edoardo Cittar,2018,0,1,0,1
,2007POLI01,Lorenzo Vigani Poli,2019,0,1,0,1
,2015CITT01,Marco Edoardo Cittar,2019,0,1,0,1
,2014MAUR06,Lorenzo Mauro,2021,0,1,0,1
,2017DUMM01,Matteo Dummar,2022,0,1,0,1
,2012PLAC01,Gianluca Placenti,2023,0,1,0,1
,2018ARNE04,Davide Arnesano,2023,0,1,0,1
,2022MACC01,Evan Maccagnan,2023,0,1,0,1
,2016PANN02,Daniele Panna,2024,0,1,0,1
,2017DUMM01,Matteo Dummar,2024,0,1,0,1
