#,WCAid,Nome,Anno,Oro,Argento,Bronzo,Totale
1,2018LOCA01,Valerio Locatelli,2024,11,1,0,12
2,2018LOCA01,Valerio Locatelli,2023,6,1,2,9
3,2008SIMO01,Riccardo Simone,2010,5,1,2,8
,2014MAUR06,Lorenzo Mauro,2018,5,1,2,8
,2018LOCA01,Valerio Locatelli,2025,5,1,2,8
6,2018RIMI01,Flavio Rimi,2025,4,2,1,7
7,2009CONT01,Giovanni Contardi,2011,4,2,0,6
8,2014MAUR06,Lorenzo Mauro,2019,4,1,1,6
9,2011BARB03,Nicola Barbaro,2015,4,1,0,5
10,2009PROV01,Matteo Provasi,2014,3,1,1,5
,2011TRON02,Sebastiano Tronto,2016,3,1,1,5
,2022TALA03,Valentina Trinca Talalin,2025,3,1,1,5
13,2009DIMP01,Mariano D'Imperio,2016,3,0,1,4
,2009IOVA01,Massimiliano Iovane,2019,3,0,1,4
15,2009MORI05,Paolo Moriello,2012,2,3,1,6
16,2017BRAS01,Luca Brasini,2022,2,2,1,5
17,2009CONT01,Giovanni Contardi,2010,2,2,0,4
,2021CALZ01,Alessandro Calzoni,2025,2,2,0,4
,2021SALE01,Sofia Saletnich,2025,2,2,0,4
20,2009IOVA01,Massimiliano Iovane,2010,2,1,1,4
21,2009IOVA01,Massimiliano Iovane,2011,2,1,0,3
,2009IOVA01,Massimiliano Iovane,2014,2,1,0,3
,2011TRON02,Sebastiano Tronto,2014,2,1,0,3
24,2008SIMO01,Riccardo Simone,2011,2,0,1,3
,2011BARB03,Nicola Barbaro,2014,2,0,1,3
,2018LOCA01,Valerio Locatelli,2022,2,0,1,3
27,2009IOVA01,Massimiliano Iovane,2012,2,0,0,2
,2011BARB03,Nicola Barbaro,2013,2,0,0,2
,2011TRON02,Sebastiano Tronto,2017,2,0,0,2
,2013FURL01,Mattia Furlan,2019,2,0,0,2
31,2014MAUR06,Lorenzo Mauro,2017,1,4,1,6
32,2009MORI05,Paolo Moriello,2013,1,3,0,4
,2022TALA03,Valentina Trinca Talalin,2024,1,3,0,4
,2021MARI04,Paolo Marino,2025,1,3,0,4
35,2021MARI04,Paolo Marino,2024,1,2,4,7
36,2021MARI04,Paolo Marino,2023,1,2,3,6
,2021SALE01,Sofia Saletnich,2024,1,2,3,6
38,2009MORI05,Paolo Moriello,2014,1,2,2,5
39,2013FURL01,Mattia Furlan,2017,1,2,1,4
,2014RAPO01,Tommaso Raposio,2018,1,2,1,4
,2018RIMI01,Flavio Rimi,2024,1,2,1,4
42,2009CAIM01,Danilo Caimano,2010,1,2,0,3
,2009IOVA01,Massimiliano Iovane,2013,1,2,0,3
,2011TRON02,Sebastiano Tronto,2015,1,2,0,3
45,2009DIMP01,Mariano D'Imperio,2015,1,1,1,3
,2011TRON02,Sebastiano Tronto,2023,1,1,1,3
,2014MAUR06,Lorenzo Mauro,2023,1,1,1,3
,2021CALZ01,Alessandro Calzoni,2023,1,1,1,3
49,2008SIMO01,Riccardo Simone,2009,1,1,0,2
,2009IOVA01,Massimiliano Iovane,2009,1,1,0,2
,2009MACR01,Davide Macri,2011,1,1,0,2
,2008SIMO01,Riccardo Simone,2014,1,1,0,2
,2009IOVA01,Massimiliano Iovane,2018,1,1,0,2
,2011BARB03,Nicola Barbaro,2018,1,1,0,2
,2012NICO02,Alessandro Nicolì,2022,1,1,0,2
,2017BRAS01,Luca Brasini,2023,1,1,0,2
,2017BRAS01,Luca Brasini,2024,1,1,0,2
58,2009DIMP01,Mariano D'Imperio,2013,1,0,2,3
,2009CONT01,Giovanni Contardi,2014,1,0,2,3
,2013FURL01,Mattia Furlan,2016,1,0,2,3
,2014MAUR06,Lorenzo Mauro,2024,1,0,2,3
62,2008BRAN01,Filippo Brancaleoni,2013,1,0,1,2
,2009MORI05,Paolo Moriello,2015,1,0,1,2
,2013DISA01,Edoardo Disarò,2016,1,0,1,2
,2011ANNE01,Edoardo Annesi,2017,1,0,1,2
,2011ANNE01,Edoardo Annesi,2018,1,0,1,2
,2019CORO04,Giacomo Daniele Corò,2022,1,0,1,2
68,2009CAIM01,Danilo Caimano,2012,1,0,0,1
,2009CONT01,Giovanni Contardi,2013,1,0,0,1
,2011TRON02,Sebastiano Tronto,2013,1,0,0,1
,2008SIMO01,Riccardo Simone,2015,1,0,0,1
,2014ZONT01,Giorgio Zonta,2015,1,0,0,1
,2009MORI05,Paolo Moriello,2016,1,0,0,1
,2011BARB03,Nicola Barbaro,2016,1,0,0,1
,2011BARB03,Nicola Barbaro,2017,1,0,0,1
,2013FURL01,Mattia Furlan,2018,1,0,0,1
,2019GIOR02,Marco Giordano,2023,1,0,0,1
78,2011ANNE01,Edoardo Annesi,2016,0,4,1,5
79,2009PROV01,Matteo Provasi,2015,0,3,1,4
,2018RIMI01,Flavio Rimi,2023,0,3,1,4
81,2009DIMP01,Mariano D'Imperio,2017,0,3,0,3
82,2014RAPO01,Tommaso Raposio,2019,0,2,2,4
83,2009MORI05,Paolo Moriello,2011,0,2,1,3
,2012CAPP01,Gabriele Cappelletti,2018,0,2,1,3
,2012NICO02,Alessandro Nicolì,2025,0,2,1,3
86,2011TRON02,Sebastiano Tronto,2011,0,2,0,2
,2008SIMO01,Riccardo Simone,2012,0,2,0,2
,2008SANT01,Andrea Santambrogio,2014,0,2,0,2
,2009CONT01,Giovanni Contardi,2019,0,2,0,2
90,2008BRAN01,Filippo Brancaleoni,2011,0,1,3,4
,2018CENT02,Giovanni Centili,2024,0,1,3,4
92,2012CAPP01,Gabriele Cappelletti,2016,0,1,2,3
,2014MAUR06,Lorenzo Mauro,2022,0,1,2,3
,2021CALZ01,Alessandro Calzoni,2024,0,1,2,3
,2022CORB03,Leonardo Corbelli,2025,0,1,2,3
,2023BARB17,Nicolò Barbisan,2025,0,1,2,3
97,2009LEVR01,Marco Levrero,2010,0,1,1,2
,2008SIMO01,Riccardo Simone,2013,0,1,1,2
,2009PROV01,Matteo Provasi,2013,0,1,1,2
,2008BRAN01,Filippo Brancaleoni,2014,0,1,1,2
,2009PROV01,Matteo Provasi,2016,0,1,1,2
,2012CAPP01,Gabriele Cappelletti,2017,0,1,1,2
,2016PALI02,Caterina Pali,2017,0,1,1,2
,2017BRAS01,Luca Brasini,2018,0,1,1,2
,2015FAVA01,Alessandro Fava,2022,0,1,1,2
,2015FAVA01,Alessandro Fava,2023,0,1,1,2
,2019CORO04,Giacomo Daniele Corò,2024,0,1,1,2
,2021ZANG01,Alessandro Zangolini,2024,0,1,1,2
,2022MANT03,Alberto Mantovani,2024,0,1,1,2
,2015PERU02,Vittorio Maria Perucatti,2025,0,1,1,2
,2021ITAL02,Manfredi Italiano,2025,0,1,1,2
