#,WCAid,Nome,Anno,Oro,Argento,Bronzo,Totale
1,2022RIPO01,Riccardo Ripoldi,2025,5,2,0,7
2,2022RIPO01,Riccardo Ripoldi,2024,5,0,0,5
3,2008CIRN01,Fabrizio Cirnigliaro,2011,4,3,0,7
4,2014MAUR06,Lorenzo Mauro,2022,3,1,0,4
5,2014MAUR06,Lorenzo Mauro,2023,3,0,1,4
6,2008CIRN01,Fabrizio Cirnigliaro,2010,3,0,0,3
,2009COLO03,Matteo Colombo,2012,3,0,0,3
8,2008CIRN01,Fabrizio Cirnigliaro,2013,2,2,0,4
,2011TRON02,Sebastiano Tronto,2019,2,2,0,4
,2019RIGO01,Mattia Rigo,2023,2,2,0,4
11,2014MAUR06,Lorenzo Mauro,2018,2,1,0,3
,2014BACC01,Gabriele Bacchieri,2025,2,1,0,3
13,2009COLO03,Matteo Colombo,2015,2,0,1,3
14,2009COLO03,Matteo Colombo,2011,2,0,0,2
,2009COLO03,Matteo Colombo,2013,2,0,0,2
,2009COLO03,Matteo Colombo,2016,2,0,0,2
17,2008CIRN01,Fabrizio Cirnigliaro,2012,1,3,0,4
,2021PAND01,Alessio Pandin,2024,1,3,0,4
19,2014MAUR06,Lorenzo Mauro,2025,1,2,1,4
20,2008CIRN01,Fabrizio Cirnigliaro,2014,1,2,0,3
,2011TRON02,Sebastiano Tronto,2016,1,2,0,3
,2009ROTA01,Marco Rota,2023,1,2,0,3
23,2017DUMM01,Matteo Dummar,2023,1,1,3,5
24,2015CITT01,Marco Edoardo Cittar,2018,1,1,0,2
,2014MAUR06,Lorenzo Mauro,2019,1,1,0,2
,2012PLAC01,Gianluca Placenti,2022,1,1,0,2
,2011TRON02,Sebastiano Tronto,2023,1,1,0,2
,2022RIPO01,Riccardo Ripoldi,2023,1,1,0,2
,2022SOZI01,Carolina Sozio,2024,1,1,0,2
30,2012PLAC01,Gianluca Placenti,2018,1,0,1,2
,2022CHIA04,Luca Chiandotto,2023,1,0,1,2
,2018CENT02,Giovanni Centili,2024,1,0,1,2
,2018SCAL02,Claudio Fabrizio Scalia,2025,1,0,1,2
34,2009COLO03,Matteo Colombo,2014,1,0,0,1
,2011TRON02,Sebastiano Tronto,2014,1,0,0,1
,2008CIRN01,Fabrizio Cirnigliaro,2015,1,0,0,1
,2012PLAC01,Gianluca Placenti,2015,1,0,0,1
,2012PLAC01,Gianluca Placenti,2019,1,0,0,1
,2014MAUR06,Lorenzo Mauro,2021,1,0,0,1
,2021PARO01,Matteo Parodi,2023,1,0,0,1
,2014MAUR06,Lorenzo Mauro,2024,1,0,0,1
,2022SCHI01,Giacomo Schiava,2024,1,0,0,1
,2011TRON02,Sebastiano Tronto,2025,1,0,0,1
,2012ACHA01,Carlos Pedro Casado de Achával,2025,1,0,0,1
45,2008CIRN01,Fabrizio Cirnigliaro,2016,0,3,1,4
46,2017DUMM01,Matteo Dummar,2022,0,2,3,5
