#,WCAid,Nome,Oro,Argento,Bronzo,Totale
1,2008CIRN01,Fabrizio Cirnigliaro,12,6,4,22
2,2014MAUR06,Lorenzo Mauro,9,4,1,14
3,2011TRON02,Sebastiano Tronto,8,7,1,16
4,2022RIPO01,Riccardo Ripoldi,7,2,0,9
5,2009COLO03,Matteo Colombo,4,0,1,5
6,2014BACC01,Gabriele Bacchieri,3,3,2,8
7,2022CHIA04,Luca Chiandotto,2,2,0,4
8,2015CITT01,Marco Edoardo Cittar,2,1,2,5
9,2019RIGO01,Mattia Rigo,2,0,1,3
10,2012PLAC01,Gianluca Placenti,1,4,1,6
11,2017DUMM01,Matteo Dummar,1,2,2,5
12,2018SCAL02,Claudio Fabrizio Scalia,1,0,1,2
,2020GUAR01,Marco Guarasci,1,0,1,2
14,2012ACHA01,Carlos Pedro Casado de Achával,1,0,0,1
15,2021PAND01,Alessio Pandin,0,4,1,5
16,2011MONT02,Kevin Montano,0,1,0,1
,2012NICO02,Alessandro Nicolì,0,1,0,1
,2016PANN02,Daniele Panna,0,1,0,1
,2018ARNE04,Davide Arnesano,0,1,0,1
,2019GIAN04,Eleonora Giangrandi,0,1,0,1
,2022LODA01,Nicolo David Lodato,0,1,0,1
,2022SCHI01,Giacomo Schiava,0,1,0,1
23,2022MACC01,Evan Maccagnan,0,0,2,2
24,2009ROTA01,Marco Rota,0,0,1,1
,2019GIOR02,Marco Giordano,0,0,1,1
