#,WCAid,Nome,Anno,Oro,Argento,Bronzo,Totale
1,2021MARI04,Paolo Marino,2024,13,2,1,16
2,2016GAMM01,Vincenzo Maria Gammino,2024,11,3,2,16
3,2021MARI04,Paolo Marino,2025,9,2,1,12
4,2018CENT02,Giovanni Centili,2024,5,0,1,6
5,2016GAMM01,Vincenzo Maria Gammino,2025,4,6,3,13
6,2016GAMM01,Vincenzo Maria Gammino,2022,4,3,1,8
7,2013FURL01,Mattia Furlan,2015,4,0,0,4
,2013FURL01,Mattia Furlan,2016,4,0,0,4
,2013FURL01,Mattia Furlan,2017,4,0,0,4
10,2017BRAS01,Luca Brasini,2022,3,1,1,5
11,2009IOVA01,Massimiliano Iovane,2012,3,0,0,3
,2013FURL01,Mattia Furlan,2019,3,0,0,3
,2018CENT02,Giovanni Centili,2023,3,0,0,3
14,2019SART01,Daniel Sartori,2025,2,5,2,9
15,2017BRAS01,Luca Brasini,2024,2,5,0,7
16,2016GAMM01,Vincenzo Maria Gammino,2023,2,4,6,12
17,2021SALE01,Sofia Saletnich,2025,2,3,0,5
18,2016GAMM01,Vincenzo Maria Gammino,2018,2,2,0,4
,2021MARI04,Paolo Marino,2023,2,2,0,4
20,2007POLI01,Lorenzo Vigani Poli,2011,2,1,1,4
21,2009IOVA01,Massimiliano Iovane,2011,2,1,0,3
,2013FURL01,Mattia Furlan,2014,2,1,0,3
23,2016GAMM01,Vincenzo Maria Gammino,2019,2,0,1,3
,2018RIMI01,Flavio Rimi,2025,2,0,1,3
25,2009IOVA01,Massimiliano Iovane,2013,2,0,0,2
26,2019SART01,Daniel Sartori,2024,1,3,4,8
27,2017BRAS01,Luca Brasini,2023,1,2,2,5
28,2019SART01,Daniel Sartori,2023,1,1,2,4
29,2013DISA01,Edoardo Disarò,2016,1,1,1,3
,2009IOVA01,Massimiliano Iovane,2019,1,1,1,3
,2018CENT02,Giovanni Centili,2022,1,1,1,3
32,2009MORI05,Paolo Moriello,2011,1,1,0,2
,2010SARD01,Andrea Lo Sardo,2011,1,1,0,2
34,2009MORI05,Paolo Moriello,2014,1,0,1,2
,2014MAUR06,Lorenzo Mauro,2023,1,0,1,2
36,2008SIMO01,Riccardo Simone,2009,1,0,0,1
,2010SARD01,Andrea Lo Sardo,2010,1,0,0,1
,2009IOVA01,Massimiliano Iovane,2014,1,0,0,1
,2009IOVA01,Massimiliano Iovane,2015,1,0,0,1
,2013FURL01,Mattia Furlan,2018,1,0,0,1
,2018CENT02,Giovanni Centili,2025,1,0,0,1
42,2016GASP01,Pietro Gasparetto,2019,0,3,0,3
,2018RIMI01,Flavio Rimi,2024,0,3,0,3
44,2015MANN02,Marco Manno,2022,0,2,2,4
,2022MANT03,Alberto Mantovani,2024,0,2,2,4
46,2008SIMO01,Riccardo Simone,2010,0,2,1,3
,2017BRAS01,Luca Brasini,2025,0,2,1,3
48,2007POLI01,Lorenzo Vigani Poli,2013,0,2,0,2
,2009MORI05,Paolo Moriello,2013,0,2,0,2
,2016GAMM01,Vincenzo Maria Gammino,2017,0,2,0,2
51,2009CONT01,Giovanni Contardi,2019,0,1,3,4
,2019CORO04,Giacomo Daniele Corò,2025,0,1,3,4
53,2007POLI01,Lorenzo Vigani Poli,2015,0,1,2,3
,2007POLI01,Lorenzo Vigani Poli,2018,0,1,2,3
55,2009CONT01,Giovanni Contardi,2011,0,1,1,2
,2007POLI01,Lorenzo Vigani Poli,2012,0,1,1,2
,2008SIMO01,Riccardo Simone,2012,0,1,1,2
,2013DISA01,Edoardo Disarò,2014,0,1,1,2
,2014MAUR06,Lorenzo Mauro,2018,0,1,1,2
,2009PROV01,Matteo Provasi,2024,0,1,1,2
,2014MAUR06,Lorenzo Mauro,2024,0,1,1,2
,2017TENU01,Enrico Tenuti,2025,0,1,1,2
,2021NARB01,Dario Angelo Narbone,2025,0,1,1,2
,2021ZANG01,Alessandro Zangolini,2025,0,1,1,2
,2022CHIA13,Federico Chiarello,2025,0,1,1,2
66,2008BRAN01,Filippo Brancaleoni,2009,0,1,0,1
,2009IOVA01,Massimiliano Iovane,2010,0,1,0,1
,2010FRAN04,Mattia Francardi,2010,0,1,0,1
,2008SIMO01,Riccardo Simone,2011,0,1,0,1
,2009DIMP01,Mariano D'Imperio,2011,0,1,0,1
,2009BEVA01,Stefano Bevacqua,2012,0,1,0,1
,2009CONT01,Giovanni Contardi,2012,0,1,0,1
,2007POLI01,Lorenzo Vigani Poli,2014,0,1,0,1
,2009CONT01,Giovanni Contardi,2014,0,1,0,1
,2009ROTA01,Marco Rota,2016,0,1,0,1
,2013FURL01,Mattia Furlan,2020,0,1,0,1
,2016GAMM01,Vincenzo Maria Gammino,2020,0,1,0,1
,2019GIOR02,Marco Giordano,2022,0,1,0,1
,2009ROTA01,Marco Rota,2023,0,1,0,1
,2022CHIA13,Federico Chiarello,2023,0,1,0,1
,2015MANN02,Marco Manno,2024,0,1,0,1
,2021PARO01,Matteo Parodi,2025,0,1,0,1
,2023PASS02,Alessio Passerini,2025,0,1,0,1
84,2019CORO04,Giacomo Daniele Corò,2024,0,0,3,3
,2021SALE01,Sofia Saletnich,2024,0,0,3,3
,2022MANT03,Alberto Mantovani,2025,0,0,3,3
87,2010VESC01,Gianluca Veschi,2011,0,0,2,2
,2013DISA01,Edoardo Disarò,2015,0,0,2,2
,2007POLI01,Lorenzo Vigani Poli,2016,0,0,2,2
,2012CANT02,Simone Cantarelli,2023,0,0,2,2
,2012CANT02,Simone Cantarelli,2024,0,0,2,2
,2012CANT02,Simone Cantarelli,2025,0,0,2,2
,2013TRAM03,Giovanni Tramontano,2025,0,0,2,2
94,2007POLI01,Lorenzo Vigani Poli,2009,0,0,1,1
,2009DIMP01,Mariano D'Imperio,2009,0,0,1,1
,2009CONT01,Giovanni Contardi,2010,0,0,1,1
,2009KASE02,Christian Kaserer,2010,0,0,1,1
,2009MASI01,Federico Masilunas,2010,0,0,1,1
,2009BEVA01,Stefano Bevacqua,2011,0,0,1,1
,2009MORI05,Paolo Moriello,2012,0,0,1,1
,2008SIMO01,Riccardo Simone,2013,0,0,1,1
,2009BEVA01,Stefano Bevacqua,2013,0,0,1,1
,2009CONT01,Giovanni Contardi,2013,0,0,1,1
,2013MANO03,Alessandro Manopulo,2014,0,0,1,1
,2009MORI05,Paolo Moriello,2015,0,0,1,1
,2014MAUR06,Lorenzo Mauro,2016,0,0,1,1
,2009ROTA01,Marco Rota,2017,0,0,1,1
,2013DISA01,Edoardo Disarò,2017,0,0,1,1
,2009MORI05,Paolo Moriello,2019,0,0,1,1
,2015PERU02,Vittorio Maria Perucatti,2019,0,0,1,1
,2012NICO02,Alessandro Nicolì,2020,0,0,1,1
,2017DUMM01,Matteo Dummar,2020,0,0,1,1
,2017BRAS01,Luca Brasini,2021,0,0,1,1
