#,WCAid,Nome,Oro,Argento,Bronzo,Totale
1,2021MARI04,Paolo Marino,32,9,6,47
2,2017DUMM01,Matteo Dummar,21,13,6,40
3,2013FURL01,Mattia Furlan,10,1,0,11
4,2009SANT01,Simone Santarsiero,8,4,1,13
5,2016PAOL01,Damiano Di Paola,6,3,2,11
6,2021PARO01,Matteo Parodi,4,3,2,9
7,2020TOMA01,Fabian Tomasović,3,9,13,25
8,2021NOVI01,Alessia Novizio,3,7,5,15
9,2018ARNE04,Davide Arnesano,3,1,1,5
10,2017MAMB01,Giacomo Mambrini,3,1,0,4
11,2021NARB01,Dario Angelo Narbone,2,5,1,8
12,2022CORO03,Giovanni Montagna Coronado,2,4,1,7
13,2013MANO03,Alessandro Manopulo,1,4,2,7
14,2009COLO03,Matteo Colombo,1,4,1,6
15,2022RIPO01,Riccardo Ripoldi,1,3,4,8
16,2008BRAN01,Filippo Brancaleoni,1,2,2,5
17,2022MART13,Valerio Martinelli,1,1,3,5
18,2023NICC01,Flavio Niccoli,1,1,2,4
19,2010MELC01,Jacopo Melchiorri,1,1,1,3
,2023BUSC02,Lorenzo Calogero Buscemi,1,1,1,3
21,2016IEZZ01,Francesco Iezzi,1,0,2,3
22,2022FIDO01,Giulio Romano Fidora,1,0,0,1
,2023BARB17,Nicolò Barbisan,1,0,0,1
24,2014MAUR06,Lorenzo Mauro,0,2,2,4
25,2009ROTA01,Marco Rota,0,1,3,4
26,2012NICO02,Alessandro Nicolì,0,1,2,3
27,2014MARC05,Leonardo Marchizza,0,1,1,2
,2022PISC01,Giovanni Pische,0,1,1,2
29,2018BOFF01,Jacopo Antonio Boffa,0,1,0,1
,2023CARO07,Leonardo Carosio,0,1,0,1
,2024RICC01,Riccardo Fiumefreddo,0,1,0,1
32,2007POLI01,Lorenzo Vigani Poli,0,0,2,2
,2013ANTI01,Marco Antinori,0,0,2,2
,2017FASA02,Riccardo Fasan,0,0,2,2
,2018RIMI01,Flavio Rimi,0,0,2,2
,2019GIOR02,Marco Giordano,0,0,2,2
,2021ZANG01,Alessandro Zangolini,0,0,2,2
38,2009CIAN01,Simone Ciancotti,0,0,1,1
,2011TRON02,Sebastiano Tronto,0,0,1,1
,2012BERE01,Andrea Beretta,0,0,1,1
,2012PLAC01,Gianluca Placenti,0,0,1,1
,2013DISA01,Edoardo Disarò,0,0,1,1
,2014RAPO01,Tommaso Raposio,0,0,1,1
