#,WCAid,Nome,Oro,Argento,Bronzo,Totale
1,2014MAUR06,Lorenzo Mauro,23,14,4,41
2,2018ARNE04,Davide Arnesano,18,8,5,31
3,2022CHIA12,Ismaele Chiarella,13,5,5,23
4,2014MARC05,Leonardo Marchizza,10,4,0,14
5,2012NICO02,Alessandro Nicolì,6,12,9,27
6,2022MACC01,Evan Maccagnan,6,5,5,16
7,2021MAGG02,Matteo Maggiali,6,2,3,11
8,2018CENT02,Giovanni Centili,5,7,6,18
9,2022BOLD01,Loris Boldi,5,2,7,14
10,2021SALE01,Sofia Saletnich,4,7,7,18
11,2021ZANG01,Alessandro Zangolini,4,4,3,11
12,2023NICC01,Flavio Niccoli,4,1,1,6
13,2015MANN02,Marco Manno,3,5,4,12
14,2009TESS01,Giovanni Tessari,3,2,2,7
15,2024RICC01,Riccardo Fiumefreddo,3,1,2,6
16,2012MAZZ02,Matteo Mazzini,3,1,1,5
17,2011MONT02,Kevin Montano,3,1,0,4
18,2019GIOR02,Marco Giordano,2,8,2,12
19,2009ROTA01,Marco Rota,2,7,7,16
20,2012CAPP01,Gabriele Cappelletti,2,4,7,13
21,2021MARI04,Paolo Marino,2,3,6,11
22,2017DUMM01,Matteo Dummar,2,2,3,7
23,2009CONT01,Giovanni Contardi,2,2,2,6
24,2012PICC01,Angelo Piccolella,2,1,2,5
25,2018RIMI01,Flavio Rimi,2,0,1,3
26,2009KASE02,Christian Kaserer,2,0,0,2
27,2009DIMP01,Mariano D'Imperio,1,5,6,12
28,2010MELC01,Jacopo Melchiorri,1,4,0,5
29,2015FAVA01,Alessandro Fava,1,3,2,6
30,2024SIME01,Antonello Simeone,1,3,0,4
31,2022CHIA11,Giosuele Chiarella,1,2,6,9
32,2013FURL01,Mattia Furlan,1,2,2,5
,2019DONA03,Yuri Donati,1,2,2,5
34,2012BERE01,Andrea Beretta,1,2,0,3
35,2013DISA01,Edoardo Disarò,1,1,2,4
,2022CARU01,Gianluca Caruso,1,1,2,4
37,2015CHIA01,Michele Chiaravalloti,1,1,1,3
,2023PICH01,Maximilian Pichler,1,1,1,3
39,2009MASI01,Federico Masilunas,1,0,0,1
,2010GAMB01,Gabriele Gambino,1,0,0,1
,2018GALL13,Alessandro Galloppo,1,0,0,1
,2018LOCA01,Valerio Locatelli,1,0,0,1
,2022CAPA01,Rocco Daniele Capanna,1,0,0,1
,2022RANN01,Rocco Rannisi,1,0,0,1
45,2023CREA02,Christian Crea,0,4,2,6
46,2023POLI03,Riccardo Polignano,0,2,1,3
47,2016CANC03,Samuele Cancemi,0,2,0,2
,2017SORR02,Mattia Sorrentino,0,2,0,2
49,2009PROV01,Matteo Provasi,0,1,3,4
,2016TADD01,Filippo Taddei,0,1,3,4
,2019SART01,Daniel Sartori,0,1,3,4
52,2010SARD01,Andrea Lo Sardo,0,1,2,3
53,2009SANT01,Simone Santarsiero,0,1,1,2
,2010CAZZ01,Federico Cazzaniga,0,1,1,2
,2011MINI01,Marco Minici,0,1,1,2
,2016LOBI01,Arcangelo Lobianco,0,1,1,2
,2017TSAK02,Mirko Tsakarissianos,0,1,1,2
,2021CALZ01,Alessandro Calzoni,0,1,1,2
,2021PARO01,Matteo Parodi,0,1,1,2
60,2009CIAN01,Simone Ciancotti,0,1,0,1
,2009MANZ01,Luigi Manzo,0,1,0,1
,2017GENT01,Lorenzo Gentili,0,1,0,1
,2019CRIP01,Jordan Crippa,0,1,0,1
,2019MIRA08,Gianpaolo Miranda,0,1,0,1
,2023BUSC02,Lorenzo Calogero Buscemi,0,1,0,1
,2024FRAU01,Anita Francesca Frau,0,1,0,1
,2024RUSS02,Gabriel La Russa,0,1,0,1
,2025FEGH01,Leonardo Feghali,0,1,0,1
69,2008BRAN01,Filippo Brancaleoni,0,0,3,3
70,2009LUNA01,Luigi Lunardon,0,0,2,2
,2013GALL03,Julian Galliano,0,0,2,2
,2015BOND02,Marianna Bondi,0,0,2,2
,2022CORO03,Giovanni Montagna Coronado,0,0,2,2
,2022TALA03,Valentina Trinca Talalin,0,0,2,2
75,2011ANNE01,Edoardo Annesi,0,0,1,1
,2011DUCH01,Gabriele Duchi,0,0,1,1
,2011TRON02,Sebastiano Tronto,0,0,1,1
,2011VIOL01,Federico Viola,0,0,1,1
,2013SPAD01,Luciano Spada,0,0,1,1
,2014MATT05,Gabriele De Matteis,0,0,1,1
,2017MAMB01,Giacomo Mambrini,0,0,1,1
,2017ODOR01,Francesco Odorizzi,0,0,1,1
,2021NARB01,Dario Angelo Narbone,0,0,1,1
,2022COPP03,Vincenzo Coppola,0,0,1,1
,2022CORB03,Leonardo Corbelli,0,0,1,1
,2022INFU01,Simone Infunti,0,0,1,1
,2023SANN03,Lorenzo Sannibale,0,0,1,1
,2024CIBE01,Matteo Cibene,0,0,1,1
