#,WCAid,Nome,year,Oro,Argento,Bronzo,Totale
1,2014MAUR06,Lorenzo Mauro,2018,57,23,13,93
2,2021MARI04,Paolo Marino,2025,46,21,8,75
3,2021MARI04,Paolo Marino,2024,45,25,16,86
4,2016GAMM01,Vincenzo Maria Gammino,2024,36,15,20,71
5,2013FURL01,Mattia Furlan,2015,31,2,8,41
6,2014MAUR06,Lorenzo Mauro,2023,30,21,8,59
7,2019SART01,Daniel Sartori,2025,27,26,12,65
8,2018LOCA01,Valerio Locatelli,2024,27,14,7,48
9,2019SART01,Daniel Sartori,2024,26,33,13,72
10,2009CONT01,Giovanni Contardi,2011,25,8,13,46
11,2014MAUR06,Lorenzo Mauro,2019,24,12,8,44
12,2014MAUR06,Lorenzo Mauro,2017,23,24,12,59
13,2013FURL01,Mattia Furlan,2017,23,5,2,30
14,2019SART01,Daniel Sartori,2023,22,16,22,60
15,2013FURL01,Mattia Furlan,2016,22,7,5,34
16,2018RIMI01,Flavio Rimi,2024,21,14,12,47
17,2008CIRN01,Fabrizio Cirnigliaro,2011,21,7,3,31
18,2018RIMI01,Flavio Rimi,2025,20,12,11,43
19,2018LOCA01,Valerio Locatelli,2025,20,8,7,35
20,2021SALE01,Sofia Saletnich,2025,19,18,14,51
21,2016GAMM01,Vincenzo Maria Gammino,2025,19,16,10,45
22,2018LOCA01,Valerio Locatelli,2023,18,7,4,29
23,2021CALZ01,Alessandro Calzoni,2025,18,3,6,27
24,2018CENT02,Giovanni Centili,2024,17,19,12,48
25,2018CENT02,Giovanni Centili,2023,17,16,11,44
26,2014MAUR06,Lorenzo Mauro,2022,17,12,9,38
27,2021MARI04,Paolo Marino,2023,16,17,26,59
28,2019CORO04,Giacomo Daniele Corò,2024,16,12,18,46
29,2009MORI05,Paolo Moriello,2012,16,9,11,36
30,2022RIPO01,Riccardo Ripoldi,2024,16,8,6,30
31,2013FURL01,Mattia Furlan,2019,16,6,3,25
32,2019RIGO01,Mattia Rigo,2024,16,5,2,23
33,2019RIGO01,Mattia Rigo,2023,16,4,3,23
34,2021CALZ01,Alessandro Calzoni,2024,15,3,4,22
35,2018RIMI01,Flavio Rimi,2023,14,13,19,46
36,2016GAMM01,Vincenzo Maria Gammino,2023,14,9,11,34
37,2009ROTA01,Marco Rota,2017,14,6,5,25
38,2009MORI05,Paolo Moriello,2013,13,19,4,36
39,2017DUMM01,Matteo Dummar,2022,13,18,7,38
40,2014MAUR06,Lorenzo Mauro,2024,13,17,13,43
41,2009CONT01,Giovanni Contardi,2010,13,7,9,29
42,2011TRON02,Sebastiano Tronto,2019,13,4,3,20
43,2019CORO04,Giacomo Daniele Corò,2023,12,14,9,35
44,2022RIPO01,Riccardo Ripoldi,2025,12,9,5,26
