#,WCAid,Nome,Oro,Argento,Bronzo,Totale
1,2016GAMM01,Vincenzo Maria Gammino,12,7,10,29
2,2009CONT01,Giovanni Contardi,6,7,2,15
3,2013FURL01,Mattia Furlan,5,3,1,9
4,2017DUMM01,Matteo Dummar,5,2,2,9
5,2009IOVA01,Massimiliano Iovane,5,2,0,7
6,2011TRON02,Sebastiano Tronto,4,4,2,10
7,2014MAUR06,Lorenzo Mauro,4,3,0,7
8,2018LOCA01,Valerio Locatelli,3,1,1,5
9,2017TENU01,Enrico Tenuti,2,6,5,13
10,2009ROTA01,Marco Rota,2,4,2,8
11,2021MARC03,Chiara Marcucci,2,3,2,7
12,2007POLI01,Lorenzo Vigani Poli,2,2,8,12
13,2019SART01,Daniel Sartori,2,0,3,5
14,2008LOMB01,Pasquale Lombardozzi,2,0,0,2
15,2016GASP01,Pietro Gasparetto,1,3,1,5
,2018RIMI01,Flavio Rimi,1,3,1,5
17,2021MARI04,Paolo Marino,1,1,2,4
18,2018RICC02,Alessandro Ricci,1,1,1,3
19,2009MORI05,Paolo Moriello,1,0,3,4
20,2012NICO02,Alessandro Nicolì,1,0,1,2
,2014BACC01,Gabriele Bacchieri,1,0,1,2
22,2009COLO03,Matteo Colombo,1,0,0,1
,2016CANC03,Samuele Cancemi,1,0,0,1
,2017MAMB01,Giacomo Mambrini,1,0,0,1
,2019GIOR02,Marco Giordano,1,0,0,1
,2020GUAR01,Marco Guarasci,1,0,0,1
,2021CALZ01,Alessandro Calzoni,1,0,0,1
28,2009PROV01,Matteo Provasi,0,5,1,6
29,2017BRAS01,Luca Brasini,0,3,2,5
30,2008BRAN01,Filippo Brancaleoni,0,3,0,3
31,2019CRIP01,Jordan Crippa,0,2,1,3
32,2024RICC01,Riccardo Fiumefreddo,0,2,0,2
33,2012CANT02,Simone Cantarelli,0,1,0,1
,2014RAPO01,Tommaso Raposio,0,1,0,1
,2017SANN01,Valerio Sannito,0,1,0,1
,2019CORO04,Giacomo Daniele Corò,0,1,0,1
37,2012CAPP01,Gabriele Cappelletti,0,0,2,2
38,2009BEVA01,Stefano Bevacqua,0,0,1,1
,2009SANT01,Simone Santarsiero,0,0,1,1
,2013GALL03,Julian Galliano,0,0,1,1
,2014BORG02,Federico Borgogni,0,0,1,1
,2015FAVA01,Alessandro Fava,0,0,1,1
,2015PERU02,Vittorio Maria Perucatti,0,0,1,1
,2017ODOR01,Francesco Odorizzi,0,0,1,1
,2018CENT02,Giovanni Centili,0,0,1,1
,2022CHIA12,Ismaele Chiarella,0,0,1,1
