#,WCAid,Nome,Competizioni
1,2009PROV01,Matteo Provasi,185
2,2009ROTA01,Marco Rota,163
3,2012CANT02,Simone Cantarelli,153
4,2007POLI01,Lorenzo Vigani Poli,102
5,2012CAPP01,Gabriele Cappelletti,90
6,2014RAPO01,Tommaso Raposio,83
7,2014MAUR06,Lorenzo Mauro,82
,2019SART01,Daniel Sartori,82
9,2012NICO02,Alessandro Nicolì,78
,2012PLAC01,Gianluca Placenti,78
11,2021GASP01,Elisa Gasperotti,77
12,2020TOMA01,Fabian Tomasović,70
13,2009COLO03,Matteo Colombo,69
14,2021MARI04,Paolo Marino,66
15,2009SANT01,Simone Santarsiero,64
16,2021SALE01,Sofia Saletnich,63
17,2018LOCA01,Valerio Locatelli,62
18,2008BRAN01,Filippo Brancaleoni,57
,2016GAMM01,Vincenzo Maria Gammino,57
20,2011ANNE01,Edoardo Annesi,55
,2019CORO04,Giacomo Daniele Corò,55
22,2017BRAS01,Luca Brasini,53
,2021MARC03,Chiara Marcucci,53
24,2019RIGO01,Mattia Rigo,52
25,2009MORI05,Paolo Moriello,51
,2021ZANG01,Alessandro Zangolini,51
27,2008SIMO01,Riccardo Simone,50
,2021NOVI01,Alessia Novizio,50
29,2008CIRN01,Fabrizio Cirnigliaro,49
,2008SIMO02,Nicolò Simone,49
,2019VALL10,Tea Raimondi Vallesi,49
32,2018RIMI01,Flavio Rimi,46
33,2018ARNE04,Davide Arnesano,45
34,2009DIMP01,Mariano D'Imperio,43
,2022MACC01,Evan Maccagnan,43
36,2017GUID01,Carolina Guidetti,42
37,2017TENU01,Enrico Tenuti,41
38,2015FAVA01,Alessandro Fava,40
,2021CALZ01,Alessandro Calzoni,40
40,2008ZOFF01,Tommaso Zoffoli,39
,2014BACC01,Gabriele Bacchieri,39
,2019GIOR02,Marco Giordano,39
,2022PISC01,Giovanni Pische,39
44,2016GASP01,Pietro Gasparetto,38
,2021PAND01,Alessio Pandin,38
46,2022TALA03,Valentina Trinca Talalin,37
47,2008SANT01,Andrea Santambrogio,36
,2018CENT02,Giovanni Centili,36
49,2022MANT03,Alberto Mantovani,35
,2023CREA02,Christian Crea,35
51,2021ITAL02,Manfredi Italiano,34
52,2016PAOL01,Damiano Di Paola,33
,2020GUAR01,Marco Guarasci,33
,2022CORB03,Leonardo Corbelli,33
,2022FRAT01,Simone Dalle Fratte,33
,2022LESC02,Sebastiano Leschiutta,33
57,2011TRON02,Sebastiano Tronto,32
58,2009IOVA01,Massimiliano Iovane,31
,2022CERR01,Luca Cerrato,31
60,2011CECC01,Miriana Cecchi,30
,2023EMIL02,Matteo Emiliani,30
62,2015PERU02,Vittorio Maria Perucatti,29
,2017ODOR01,Francesco Odorizzi,29
,2019AMAT01,Giacomo Amati,29
65,2010MAYE01,Michael Volpe Mayerle,28
,2013MANO03,Alessandro Manopulo,28
,2014BENT01,Claudio Bentivoglio,28
,2020GENN01,Daniele Gennara,28
,2021GALI02,Carlo Galimberti,28
,2021PARO01,Matteo Parodi,28
,2022PALM02,Francesco Palma,28
72,2010BELO01,Marco Belotti,27
,2015BOND02,Marianna Bondi,27
,2016BATT05,Anna Battistini,27
,2017CASA09,Alessandro Casarin,27
,2018RICC02,Alessandro Ricci,27
,2021PIUM01,Fabio Piumatti,27
,2022PRET04,Federico Preti,27
,2022RANN01,Rocco Rannisi,27
,2022RIPO01,Riccardo Ripoldi,27
81,2009BEVA01,Stefano Bevacqua,26
,2011ACCO01,Giulia Accorsi,26
,2011MINI01,Marco Minici,26
,2022MART13,Valerio Martinelli,26
85,2011BASA01,Federico Basanese,25
,2023PASS02,Alessio Passerini,25
87,2009CONT01,Giovanni Contardi,24
,2013DISA01,Edoardo Disarò,24
,2014BORG02,Federico Borgogni,24
,2019CRIP01,Jordan Crippa,24
,2022DUOF01,Federica Duò,24
,2022FORT01,Mongol Forti,24
,2023POLI03,Riccardo Polignano,24
94,2010SARD01,Andrea Lo Sardo,23
,2013TRAM03,Giovanni Tramontano,23
,2015MANN02,Marco Manno,23
,2016RACI03,Riccardo Raciti,23
,2016ZUCC01,Samuele Zucca,23
,2017DUMM01,Matteo Dummar,23
,2017LAMO01,Emanuele Lamon,23
,2017MARC08,Andrea Marconato,23
,2018MAGG01,Valerio Maggi,23
,2021NARB01,Dario Angelo Narbone,23
,2022BRED02,Alessandro Breda,23
,2023CARO07,Leonardo Carosio,23
