#,WCAid,Nome,Competizioni
1,2009PROV01,Matteo Provasi,291
2,2012CANT02,Simone Cantarelli,219
3,2009ROTA01,Marco Rota,185
4,2007POLI01,Lorenzo Vigani Poli,157
5,2016GAMM01,Vincenzo Maria Gammino,146
6,2012CAPP01,Gabriele Cappelletti,111
7,2014RAPO01,Tommaso Raposio,107
8,2017DUMM01,Matteo Dummar,103
9,2011TRON02,Sebastiano Tronto,101
10,2021MARI04,Paolo Marino,97
11,2014MAUR06,Lorenzo Mauro,96
,2019SART01,Daniel Sartori,96
,2020TOMA01,Fabian Tomasović,96
14,2008BRAN01,Filippo Brancaleoni,91
15,2021MARC03,Chiara Marcucci,90
16,2012PLAC01,Gianluca Placenti,88
17,2012NICO02,Alessandro Nicolì,87
18,2009SANT01,Simone Santarsiero,84
,2021GASP01,Elisa Gasperotti,84
20,2009COLO03,Matteo Colombo,81
21,2019CRIP01,Jordan Crippa,78
22,2018LOCA01,Valerio Locatelli,72
23,2008SIMO02,Nicolò Simone,71
24,2008CIRN01,Fabrizio Cirnigliaro,64
,2021SALE01,Sofia Saletnich,64
26,2009MORI05,Paolo Moriello,61
27,2017BRAS01,Luca Brasini,60
,2019CORO04,Giacomo Daniele Corò,60
29,2017GUID01,Carolina Guidetti,58
30,2017TENU01,Enrico Tenuti,57
,2019RIGO01,Mattia Rigo,57
32,2008ZOFF01,Tommaso Zoffoli,56
33,2011ANNE01,Edoardo Annesi,55
34,2018ARNE04,Davide Arnesano,54
35,2008SIMO01,Riccardo Simone,53
,2014BACC01,Gabriele Bacchieri,53
,2019VALL10,Tea Raimondi Vallesi,53
,2021ZANG01,Alessandro Zangolini,53
39,2022MACC01,Evan Maccagnan,51
40,2021NOVI01,Alessia Novizio,50
41,2009DIMP01,Mariano D'Imperio,49
42,2018RIMI01,Flavio Rimi,48
43,2014PRES01,Manel Prestieri,46
,2015FAVA01,Alessandro Fava,46
,2021CALZ01,Alessandro Calzoni,46
46,2016GASP01,Pietro Gasparetto,44
,2019GIOR02,Marco Giordano,44
48,2015PERU02,Vittorio Maria Perucatti,42
,2022PISC01,Giovanni Pische,42
50,2022MANT03,Alberto Mantovani,41
51,2021PAND01,Alessio Pandin,40
,2022FRAT01,Simone Dalle Fratte,40
,2022TALA03,Valentina Trinca Talalin,40
54,2018CENT02,Giovanni Centili,39
,2020GUAR01,Marco Guarasci,39
56,2009IOVA01,Massimiliano Iovane,38
,2011CECC01,Miriana Cecchi,38
,2013MANO03,Alessandro Manopulo,38
,2022BOLD01,Loris Boldi,38
60,2024RICC01,Riccardo Fiumefreddo,37
61,2008SANT01,Andrea Santambrogio,36
,2022CHIA11,Giosuele Chiarella,36
,2022CORB03,Leonardo Corbelli,36
,2023CREA02,Christian Crea,36
65,2009CONT01,Giovanni Contardi,35
,2016PAOL01,Damiano Di Paola,35
,2022CERR01,Luca Cerrato,35
,2022CHIA12,Ismaele Chiarella,35
69,2017ODOR01,Francesco Odorizzi,34
,2021ITAL02,Manfredi Italiano,34
,2022RIPO01,Riccardo Ripoldi,34
,2022ROSS02,Fabio Rossi,34
73,2010BELO01,Marco Belotti,33
,2022LESC02,Sebastiano Leschiutta,33
75,2018RICC02,Alessandro Ricci,32
76,2014BENT01,Claudio Bentivoglio,31
,2020GENN01,Daniele Gennara,31
,2021PARO01,Matteo Parodi,31
79,2019AMAT01,Giacomo Amati,30
,2022RANN01,Rocco Rannisi,30
,2023EMIL02,Matteo Emiliani,30
82,2013FURL01,Mattia Furlan,29
,2016BATT05,Anna Battistini,29
,2022PALM02,Francesco Palma,29
,2023POLI03,Riccardo Polignano,29
86,2009BEVA01,Stefano Bevacqua,28
,2009CIAN01,Simone Ciancotti,28
,2010MAYE01,Michael Volpe Mayerle,28
,2013DISA01,Edoardo Disarò,28
,2016RACI03,Riccardo Raciti,28
,2017CASA09,Alessandro Casarin,28
,2021GALI02,Carlo Galimberti,28
,2021PIUM01,Fabio Piumatti,28
,2022PRET04,Federico Preti,28
,2023PASS02,Alessio Passerini,28
96,2014BORG02,Federico Borgogni,27
,2015BOND02,Marianna Bondi,27
,2022CECC01,Christian Ceccaroni,27
,2022CHIA13,Federico Chiarello,27
,2022MART13,Valerio Martinelli,27
,2023BUSC02,Lorenzo Calogero Buscemi,27
