#,WCAid,Nome,Competizioni
1,2009PROV01,Matteo Provasi,22
2,2016GRAV02,Oscar Luigi M. Gravador,15
,2024RICC01,Riccardo Fiumefreddo,15
4,2011TRON02,Sebastiano Tronto,13
5,2016GAMM01,Vincenzo Maria Gammino,11
6,2021MARC03,Chiara Marcucci,10
,2023FORC02,Vincenzo Forchi,10
8,2021MARI04,Paolo Marino,9
9,2017TENU01,Enrico Tenuti,8
,2019CRIP01,Jordan Crippa,8
,2022ROSS02,Fabio Rossi,8
12,2014BACC01,Gabriele Bacchieri,7
,2014PRES01,Manel Prestieri,7
,2017DUMM01,Matteo Dummar,7
,2022CHIA11,Giosuele Chiarella,7
,2022CHIA12,Ismaele Chiarella,7
,2023BUSC02,Lorenzo Calogero Buscemi,7
18,2012ACHA01,Carlos Pedro Casado de Achával,6
,2020TOMA01,Fabian Tomasović,6
,2022BOLD01,Loris Boldi,6
,2025MAZZ01,Andrea Mazzolin,6
22,2024JANS02,Tobi Janssen,5
,2025MARI14,Anna Marino,5
24,2015PERU02,Vittorio Maria Perucatti,4
,2018LOCA01,Valerio Locatelli,4
,2022MANT03,Alberto Mantovani,4
,2024CIBE01,Matteo Cibene,4
,2024JANS05,Sara Janssen,4
,2024RICH22,Lorenzo Richetta,4
30,2012CANT02,Simone Cantarelli,3
,2017GUID01,Carolina Guidetti,3
,2019SART01,Daniel Sartori,3
,2022CHIA13,Federico Chiarello,3
,2023PICH01,Maximilian Pichler,3
,2024GIUN01,Leonardo Giuntini,3
,2024MONT07,Leo Montanari,3
,2025BOSS01,Matteo Bossi,3
,2025PRIV01,Francesco Privitera,3
39,2008SIMO02,Nicolò Simone,2
,2018PERE31,Mattia Perego,2
,2019MERC07,Alessandro Mercuri,2
,2022MENE01,Lorenzo Meneguz,2
,2022RIPO01,Riccardo Ripoldi,2
,2023ARCH05,Samuele Archetti,2
,2023BALM03,Abril Balmaceda,2
,2023DELL03,Leonardo Liu Dell'Era,2
,2025COVA01,Maria Ginevra Covais,2
,2025GUGI01,Andrea Gugino,2
,2025PARM02,Alex Parmeggiani,2
,2025PERO01,Francesco Peronace,2
51,2009ROTA01,Marco Rota,1
,2010SARD01,Andrea Lo Sardo,1
,2016CANC03,Samuele Cancemi,1
,2016GASP01,Pietro Gasparetto,1
,2017BARI03,Silvia Boscolo Bariga,1
,2018ARNE04,Davide Arnesano,1
,2018SCAL03,Piernicola Scalzi,1
,2019CORO04,Giacomo Daniele Corò,1
,2019GIOR02,Marco Giordano,1
,2019RIGO01,Mattia Rigo,1
,2019VALL10,Tea Raimondi Vallesi,1
,2021CALZ01,Alessandro Calzoni,1
,2021GASP01,Elisa Gasperotti,1
,2021NARB01,Dario Angelo Narbone,1
,2022CAPA01,Rocco Daniele Capanna,1
,2022CERR01,Luca Cerrato,1
,2022CORB03,Leonardo Corbelli,1
,2022FIOR04,Francesco Fiore,1
,2022FRAT01,Simone Dalle Fratte,1
,2022GRAV05,Carmela Gravano,1
,2022INFU01,Simone Infunti,1
,2022LEHN01,Daniel Christopher Lehn,1
,2022PISC01,Giovanni Pische,1
,2022POZZ01,Alessio Pozzoli,1
,2022RANN01,Rocco Rannisi,1
,2022TOMM01,Anna Tommasi,1
,2022UBBI01,Mattia Ubbiali,1
,2022UBBI02,Pier Ubbiali,1
,2023BEDO03,Enrico Bedocchi,1
,2023BION02,Francesco Biondi,1
,2023BRIG02,Matteo Brigadeci,1
,2023CALI02,Andrea Caliaro,1
,2023GHEZ01,Leonardo Ghezzi,1
,2023GRAS03,Lino Nicola Grasso,1
,2023GRAS04,Samuele Grasso,1
,2023PASS02,Alessio Passerini,1
,2023POLI03,Riccardo Polignano,1
,2023REGI02,Michelangelo Regis,1
,2024BELL06,Simone Belli,1
,2024BELL12,Rocco De Bellis,1
,2024CAMP28,Emiliano Camporini,1
,2024CERR01,Enrico Cerrato,1
,2024FIOR02,Michele Fiore,1
,2024GAGE01,Alexander Gage,1
,2024GHID01,Andrea Ghidelli,1
,2024GUAR03,Nicolas Guarini,1
,2024LERM02,Davi Lermann,1
,2024LOCA01,Flavio Locatelli,1
,2024SASS01,Tiago Sassone,1
,2025ADNI01,Omar Adnine,1
,2025BASE02,Tommaso Baseggio,1
,2025BELL14,Pedro Ferreira Bellucci,1
,2025BERN08,Ceo Bernardelle,1
,2025BIAN03,Tommaso Bianchini,1
,2025BORA05,Sebastian Alexander Borando,1
,2025CIAV02,Massimiliano Ciavarella,1
,2025DOLC01,Stefano Dolce,1
,2025DOWN05,Michael Manera Downar,1
,2025FEGH01,Leonardo Feghali,1
,2025GALI01,Enzo Galizia,1
,2025GARO01,Gabriele Garofalo,1
,2025GOZZ01,Carlo Gozzini,1
,2025JORD04,Emil Jordan,1
,2025MART35,Edoardo Martino,1
,2025MOLL01,Ahanaf Islam Molla,1
,2025ORSI01,Filippo Orsi,1
,2025OSAR01,Jayson Osarobo,1
,2025PAGN01,Alessandro Pagnoni,1
,2025RAVA01,Anna Ravagnani,1
,2025SAMB04,Latyr Lior Samb,1
,2025SCOT12,Fran Scott,1
,2025SILI01,Tommaso Siligardi,1
,2025SPIG01,Leonardo Spiga,1
,2025SQUA01,Evo Squasi,1
,2025STEF09,Camilla Stefanoni,1
,2025TEST01,George Testa,1
