#,WCAid,Nome,Anno,Competizioni
1,2016GAMM01,Vincenzo Maria Gammino,2024,57
2,2009PROV01,Matteo Provasi,2024,31
3,2017DUMM01,Matteo Dummar,2022,26
4,2019CRIP01,Jordan Crippa,2023,24
5,2009PROV01,Matteo Provasi,2025,22
6,2012CANT02,Simone Cantarelli,2024,18
,2019CRIP01,Jordan Crippa,2024,18
8,2016GRAV02,Oscar Luigi M. Gravador,2025,15
,2021MARC03,Chiara Marcucci,2024,15
,2024RICC01,Riccardo Fiumefreddo,2025,15
11,2011TRON02,Sebastiano Tronto,2025,13
12,2009PROV01,Matteo Provasi,2018,12
,2011TRON02,Sebastiano Tronto,2023,12
,2012CANT02,Simone Cantarelli,2023,12
,2014PRES01,Manel Prestieri,2024,12
16,2011TRON02,Sebastiano Tronto,2024,11
,2016GAMM01,Vincenzo Maria Gammino,2025,11
,2017DUMM01,Matteo Dummar,2023,11
19,2021MARC03,Chiara Marcucci,2025,10
,2022CHIA11,Giosuele Chiarella,2024,10
,2022ROSS02,Fabio Rossi,2023,10
,2022ROSS02,Fabio Rossi,2024,10
,2023FORC02,Vincenzo Forchi,2025,10
24,2008SIMO02,Nicolò Simone,2024,9
,2012CANT02,Simone Cantarelli,2022,9
,2017DUMM01,Matteo Dummar,2019,9
,2017DUMM01,Matteo Dummar,2024,9
,2021MARI04,Paolo Marino,2025,9
,2022CHIA12,Ismaele Chiarella,2024,9
30,2007POLI01,Lorenzo Vigani Poli,2015,8
,2009PROV01,Matteo Provasi,2022,8
,2009PROV01,Matteo Provasi,2023,8
,2011TRON02,Sebastiano Tronto,2019,8
,2016GAMM01,Vincenzo Maria Gammino,2023,8
,2017TENU01,Enrico Tenuti,2025,8
,2019CRIP01,Jordan Crippa,2025,8
,2020TOMA01,Fabian Tomasović,2024,8
,2021MARI04,Paolo Marino,2023,8
,2022BOLD01,Loris Boldi,2024,8
,2022ROSS02,Fabio Rossi,2025,8
,2023PICH01,Maximilian Pichler,2024,8
,2024SASS01,Tiago Sassone,2024,8
43,2007POLI01,Lorenzo Vigani Poli,2016,7
,2008BRAN01,Filippo Brancaleoni,2017,7
,2011TRON02,Sebastiano Tronto,2022,7
,2012ACHA01,Carlos Pedro Casado de Achával,2024,7
,2014BACC01,Gabriele Bacchieri,2025,7
,2014PRES01,Manel Prestieri,2025,7
,2017DUMM01,Matteo Dummar,2021,7
,2017DUMM01,Matteo Dummar,2025,7
,2021MARI04,Paolo Marino,2024,7
,2022CHIA11,Giosuele Chiarella,2025,7
,2022CHIA12,Ismaele Chiarella,2025,7
,2023BUSC02,Lorenzo Calogero Buscemi,2025,7
,2024RICC01,Riccardo Fiumefreddo,2024,7
56,2007POLI01,Lorenzo Vigani Poli,2014,6
,2008CIRN01,Fabrizio Cirnigliaro,2016,6
,2009SANT01,Simone Santarsiero,2022,6
,2012ACHA01,Carlos Pedro Casado de Achával,2025,6
,2012ANON04,Anonymous,2013,6
,2014BACC01,Gabriele Bacchieri,2024,6
,2014PRES01,Manel Prestieri,2023,6
,2017DUMM01,Matteo Dummar,2018,6
,2019ASAR01,Fabio Asaro,2019,6
,2019SART01,Daniel Sartori,2024,6
,2020TOMA01,Fabian Tomasović,2025,6
,2021MARC03,Chiara Marcucci,2023,6
,2022BOLD01,Loris Boldi,2025,6
,2023FORC02,Vincenzo Forchi,2024,6
,2025MAZZ01,Andrea Mazzolin,2025,6
71,2007POLI01,Lorenzo Vigani Poli,2019,5
,2008BRAN01,Filippo Brancaleoni,2010,5
,2008BRAN01,Filippo Brancaleoni,2016,5
,2008LOMB01,Pasquale Lombardozzi,2010,5
,2009PROV01,Matteo Provasi,2017,5
,2012CANT02,Simone Cantarelli,2018,5
,2012CANT02,Simone Cantarelli,2019,5
,2012CANT02,Simone Cantarelli,2021,5
,2014PIZZ02,Christian Pizzasegola,2017,5
,2014PRES01,Manel Prestieri,2019,5
,2016GAMM01,Vincenzo Maria Gammino,2022,5
,2019SART01,Daniel Sartori,2023,5
,2020TOMA01,Fabian Tomasović,2023,5
,2021MARI04,Paolo Marino,2022,5
,2022COMI01,Luigi Francia Comi,2023,5
,2022MAIS01,Giovanni Maistrello,2022,5
,2023PICH01,Maximilian Pichler,2023,5
,2024GIUN01,Leonardo Giuntini,2024,5
,2024JANS02,Tobi Janssen,2024,5
,2024JANS02,Tobi Janssen,2025,5
,2025MARI14,Anna Marino,2025,5
92,2007POLI01,Lorenzo Vigani Poli,2010,4
,2007POLI01,Lorenzo Vigani Poli,2018,4
,2008BRAN01,Filippo Brancaleoni,2011,4
,2008BRAN01,Filippo Brancaleoni,2013,4
,2008LOMB01,Pasquale Lombardozzi,2009,4
,2008LOMB01,Pasquale Lombardozzi,2011,4
,2008SIMO02,Nicolò Simone,2023,4
,2008ZOFF01,Tommaso Zoffoli,2015,4
,2008ZOFF01,Tommaso Zoffoli,2016,4
,2009PROV01,Matteo Provasi,2016,4
,2011TRON02,Sebastiano Tronto,2017,4
,2011TRON02,Sebastiano Tronto,2018,4
