#,WCAid,Nome,Competizioni
1,2009PROV01,Matteo Provasi,12
2,2013MANO03,Alessandro Manopulo,10
3,2007POLI01,Lorenzo Vigani Poli,8
,2008SIMO02,Nicolò Simone,8
5,2008SANT01,Andrea Santambrogio,7
,2009COLO03,Matteo Colombo,7
,2011BASA01,Federico Basanese,7
,2013DISA01,Edoardo Disarò,7
9,2008CIRN01,Fabrizio Cirnigliaro,6
,2008SIMO01,Riccardo Simone,6
,2009ROTA01,Marco Rota,6
,2011MINI01,Marco Minici,6
,2014BENT01,Claudio Bentivoglio,6
,2014BENT02,Roberto Bentivoglio,6
15,2009MORI05,Paolo Moriello,5
,2010CHAN14,Letian Mattia Chang,5
,2012CANT02,Simone Cantarelli,5
,2012MAZZ02,Matteo Mazzini,5
,2012ORTU01,Federico Ortu,5
,2012PLAC01,Gianluca Placenti,5
21,2008BRAN01,Filippo Brancaleoni,4
,2009BEVA01,Stefano Bevacqua,4
,2011ACCO01,Giulia Accorsi,4
,2011ANNE01,Edoardo Annesi,4
,2011TRON02,Sebastiano Tronto,4
,2012SIMO01,Alessandro Simone,4
,2013AZZI01,Davide Azzini,4
,2013RABI02,Davide Rabito,4
,2013RABI03,Fabio Rabito,4
,2014CIMM01,Riccardo Cimma,4
,2014CORS01,Costantino Corsi,4
,2014PAVE01,Andrea Pavese,4
,2014RAPO01,Tommaso Raposio,4
34,2009SANT01,Simone Santarsiero,3
,2011BARB03,Nicola Barbaro,3
,2011CECC01,Miriana Cecchi,3
,2011MALA01,Sofia Malatesta,3
,2012CAPP01,Gabriele Cappelletti,3
,2012SILV28,Riccardo Silvestri,3
,2013ANTI01,Marco Antinori,3
,2013GALL03,Julian Galliano,3
,2013GARU01,Michele Garuti,3
,2013MACA01,Francesco Macaluso,3
,2013PLAC01,Chiara Placenti,3
,2013SEBA02,Alessandro Sebastiani,3
,2013SPAD01,Luciano Spada,3
,2013VIOL01,Valentina Violante,3
,2014ALBE02,Marco Albertazzi,3
,2014AURE01,Lorenzo Aureli,3
,2014COLO01,Alessio Colombo,3
,2014MARC05,Leonardo Marchizza,3
,2014MAUR06,Lorenzo Mauro,3
,2014MUNA01,Riccardo Munaro,3
,2014PICC01,Veronica Piccinni,3
,2014SALA11,Laura Sala,3
,2014SALA12,Pietro Sala,3
57,2008IAMO01,Marco Iamonte,2
,2008ZOFF01,Tommaso Zoffoli,2
,2009CONT01,Giovanni Contardi,2
,2009DIMP01,Mariano D'Imperio,2
,2009IOVA01,Massimiliano Iovane,2
,2010MAYE01,Michael Volpe Mayerle,2
,2011MERL01,Davide Merli,2
,2011MONT02,Kevin Montano,2
,2011NATA02,Andrea Natale,2
,2011VERD01,Andrew Verducci,2
,2012NICO02,Alessandro Nicolì,2
,2012RUSS01,Carlotta Russo,2
,2012SIGN01,Marco Signorini,2
,2013CARO02,Alessandro Carota,2
,2013CONT05,Omar Contin,2
,2013FURL01,Mattia Furlan,2
,2013GIAN01,Eros Gianaria,2
,2013GUAR02,Lorenzo Guarini,2
,2013PASU01,Raphael Pasuto,2
,2013SOLI02,Alessandro Solito,2
,2014ABRA02,Giulio Abramo,2
,2014ANON10,Anonymous,2
,2014BACC01,Gabriele Bacchieri,2
,2014DILE01,Nicolò Dilettuso,2
,2014GAET01,Lucia Gaetani,2
,2014GOVO01,Francesco Govoni,2
,2014GUID01,Daniele Guidoni,2
,2014HUTO01,Tommy Hu,2
