#,WCAid,Nome,Competizioni
1,2009MORI05,Paolo Moriello,10
2,2007POLI01,Lorenzo Vigani Poli,8
3,2008ZOFF01,Tommaso Zoffoli,7
4,2008CIRN01,Fabrizio Cirnigliaro,6
,2009BEVA01,Stefano Bevacqua,6
,2009COLO03,Matteo Colombo,6
,2009DIMP01,Mariano D'Imperio,6
,2009PROV01,Matteo Provasi,6
,2010MAZZ01,Paolo Mazzei,6
10,2008SIMO01,Riccardo Simone,5
,2009IOVA01,Massimiliano Iovane,5
,2010BELO01,Marco Belotti,5
,2010MAYE01,Michael Volpe Mayerle,5
,2011NATA02,Andrea Natale,5
15,2008MONT04,Andrea Egidio Monti,4
,2008SIMO02,Nicolò Simone,4
,2009MANZ01,Luigi Manzo,4
,2009ROTA01,Marco Rota,4
,2010CHAN14,Letian Mattia Chang,4
,2011ACCO01,Giulia Accorsi,4
,2011BASA01,Federico Basanese,4
,2011BONI01,Luca Bonisoli,4
,2011MERL01,Davide Merli,4
,2011MINI01,Marco Minici,4
,2011MONT02,Kevin Montano,4
,2011VERD01,Andrew Verducci,4
27,2008BRAN01,Filippo Brancaleoni,3
,2008SANT01,Andrea Santambrogio,3
,2009MONT01,Walter Antonio Monti,3
,2009MORI04,Claudio Moriello,3
,2010GAMB01,Gabriele Gambino,3
,2010SARD01,Andrea Lo Sardo,3
,2011BARB03,Nicola Barbaro,3
,2011MOSC01,Andrea Moscatello,3
,2011VIOL01,Federico Viola,3
,2012CANT02,Simone Cantarelli,3
,2012MONC02,Giacomo Monco,3
,2012MURC01,Davide Murciano,3
,2012SIGN01,Marco Signorini,3
,2012SIMO01,Alessandro Simone,3
,2012STEL01,Alessandro Stella,3
42,2006ALBA01,Cristiano Alba,2
,2009CALZ01,Alessandro Calzolaro,2
,2009CIAN01,Simone Ciancotti,2
,2009CONT01,Giovanni Contardi,2
,2009GIOR01,Nicola Giordani,2
,2009GRAV01,Lorenzo Gravina,2
,2009MONS01,Nino Monserrato,2
,2009SANT01,Simone Santarsiero,2
,2009TESS01,Giovanni Tessari,2
,2010CARA01,Francesco Carannante,2
,2010CAZZ01,Federico Cazzaniga,2
,2010PAUL02,Cesare Paulin,2
,2010QUAG01,Damiano Quagliotto,2
,2011ANNE01,Edoardo Annesi,2
,2011COLA01,Mirko Colangeli,2
,2011GALA01,Filippo Galasso,2
,2011SCRI01,Federico Scrinzi,2
,2011TRON02,Sebastiano Tronto,2
,2011VALE03,Matteo Valentini,2
,2012ANON04,Anonymous,2
,2012BERE01,Andrea Beretta,2
,2012CAPP01,Gabriele Cappelletti,2
,2012DAMI01,Michele Damiano,2
,2012LARO01,Marco Larotonda,2
,2012RUSS01,Carlotta Russo,2
67,2008IAMO01,Marco Iamonte,1
,2009CAIM01,Danilo Caimano,1
,2009CALZ02,Mirko Calzolaro,1
,2009DANG03,Alfonso D'Angiò,1
,2009GIOB01,Piermarco Giobbi,1
,2009GIOS01,Andrea Di Giosaffatte,1
,2009KASE02,Christian Kaserer,1
,2009MACR01,Davide Macri,1
,2009MANZ02,Giuseppe Manzo,1
,2009SANN01,Federico Sannicolò,1
,2009SCAN01,Alessandro Scanu,1
,2009XULU01,Luojin Xu,1
,2010DECA01,Nicola De Cao,1
,2010GIRO01,Paolo Girotti,1
,2010MELC01,Jacopo Melchiorri,1
,2010VERD01,Francesco Verdicchio,1
,2010VESC01,Gianluca Veschi,1
,2011BELL02,Marco Bellini,1
,2011BOCC01,Nicola Boccabella,1
,2011BUON01,Alessandro Buono,1
,2011CALA02,Gianni Calabrese,1
,2011CECC01,Miriana Cecchi,1
,2011CONT02,Mirco Conti,1
,2011CORS01,Davide Corsi,1
,2011DAND01,Angelo D'Andrea,1
,2011MALA01,Sofia Malatesta,1
,2011TROI01,Antonio Troiano,1
,2011VASI02,Paolo Vasinton,1
,2011ZERI01,Daniele Zerilli,1
,2012ALBA02,Gianluca Alba,1
,2012ANGA01,Giovanni Angarola,1
,2012BONA01,Riccardo Bonanomi,1
,2012BONE01,Eugenio Bonetti,1
,2012CARM02,Mauro Carminati,1
,2012CELL01,Federico Celli,1
,2012CISB01,Tito Cisbani,1
,2012CISB02,Vera Cisbani,1
,2012CONT02,Luca Contardi,1
,2012COST05,Filippo Costa,1
,2012DALL01,Zeno Dall'Acqua,1
,2012FERR06,Davide Ferraro,1
,2012GALE01,Luca Galeazzo,1
,2012GAUD02,Silvia Gaudiello,1
,2012LUGA01,Alessandro Lugari,1
,2012MART09,Simone Martinotti,1
,2012MASC02,Dennis Mascia,1
,2012MAZZ01,Giuliano Mazzone,1
,2012MAZZ02,Matteo Mazzini,1
,2012MAZZ03,Valeria Mazzola,1
,2012MUSO01,Luca Musone,1
,2012NICO02,Alessandro Nicolì,1
,2012ORTU01,Federico Ortu,1
,2012PAPA01,Federico Papa,1
,2012PARI01,Stefano Parisotto,1
,2012PERI01,Francesco Perinti,1
,2012PICC01,Angelo Piccolella,1
,2012PLAC01,Gianluca Placenti,1
,2012PREN01,Fabio Prencipe,1
,2012SILV28,Riccardo Silvestri,1
,2012TEMP01,Emanuele Tempra,1
,2012TOPA01,Loris Topa,1
,2012TREN01,Alessandro Trenta,1
,2012ZUPP01,Angelo Zuppa,1
