#,WCAid,Nome,Anno,Competizioni
1,2016GAMM01,Vincenzo Maria Gammino,2024,67
2,2009PROV01,Matteo Provasi,2024,65
3,2009PROV01,Matteo Provasi,2025,48
4,2012CANT02,Simone Cantarelli,2024,44
5,2012CANT02,Simone Cantarelli,2023,38
6,2009PROV01,Matteo Provasi,2023,36
7,2020TOMA01,Fabian Tomasović,2024,33
,2021MARC03,Chiara Marcucci,2024,33
9,2017DUMM01,Matteo Dummar,2022,32
10,2009ROTA01,Marco Rota,2023,31
,2019CRIP01,Jordan Crippa,2023,31
12,2021MARC03,Chiara Marcucci,2025,29
13,2012CANT02,Simone Cantarelli,2022,28
,2019SART01,Daniel Sartori,2024,28
,2021MARI04,Paolo Marino,2023,28
,2021MARI04,Paolo Marino,2024,28
17,2019SART01,Daniel Sartori,2023,26
,2020TOMA01,Fabian Tomasović,2023,26
,2021GASP01,Elisa Gasperotti,2023,26
20,2012CANT02,Simone Cantarelli,2025,25
,2012CAPP01,Gabriele Cappelletti,2023,25
,2016GAMM01,Vincenzo Maria Gammino,2025,25
23,2009ROTA01,Marco Rota,2024,24
,2021GASP01,Elisa Gasperotti,2024,24
25,2009PROV01,Matteo Provasi,2018,23
,2009PROV01,Matteo Provasi,2022,23
,2020TOMA01,Fabian Tomasović,2025,23
,2021MARI04,Paolo Marino,2025,23
29,2019CRIP01,Jordan Crippa,2024,22
,2019SART01,Daniel Sartori,2025,22
31,2009ROTA01,Marco Rota,2022,21
,2018LOCA01,Valerio Locatelli,2024,21
,2022CHIA11,Giosuele Chiarella,2024,21
34,2014RAPO01,Tommaso Raposio,2024,20
,2019RIGO01,Mattia Rigo,2024,20
,2022CHIA12,Ismaele Chiarella,2024,20
,2024RICC01,Riccardo Fiumefreddo,2025,20
38,2007POLI01,Lorenzo Vigani Poli,2019,19
,2009ROTA01,Marco Rota,2025,19
,2012CAPP01,Gabriele Cappelletti,2024,19
,2014BACC01,Gabriele Bacchieri,2025,19
,2017DUMM01,Matteo Dummar,2023,19
,2018LOCA01,Valerio Locatelli,2023,19
,2019VALL10,Tea Raimondi Vallesi,2023,19
45,2007POLI01,Lorenzo Vigani Poli,2018,18
,2012CANT02,Simone Cantarelli,2018,18
,2019CORO04,Giacomo Daniele Corò,2023,18
,2021MARC03,Chiara Marcucci,2023,18
49,2009SANT01,Simone Santarsiero,2022,17
,2012CANT02,Simone Cantarelli,2019,17
,2014BACC01,Gabriele Bacchieri,2024,17
,2016GAMM01,Vincenzo Maria Gammino,2023,17
,2019GIOR02,Marco Giordano,2023,17
,2021GASP01,Elisa Gasperotti,2025,17
,2021MARI04,Paolo Marino,2022,17
,2021SALE01,Sofia Saletnich,2024,17
,2022MACC01,Evan Maccagnan,2024,17
,2022MANT03,Alberto Mantovani,2025,17
,2024RICC01,Riccardo Fiumefreddo,2024,17
60,2016GRAV02,Oscar Luigi M. Gravador,2025,16
,2017TENU01,Enrico Tenuti,2025,16
,2019CORO04,Giacomo Daniele Corò,2024,16
,2021SALE01,Sofia Saletnich,2023,16
,2021SALE01,Sofia Saletnich,2025,16
,2022BOLD01,Loris Boldi,2024,16
,2022MACC01,Evan Maccagnan,2023,16
,2022MANT03,Alberto Mantovani,2024,16
,2022PISC01,Giovanni Pische,2024,16
,2023EMIL02,Matteo Emiliani,2025,16
,2023SART03,Diego Sartori,2024,16
71,2011TRON02,Sebastiano Tronto,2023,15
,2014RAPO01,Tommaso Raposio,2023,15
,2017TENU01,Enrico Tenuti,2024,15
,2018RIMI01,Flavio Rimi,2023,15
,2019RIGO01,Mattia Rigo,2023,15
,2019VALL10,Tea Raimondi Vallesi,2024,15
,2020GUAR01,Marco Guarasci,2023,15
,2021NOVI01,Alessia Novizio,2023,15
,2021NOVI01,Alessia Novizio,2024,15
,2022CHIA11,Giosuele Chiarella,2025,15
,2022CHIA12,Ismaele Chiarella,2025,15
,2022FRAT01,Simone Dalle Fratte,2024,15
83,2007POLI01,Lorenzo Vigani Poli,2014,14
,2008BRAN01,Filippo Brancaleoni,2011,14
,2009PROV01,Matteo Provasi,2015,14
,2009ROTA01,Marco Rota,2017,14
,2011TRON02,Sebastiano Tronto,2025,14
,2012NICO02,Alessandro Nicolì,2023,14
,2012PLAC01,Gianluca Placenti,2023,14
,2018ARNE04,Davide Arnesano,2022,14
,2018LOCA01,Valerio Locatelli,2025,14
,2021GASP01,Elisa Gasperotti,2022,14
,2021PAND01,Alessio Pandin,2024,14
,2021ZANG01,Alessandro Zangolini,2023,14
,2022BRED02,Alessandro Breda,2023,14
,2022CORB03,Leonardo Corbelli,2025,14
,2022PISC01,Giovanni Pische,2023,14
,2023BUSC02,Lorenzo Calogero Buscemi,2025,14
,2023CREA02,Christian Crea,2024,14
,2023PASS02,Alessio Passerini,2024,14
