#,WCAid,Nome,Oro,Argento,Bronzo,Totale
1,2014MAUR06,Lorenzo Mauro,27,22,13,62
2,2009CONT01,Giovanni Contardi,18,12,10,40
3,2011TRON02,Sebastiano Tronto,18,9,3,30
4,2013FURL01,Mattia Furlan,17,2,4,23
5,2009DIMP01,Mariano D'Imperio,11,10,7,28
6,2008CIRN01,Fabrizio Cirnigliaro,11,4,4,19
7,2007POLI01,Lorenzo Vigani Poli,10,20,16,46
8,2009SANT01,Simone Santarsiero,10,6,2,18
9,2009IOVA01,Massimiliano Iovane,9,8,6,23
10,2018LOCA01,Valerio Locatelli,8,0,0,8
11,2007CHIM01,Giulio Chiminelli,7,1,1,9
12,2009ROTA01,Marco Rota,6,3,9,18
13,2017BRAS01,Luca Brasini,6,3,3,12
14,2009COLO03,Matteo Colombo,6,2,6,14
15,2011BARB03,Nicola Barbaro,5,2,2,9
16,2018RICC02,Alessandro Ricci,5,0,0,5
17,2009MORI05,Paolo Moriello,4,13,11,28
18,2015CITT01,Marco Edoardo Cittar,4,5,3,12
19,2008BRAN01,Filippo Brancaleoni,4,3,4,11
20,2012NICO02,Alessandro Nicolì,3,6,9,18
21,2016GAMM01,Vincenzo Maria Gammino,3,6,3,12
22,2008SIMO01,Riccardo Simone,3,4,7,14
23,2019RIGO01,Mattia Rigo,3,4,3,10
24,2017DUMM01,Matteo Dummar,3,3,4,10
25,2022RIPO01,Riccardo Ripoldi,3,3,2,8
26,2021CALZ01,Alessandro Calzoni,3,2,0,5
27,2013MANO03,Alessandro Manopulo,3,1,2,6
28,2018ARNE04,Davide Arnesano,3,1,0,4
29,2011NATA02,Andrea Natale,3,0,0,3
,2016PAOL01,Damiano Di Paola,3,0,0,3
31,2016GASP01,Pietro Gasparetto,2,4,3,9
32,2018CENT02,Giovanni Centili,2,3,7,12
33,2014RAPO01,Tommaso Raposio,2,3,2,7
,2019CORO04,Giacomo Daniele Corò,2,3,2,7
35,2021MARI04,Paolo Marino,2,1,2,5
36,2010VESC01,Gianluca Veschi,2,1,1,4
37,2011MOSC01,Andrea Moscatello,2,1,0,3
38,2010SARD01,Andrea Lo Sardo,2,0,1,3
,2014MARC05,Leonardo Marchizza,2,0,1,3
40,2019SART01,Daniel Sartori,1,4,3,8
41,2015BOND02,Marianna Bondi,1,3,0,4
42,2014BENT02,Roberto Bentivoglio,1,2,4,7
43,2008SANT01,Andrea Santambrogio,1,2,2,5
,2017TENU01,Enrico Tenuti,1,2,2,5
,2021PARO01,Matteo Parodi,1,2,2,5
46,2006BINE01,Matteo Binello,1,1,3,5
,2015FAVA01,Alessandro Fava,1,1,3,5
48,2008ROSS01,Paolo Rosson,1,1,1,3
,2009MACR01,Davide Macri,1,1,1,3
,2010MELC01,Jacopo Melchiorri,1,1,1,3
,2017FOKI01,Alexandros Fokianos,1,1,1,3
,2017GALE01,Mattia Galentino,1,1,1,3
53,2009TESS01,Giovanni Tessari,1,1,0,2
,2019MAZZ01,Nicola Mazza,1,1,0,2
55,2019GIOR02,Marco Giordano,1,0,4,5
56,2011MONT02,Kevin Montano,1,0,3,4
57,2017PIER03,Davide Pierrat,1,0,2,3
58,2007SCIB01,Emanuele Scibilia,1,0,1,2
,2008DELU01,Filippo De Lucchi,1,0,1,2
,2008MONT04,Andrea Egidio Monti,1,0,1,2
,2008VIGA01,Giacomo Vigani,1,0,1,2
,2009LEVR01,Marco Levrero,1,0,1,2
,2011ANNE01,Edoardo Annesi,1,0,1,2
,2021ITAL02,Manfredi Italiano,1,0,1,2
65,2006ALBA01,Cristiano Alba,1,0,0,1
,2009GLIO01,Alfredo Glioti,1,0,0,1
,2010GAMB01,Gabriele Gambino,1,0,0,1
,2022CHIA12,Ismaele Chiarella,1,0,0,1
69,2013DISA01,Edoardo Disarò,0,7,3,10
70,2015MANN02,Marco Manno,0,5,1,6
71,2010BELO01,Marco Belotti,0,5,0,5
72,2008SIMO02,Nicolò Simone,0,4,4,8
73,2009CAIM01,Danilo Caimano,0,3,1,4
74,2019MAZZ02,Pietro Mazza,0,3,0,3
75,2018RIMI01,Flavio Rimi,0,2,6,8
76,2009CIAN01,Simone Ciancotti,0,2,3,5
77,2008ENRI01,Ivan Enrico,0,2,1,3
,2012CAPP01,Gabriele Cappelletti,0,2,1,3
79,2009LUNA01,Luigi Lunardon,0,2,0,2
,2012BERE01,Andrea Beretta,0,2,0,2
,2019CAMI03,Davide Camilleri,0,2,0,2
,2021MAGG02,Matteo Maggiali,0,2,0,2
83,2009BEVA01,Stefano Bevacqua,0,1,1,2
,2012PLAC01,Gianluca Placenti,0,1,1,2
,2014BENT01,Claudio Bentivoglio,0,1,1,2
,2016FURB01,Pietro Furbatto,0,1,1,2
,2022CHIA04,Luca Chiandotto,0,1,1,2
88,2006DECA01,Cosimo Decataldo,0,1,0,1
,2006DIGN01,Marco Dignani,0,1,0,1
,2009GRAV01,Lorenzo Gravina,0,1,0,1
,2010MAZZ02,Marco Mazzuoccolo,0,1,0,1
,2010QUAG01,Damiano Quagliotto,0,1,0,1
,2011CECC01,Miriana Cecchi,0,1,0,1
,2011IRAC01,Alessandro Iraci,0,1,0,1
,2013SOLI02,Alessandro Solito,0,1,0,1
,2014CORS01,Costantino Corsi,0,1,0,1
,2017MUZI01,Andrea Muzii,0,1,0,1
,2018BOFF01,Jacopo Antonio Boffa,0,1,0,1
,2021PAND01,Alessio Pandin,0,1,0,1
,2021ZANG01,Alessandro Zangolini,0,1,0,1
,2022CORO03,Giovanni Montagna Coronado,0,1,0,1
