#,WCAid,Nome,Oro,Argento,Bronzo,Totale
1,2014MAUR06,Lorenzo Mauro,181,131,80,392
2,2013FURL01,Mattia Furlan,113,28,22,163
3,2021MARI04,Paolo Marino,110,65,52,227
4,2016GAMM01,Vincenzo Maria Gammino,95,65,55,215
5,2019SART01,Daniel Sartori,81,79,54,214
6,2011TRON02,Sebastiano Tronto,80,51,36,167
7,2018LOCA01,Valerio Locatelli,78,33,25,136
8,2009CONT01,Giovanni Contardi,70,38,43,151
9,2009MORI05,Paolo Moriello,67,76,48,191
10,2009IOVA01,Massimiliano Iovane,66,40,22,128
11,2009ROTA01,Marco Rota,61,84,97,242
12,2008CIRN01,Fabrizio Cirnigliaro,61,37,21,119
13,2018RIMI01,Flavio Rimi,57,44,45,146
14,2007POLI01,Lorenzo Vigani Poli,50,77,99,226
15,2017DUMM01,Matteo Dummar,49,50,46,145
16,2021CALZ01,Alessandro Calzoni,45,14,14,73
17,2018CENT02,Giovanni Centili,44,50,37,131
18,2019CORO04,Giacomo Daniele Corò,41,33,43,117
19,2009COLO03,Matteo Colombo,40,21,16,77
20,2019RIGO01,Mattia Rigo,40,15,7,62
21,2009DIMP01,Mariano D'Imperio,36,44,47,127
22,2012NICO02,Alessandro Nicolì,32,58,79,169
23,2022RIPO01,Riccardo Ripoldi,32,22,14,68
24,2009SANT01,Simone Santarsiero,29,28,21,78
25,2021SALE01,Sofia Saletnich,27,32,47,106
26,2017BRAS01,Luca Brasini,26,37,35,98
27,2013MANO03,Alessandro Manopulo,25,31,21,77
28,2008SIMO01,Riccardo Simone,23,33,29,85
29,2018ARNE04,Davide Arnesano,23,16,23,62
30,2011BARB03,Nicola Barbaro,22,19,11,52
31,2018RICC02,Alessandro Ricci,22,3,7,32
32,2008BRAN01,Filippo Brancaleoni,21,26,28,75
33,2013DISA01,Edoardo Disarò,20,28,29,77
34,2019GIOR02,Marco Giordano,20,26,19,65
35,2011ANNE01,Edoardo Annesi,17,13,14,44
36,2021ZANG01,Alessandro Zangolini,16,27,38,81
37,2009PROV01,Matteo Provasi,15,33,40,88
38,2021PARO01,Matteo Parodi,15,25,16,56
39,2015FAVA01,Alessandro Fava,14,17,13,44
40,2022CHIA12,Ismaele Chiarella,14,5,8,27
41,2017TENU01,Enrico Tenuti,13,14,22,49
42,2012PLAC01,Gianluca Placenti,13,14,14,41
43,2009BEVA01,Stefano Bevacqua,12,18,20,50
44,2010SARD01,Andrea Lo Sardo,12,12,23,47
45,2015MANN02,Marco Manno,11,15,12,38
46,2024RICC01,Riccardo Fiumefreddo,11,12,8,31
47,2021ITAL02,Manfredi Italiano,11,6,10,27
48,2011MONT02,Kevin Montano,11,5,10,26
49,2008SANT01,Andrea Santambrogio,11,3,1,15
50,2022CORB03,Leonardo Corbelli,10,15,17,42
51,2014MARC05,Leonardo Marchizza,10,5,2,17
52,2014RAPO01,Tommaso Raposio,9,16,21,46
53,2022MACC01,Evan Maccagnan,9,13,21,43
54,2021MARC03,Chiara Marcucci,9,12,12,33
55,2020TOMA01,Fabian Tomasović,8,21,39,68
56,2010BELO01,Marco Belotti,8,11,2,21
57,2012CAPP01,Gabriele Cappelletti,7,31,35,73
58,2016GASP01,Pietro Gasparetto,7,17,16,40
59,2016PAOL01,Damiano Di Paola,7,17,14,38
60,2023EMIL02,Matteo Emiliani,7,8,9,24
61,2023DANT01,Michel D'Antoni,7,7,3,17
62,2014BACC01,Gabriele Bacchieri,7,5,6,18
63,2015BOND02,Marianna Bondi,7,5,4,16
64,2021NARB01,Dario Angelo Narbone,6,18,9,33
65,2008SIMO02,Nicolò Simone,6,15,10,31
66,2011NATA02,Andrea Natale,6,5,0,11
67,2008LOMB01,Pasquale Lombardozzi,6,3,2,11
68,2021MAGG02,Matteo Maggiali,6,2,4,12
69,2022SCHI01,Giacomo Schiava,6,2,2,10
70,2018SCAL02,Claudio Fabrizio Scalia,6,1,5,12
71,2021PAND01,Alessio Pandin,5,13,10,28
72,2009TESS01,Giovanni Tessari,5,8,9,22
73,2015CITT01,Marco Edoardo Cittar,5,7,6,18
74,2012ACHA01,Carlos Pedro Casado de Achával,5,6,1,12
75,2009LEVR01,Marco Levrero,5,5,2,12
76,2023CARO07,Leonardo Carosio,5,4,5,14
77,2023NICC01,Flavio Niccoli,5,3,4,12
78,2022BOLD01,Loris Boldi,5,2,7,14
79,2011MOSC01,Andrea Moscatello,5,2,2,9
80,2023CREA02,Christian Crea,4,14,13,31
81,2008ZOFF01,Tommaso Zoffoli,4,10,10,24
82,2017GALE01,Mattia Galentino,4,8,2,14
83,2009CIAN01,Simone Ciancotti,4,6,9,19
84,2022TALA03,Valentina Trinca Talalin,4,6,6,16
85,2020GUAR01,Marco Guarasci,4,5,13,22
86,2022CHIA04,Luca Chiandotto,4,4,3,11
87,2022MART13,Valerio Martinelli,4,2,4,10
88,2010VESC01,Gianluca Veschi,4,2,3,9
89,2022MANT03,Alberto Mantovani,3,20,26,49
90,2012CANT02,Simone Cantarelli,3,14,44,61
91,2014BENT02,Roberto Bentivoglio,3,10,8,21
92,2021NOVI01,Alessia Novizio,3,8,6,17
93,2009KASE02,Christian Kaserer,3,3,12,18
94,2019MAZZ01,Nicola Mazza,3,3,4,10
95,2023PICH01,Maximilian Pichler,3,2,4,9
96,2007CHIM01,Giulio Chiminelli,3,2,1,6
97,2012MAZZ02,Matteo Mazzini,3,1,7,11
98,2017MAMB01,Giacomo Mambrini,3,1,1,5
99,2022RANN01,Rocco Rannisi,2,9,6,17
100,2016CANC03,Samuele Cancemi,2,5,4,11
,2022SOZI01,Carolina Sozio,2,5,4,11
