#,WCAid,Nome,Oro,Argento,Bronzo,Totale
1,2008CIRN01,Fabrizio Cirnigliaro,5,1,1,7
2,2014MAUR06,Lorenzo Mauro,4,1,1,6
3,2015CITT01,Marco Edoardo Cittar,2,2,0,4
4,2019RIGO01,Mattia Rigo,2,1,1,4
5,2014BENT02,Roberto Bentivoglio,1,0,0,1
6,2011TRON02,Sebastiano Tronto,0,2,0,2
7,2007POLI01,Lorenzo Vigani Poli,0,1,2,3
8,2022RIPO01,Riccardo Ripoldi,0,1,1,2
9,2009CAIM01,Danilo Caimano,0,1,0,1
,2009DIMP01,Mariano D'Imperio,0,1,0,1
,2010BELO01,Marco Belotti,0,1,0,1
,2011MOSC01,Andrea Moscatello,0,1,0,1
,2017DUMM01,Matteo Dummar,0,1,0,1
14,2009COLO03,Matteo Colombo,0,0,2,2
15,2008MONT04,Andrea Egidio Monti,0,0,1,1
,2009CONT01,Giovanni Contardi,0,0,1,1
,2010PAUL02,Cesare Paulin,0,0,1,1
,2011MONT02,Kevin Montano,0,0,1,1
,2012PLAC01,Gianluca Placenti,0,0,1,1
,2018CENT02,Giovanni Centili,0,0,1,1
