#,WCAid,Nome,Oro,Argento,Bronzo,Totale
1,2018LOCA01,Valerio Locatelli,4,0,0,4
2,2009CONT01,Giovanni Contardi,3,1,1,5
3,2011TRON02,Sebastiano Tronto,2,1,1,4
4,2011BARB03,Nicola Barbaro,2,0,1,3
5,2014MAUR06,Lorenzo Mauro,1,5,0,6
6,2008SIMO01,Riccardo Simone,1,1,3,5
7,2013FURL01,Mattia Furlan,1,0,1,2
8,2006BINE01,Matteo Binello,1,0,0,1
,2007POLI01,Lorenzo Vigani Poli,1,0,0,1
,2009MORI05,Paolo Moriello,1,0,0,1
11,2009IOVA01,Massimiliano Iovane,0,2,0,2
12,2009DIMP01,Mariano D'Imperio,0,1,1,2
13,2006DIGN01,Marco Dignani,0,1,0,1
,2008BRAN01,Filippo Brancaleoni,0,1,0,1
,2008ENRI01,Ivan Enrico,0,1,0,1
,2009CAIM01,Danilo Caimano,0,1,0,1
,2009MACR01,Davide Macri,0,1,0,1
,2018RIMI01,Flavio Rimi,0,1,0,1
19,2008SANT01,Andrea Santambrogio,0,0,1,1
,2014RAPO01,Tommaso Raposio,0,0,1,1
,2017BRAS01,Luca Brasini,0,0,1,1
,2017GALE01,Mattia Galentino,0,0,1,1
,2017PIER03,Davide Pierrat,0,0,1,1
,2018CENT02,Giovanni Centili,0,0,1,1
,2019CORO04,Giacomo Daniele Corò,0,0,1,1
