#,WCAid,Nome,Oro,Argento,Bronzo,Totale
1,2014MAUR06,Lorenzo Mauro,4,0,2,6
2,2011TRON02,Sebastiano Tronto,3,2,0,5
3,2009COLO03,Matteo Colombo,3,0,0,3
4,2008CIRN01,Fabrizio Cirnigliaro,2,2,0,4
5,2022RIPO01,Riccardo Ripoldi,1,1,0,2
6,2015CITT01,Marco Edoardo Cittar,0,2,0,2
7,2017DUMM01,Matteo Dummar,0,1,1,2
,2019RIGO01,Mattia Rigo,0,1,1,2
9,2021PAND01,Alessio Pandin,0,1,0,1
10,2014BENT02,Roberto Bentivoglio,0,0,2,2
11,2014PAVE01,Andrea Pavese,0,0,1,1
,2018CENT02,Giovanni Centili,0,0,1,1
,2022CHIA04,Luca Chiandotto,0,0,1,1
