#,WCAid,Nome,Oro,Argento,Bronzo,Totale
1,2009CONT01,Giovanni Contardi,4,2,0,6
2,2013FURL01,Mattia Furlan,3,0,0,3
3,2007POLI01,Lorenzo Vigani Poli,2,2,1,5
4,2009IOVA01,Massimiliano Iovane,2,2,0,4
5,2018CENT02,Giovanni Centili,2,0,1,3
6,2016GASP01,Pietro Gasparetto,1,1,0,2
7,2017BRAS01,Luca Brasini,1,0,2,3
8,2019SART01,Daniel Sartori,1,0,1,2
9,2006ALBA01,Cristiano Alba,1,0,0,1
10,2009MORI05,Paolo Moriello,0,2,4,6
11,2016GAMM01,Vincenzo Maria Gammino,0,2,0,2
,2019CORO04,Giacomo Daniele Corò,0,2,0,2
13,2008SIMO01,Riccardo Simone,0,1,1,2
,2012NICO02,Alessandro Nicolì,0,1,1,2
15,2008ENRI01,Ivan Enrico,0,1,0,1
,2013DISA01,Edoardo Disarò,0,1,0,1
17,2014MAUR06,Lorenzo Mauro,0,0,2,2
18,2006BINE01,Matteo Binello,0,0,1,1
,2008BRAN01,Filippo Brancaleoni,0,0,1,1
,2013MANO03,Alessandro Manopulo,0,0,1,1
