#,WCAid,Nome,Oro,Argento,Bronzo,Totale
1,2009SANT01,Simone Santarsiero,4,1,1,6
2,2016PAOL01,Damiano Di Paola,3,0,0,3
3,2017DUMM01,Matteo Dummar,2,1,0,3
4,2013FURL01,Mattia Furlan,1,1,0,2
,2013MANO03,Alessandro Manopulo,1,1,0,2
6,2010MELC01,Jacopo Melchiorri,1,0,0,1
,2022RIPO01,Riccardo Ripoldi,1,0,0,1
8,2009COLO03,Matteo Colombo,0,2,1,3
9,2008BRAN01,Filippo Brancaleoni,0,1,2,3
10,2021MARI04,Paolo Marino,0,1,1,2
,2021PARO01,Matteo Parodi,0,1,1,2
12,2009CIAN01,Simone Ciancotti,0,1,0,1
,2013DISA01,Edoardo Disarò,0,1,0,1
,2018BOFF01,Jacopo Antonio Boffa,0,1,0,1
,2022CORO03,Giovanni Montagna Coronado,0,1,0,1
16,2012NICO02,Alessandro Nicolì,0,0,2,2
17,2007POLI01,Lorenzo Vigani Poli,0,0,1,1
,2009ROTA01,Marco Rota,0,0,1,1
,2014MARC05,Leonardo Marchizza,0,0,1,1
,2019GIOR02,Marco Giordano,0,0,1,1
,2021NARB01,Dario Angelo Narbone,0,0,1,1
