#,WCAid,Nome,Oro,Argento,Bronzo,Totale
1,2009DIMP01,Mariano D'Imperio,7,0,1,8
2,2007CHIM01,Giulio Chiminelli,3,0,0,3
,2013FURL01,Mattia Furlan,3,0,0,3
4,2021CALZ01,Alessandro Calzoni,2,0,0,2
5,2014MAUR06,Lorenzo Mauro,1,2,1,4
6,2015FAVA01,Alessandro Fava,1,1,1,3
7,2010BELO01,Marco Belotti,0,4,0,4
8,2007POLI01,Lorenzo Vigani Poli,0,2,3,5
9,2009ROTA01,Marco Rota,0,2,1,3
10,2009CONT01,Giovanni Contardi,0,1,3,4
11,2017TENU01,Enrico Tenuti,0,1,2,3
12,2009LUNA01,Luigi Lunardon,0,1,0,1
,2009TESS01,Giovanni Tessari,0,1,0,1
,2011BARB03,Nicola Barbaro,0,1,0,1
15,2008ROSS01,Paolo Rosson,0,0,1,1
,2013DISA01,Edoardo Disarò,0,0,1,1
,2021PIUM01,Fabio Piumatti,0,0,1,1
