#,WCAid,Nome,Oro,Argento,Bronzo,Totale
1,2014MAUR06,Lorenzo Mauro,4,1,0,5
2,2013MANO03,Alessandro Manopulo,2,0,0,2
3,2015BOND02,Marianna Bondi,1,3,0,4
4,2021CALZ01,Alessandro Calzoni,1,2,0,3
5,2009ROTA01,Marco Rota,1,1,2,4
6,2021ITAL02,Manfredi Italiano,1,0,1,2
7,2009SANT01,Simone Santarsiero,0,1,0,1
,2012NICO02,Alessandro Nicolì,0,1,0,1
,2013DISA01,Edoardo Disarò,0,1,0,1
10,2018RAND05,Leonardo Randacio,0,0,2,2
11,2008SIMO02,Nicolò Simone,0,0,1,1
,2011TRON02,Sebastiano Tronto,0,0,1,1
,2013FURL01,Mattia Furlan,0,0,1,1
,2019COLA01,Valerio Colapinto,0,0,1,1
,2022SOZI01,Carolina Sozio,0,0,1,1
