#,WCAid,Nome,Oro,Argento,Bronzo,Totale
1,2018RICC02,Alessandro Ricci,5,0,0,5
2,2009ROTA01,Marco Rota,3,0,1,4
3,2007POLI01,Lorenzo Vigani Poli,2,1,0,3
4,2011MOSC01,Andrea Moscatello,2,0,0,2
5,2008SANT01,Andrea Santambrogio,1,1,1,3
6,2009GLIO01,Alfredo Glioti,1,0,0,1
7,2014MAUR06,Lorenzo Mauro,0,3,1,4
8,2019MAZZ02,Pietro Mazza,0,3,0,3
9,2018RIMI01,Flavio Rimi,0,1,3,4
10,2008SIMO02,Nicolò Simone,0,1,1,2
11,2009GRAV01,Lorenzo Gravina,0,1,0,1
,2010MAZZ02,Marco Mazzuoccolo,0,1,0,1
,2010QUAG01,Damiano Quagliotto,0,1,0,1
,2014BENT01,Claudio Bentivoglio,0,1,0,1
15,2010GIRO01,Paolo Girotti,0,0,1,1
,2011MONT02,Kevin Montano,0,0,1,1
,2012MONC02,Giacomo Monco,0,0,1,1
,2012NICO02,Alessandro Nicolì,0,0,1,1
,2014BORG02,Federico Borgogni,0,0,1,1
,2015FAVA01,Alessandro Fava,0,0,1,1
,2017DUMM01,Matteo Dummar,0,0,1,1
