#,WCAid,Nome,Oro,Argento,Bronzo,Totale
1,2014MAUR06,Lorenzo Mauro,5,3,1,9
2,2017DUMM01,Matteo Dummar,4,2,8,14
3,2018LOCA01,Valerio Locatelli,3,1,3,7
4,2018RICC02,Alessandro Ricci,3,0,0,3
5,2013FURL01,Mattia Furlan,2,0,0,2
6,2012NICO02,Alessandro Nicolì,1,4,0,5
7,2009ROTA01,Marco Rota,1,2,5,8
8,2014RAPO01,Tommaso Raposio,1,1,1,3
,2019GIOR02,Marco Giordano,1,1,1,3
10,2018ARNE04,Davide Arnesano,1,1,0,2
11,2016GAMM01,Vincenzo Maria Gammino,1,0,1,2
12,2018RIMI01,Flavio Rimi,0,2,0,2
13,2011TRON02,Sebastiano Tronto,0,1,0,1
,2014BORG02,Federico Borgogni,0,1,0,1
,2016PAOL01,Damiano Di Paola,0,1,0,1
,2018CENT02,Giovanni Centili,0,1,0,1
17,2017BRAS01,Luca Brasini,0,0,4,4
18,2007POLI01,Lorenzo Vigani Poli,0,0,1,1
,2012CAPP01,Gabriele Cappelletti,0,0,1,1
,2015BOND02,Marianna Bondi,0,0,1,1
,2017FOKI01,Alexandros Fokianos,0,0,1,1
,2019SART01,Daniel Sartori,0,0,1,1
,2020GUAR01,Marco Guarasci,0,0,1,1
