#,WCAid,Nome,Anno,Oro,Argento,Bronzo,Totale
1,2021MARC03,Chiara Marcucci,2025,9,4,2,15
2,2017TENU01,Enrico Tenuti,2025,6,0,4,10
3,2017TENU01,Enrico Tenuti,2024,5,0,0,5
4,2016GAMM01,Vincenzo Maria Gammino,2024,4,2,4,10
5,2011TRON02,Sebastiano Tronto,2025,4,0,0,4
6,2016GAMM01,Vincenzo Maria Gammino,2025,3,4,2,9
7,2011TRON02,Sebastiano Tronto,2024,3,1,1,5
8,2009ROTA01,Marco Rota,2017,3,0,0,3
9,2014RAPO01,Tommaso Raposio,2024,2,3,2,7
10,2011TRON02,Sebastiano Tronto,2019,2,1,3,6
11,2009ROTA01,Marco Rota,2023,2,1,0,3
12,2014RAPO01,Tommaso Raposio,2025,2,0,2,4
13,2009MORI05,Paolo Moriello,2011,2,0,0,2
,2011TRON02,Sebastiano Tronto,2012,2,0,0,2
,2009COLO03,Matteo Colombo,2015,2,0,0,2
,2011TRON02,Sebastiano Tronto,2016,2,0,0,2
,2009ROTA01,Marco Rota,2018,2,0,0,2
,2012NICO02,Alessandro Nicolì,2019,2,0,0,2
19,2007POLI01,Lorenzo Vigani Poli,2011,1,2,1,4
20,2014MAUR06,Lorenzo Mauro,2023,1,2,0,3
,2014MAUR06,Lorenzo Mauro,2025,1,2,0,3
22,2007POLI01,Lorenzo Vigani Poli,2018,1,1,1,3
,2014RAPO01,Tommaso Raposio,2023,1,1,1,3
24,2007POLI01,Lorenzo Vigani Poli,2014,1,1,0,2
,2011TRON02,Sebastiano Tronto,2014,1,1,0,2
,2011TRON02,Sebastiano Tronto,2015,1,1,0,2
,2011TRON02,Sebastiano Tronto,2017,1,1,0,2
,2011TRON02,Sebastiano Tronto,2018,1,1,0,2
,2014RAPO01,Tommaso Raposio,2021,1,1,0,2
,2016GAMM01,Vincenzo Maria Gammino,2023,1,1,0,2
,2021NARB01,Dario Angelo Narbone,2024,1,1,0,2
32,2007POLI01,Lorenzo Vigani Poli,2010,1,0,2,3
