#,WCAid,Nome,Anno,Oro,Argento,Bronzo,Totale
1,2009ROTA01,Marco Rota,2013,2,0,0,2
,2009ROTA01,Marco Rota,2015,2,0,0,2
,2011BARB03,Nicola Barbaro,2015,2,0,0,2
4,2009ROTA01,Marco Rota,2011,1,0,1,2
5,2011GALA01,Filippo Galasso,2011,1,0,0,1
,2009DIMP01,Mariano D'Imperio,2012,1,0,0,1
,2009DIMP01,Mariano D'Imperio,2013,1,0,0,1
,2013MANO03,Alessandro Manopulo,2013,1,0,0,1
,2009ROTA01,Marco Rota,2014,1,0,0,1
,2009ROTA01,Marco Rota,2017,1,0,0,1
11,2009DIMP01,Mariano D'Imperio,2015,0,2,1,3
12,2009SANT01,Simone Santarsiero,2011,0,2,0,2
,2011BARB03,Nicola Barbaro,2013,0,2,0,2
14,2009SANT01,Simone Santarsiero,2013,0,1,1,2
15,2009SANT01,Simone Santarsiero,2010,0,1,0,1
,2009SANT01,Simone Santarsiero,2012,0,1,0,1
,2009SANT01,Simone Santarsiero,2014,0,1,0,1
,2013MANO03,Alessandro Manopulo,2015,0,1,0,1
,2014MAUR06,Lorenzo Mauro,2017,0,1,0,1
,2017DUMM01,Matteo Dummar,2019,0,1,0,1
21,2009CAIM01,Danilo Caimano,2010,0,0,1,1
,2010PAUL02,Cesare Paulin,2011,0,0,1,1
,2010PAUL02,Cesare Paulin,2012,0,0,1,1
,2011BARB03,Nicola Barbaro,2012,0,0,1,1
,2012MAZZ02,Matteo Mazzini,2013,0,0,1,1
,2009DIMP01,Mariano D'Imperio,2014,0,0,1,1
,2011BARB03,Nicola Barbaro,2014,0,0,1,1
,2009COLO03,Matteo Colombo,2015,0,0,1,1
,2012NICO02,Alessandro Nicolì,2015,0,0,1,1
,2017DUMM01,Matteo Dummar,2018,0,0,1,1
