#,WCAid,Nome,Anno,Oro,Argento,Bronzo,Totale
1,2008CIRN01,Fabrizio Cirnigliaro,2011,4,0,0,4
2,2014BACC01,Gabriele Bacchieri,2025,3,3,2,8
3,2022RIPO01,Riccardo Ripoldi,2025,3,2,1,6
4,2011TRON02,Sebastiano Tronto,2019,3,0,0,3
,2022RIPO01,Riccardo Ripoldi,2024,3,0,0,3
6,2008CIRN01,Fabrizio Cirnigliaro,2013,2,1,1,4
7,2008CIRN01,Fabrizio Cirnigliaro,2012,2,0,0,2
,2009COLO03,Matteo Colombo,2013,2,0,0,2
,2008CIRN01,Fabrizio Cirnigliaro,2014,2,0,0,2
,2015CITT01,Marco Edoardo Cittar,2016,2,0,0,2
,2014MAUR06,Lorenzo Mauro,2022,2,0,0,2
,2014MAUR06,Lorenzo Mauro,2023,2,0,0,2
,2022CHIA04,Luca Chiandotto,2024,2,0,0,2
14,2008CIRN01,Fabrizio Cirnigliaro,2016,1,4,2,7
15,2011TRON02,Sebastiano Tronto,2025,1,2,1,4
16,2014MAUR06,Lorenzo Mauro,2019,1,2,0,3
17,2014MAUR06,Lorenzo Mauro,2025,1,1,1,3
18,2008CIRN01,Fabrizio Cirnigliaro,2015,1,1,0,2
,2011TRON02,Sebastiano Tronto,2015,1,1,0,2
,2011TRON02,Sebastiano Tronto,2016,1,1,0,2
,2017DUMM01,Matteo Dummar,2022,1,1,0,2
,2014MAUR06,Lorenzo Mauro,2024,1,1,0,2
23,2019RIGO01,Mattia Rigo,2024,1,0,1,2
,2018SCAL02,Claudio Fabrizio Scalia,2025,1,0,1,2
25,2009COLO03,Matteo Colombo,2011,1,0,0,1
,2009COLO03,Matteo Colombo,2014,1,0,0,1
,2012PLAC01,Gianluca Placenti,2017,1,0,0,1
,2011TRON02,Sebastiano Tronto,2018,1,0,0,1
,2014MAUR06,Lorenzo Mauro,2018,1,0,0,1
,2014MAUR06,Lorenzo Mauro,2021,1,0,0,1
,2011TRON02,Sebastiano Tronto,2023,1,0,0,1
,2019RIGO01,Mattia Rigo,2023,1,0,0,1
,2022RIPO01,Riccardo Ripoldi,2023,1,0,0,1
,2012ACHA01,Carlos Pedro Casado de Achával,2024,1,0,0,1
,2020GUAR01,Marco Guarasci,2024,1,0,0,1
,2012ACHA01,Carlos Pedro Casado de Achával,2025,1,0,0,1
37,2021PAND01,Alessio Pandin,2024,0,3,0,3
38,2022CHIA04,Luca Chiandotto,2023,0,2,0,2
39,2017DUMM01,Matteo Dummar,2023,0,1,1,2
,2012PLAC01,Gianluca Placenti,2025,0,1,1,2
,2021PAND01,Alessio Pandin,2025,0,1,1,2
42,2011MONT02,Kevin Montano,2013,0,1,0,1
,2012PLAC01,Gianluca Placenti,2014,0,1,0,1
,2011TRON02,Sebastiano Tronto,2017,0,1,0,1
,2015CITT01,Marco Edoardo Cittar,2018,0,1,0,1
,2012PLAC01,Gianluca Placenti,2019,0,1,0,1
,2012NICO02,Alessandro Nicolì,2021,0,1,0,1
,2011TRON02,Sebastiano Tronto,2022,0,1,0,1
,2012PLAC01,Gianluca Placenti,2022,0,1,0,1
,2018ARNE04,Davide Arnesano,2023,0,1,0,1
,2019GIAN04,Eleonora Giangrandi,2023,0,1,0,1
,2011TRON02,Sebastiano Tronto,2024,0,1,0,1
,2016PANN02,Daniele Panna,2024,0,1,0,1
,2022LODA01,Nicolo David Lodato,2025,0,1,0,1
,2022SCHI01,Giacomo Schiava,2025,0,1,0,1
56,2015CITT01,Marco Edoardo Cittar,2019,0,0,2,2
57,2009COLO03,Matteo Colombo,2012,0,0,1,1
,2008CIRN01,Fabrizio Cirnigliaro,2017,0,0,1,1
,2009ROTA01,Marco Rota,2022,0,0,1,1
,2019GIOR02,Marco Giordano,2022,0,0,1,1
,2020GUAR01,Marco Guarasci,2023,0,0,1,1
,2017DUMM01,Matteo Dummar,2024,0,0,1,1
,2022MACC01,Evan Maccagnan,2024,0,0,1,1
,2022MACC01,Evan Maccagnan,2025,0,0,1,1
