#,WCAid,Nome,Anno,Oro,Argento,Bronzo,Totale
1,2021MARI04,Paolo Marino,2025,17,3,1,21
2,2017DUMM01,Matteo Dummar,2022,8,4,1,13
,2021MARI04,Paolo Marino,2024,8,4,1,13
4,2021MARI04,Paolo Marino,2023,8,2,3,13
5,2017DUMM01,Matteo Dummar,2023,5,3,1,9
6,2017DUMM01,Matteo Dummar,2024,3,2,1,6
7,2009SANT01,Simone Santarsiero,2013,3,0,0,3
,2013FURL01,Mattia Furlan,2015,3,0,0,3
,2013FURL01,Mattia Furlan,2017,3,0,0,3
,2018ARNE04,Davide Arnesano,2025,3,0,0,3
11,2021NOVI01,Alessia Novizio,2025,2,3,2,7
12,2021NARB01,Dario Angelo Narbone,2023,2,2,0,4
13,2013FURL01,Mattia Furlan,2016,2,1,0,3
,2016PAOL01,Damiano Di Paola,2019,2,1,0,3
,2021PARO01,Matteo Parodi,2025,2,1,0,3
16,2017DUMM01,Matteo Dummar,2021,2,0,2,4
17,2017MAMB01,Giacomo Mambrini,2018,2,0,0,2
,2016PAOL01,Damiano Di Paola,2024,2,0,0,2
,2023BARB17,Nicolò Barbisan,2025,2,0,0,2
20,2020TOMA01,Fabian Tomasović,2024,1,5,5,11
21,2020TOMA01,Fabian Tomasović,2025,1,3,7,11
22,2022CORO03,Giovanni Montagna Coronado,2025,1,3,1,5
23,2017DUMM01,Matteo Dummar,2025,1,3,0,4
24,2009COLO03,Matteo Colombo,2015,1,2,0,3
25,2022RIPO01,Riccardo Ripoldi,2024,1,1,3,5
26,2021NOVI01,Alessia Novizio,2023,1,1,2,4
,2022MART13,Valerio Martinelli,2025,1,1,2,4
28,2009SANT01,Simone Santarsiero,2011,1,1,1,3
,2010MELC01,Jacopo Melchiorri,2011,1,1,1,3
,2020TOMA01,Fabian Tomasović,2023,1,1,1,3
,2021PARO01,Matteo Parodi,2024,1,1,1,3
,2023BUSC02,Lorenzo Calogero Buscemi,2025,1,1,1,3
,2023NICC01,Flavio Niccoli,2025,1,1,1,3
34,2009SANT01,Simone Santarsiero,2010,1,1,0,2
,2008BRAN01,Filippo Brancaleoni,2013,1,1,0,2
,2009SANT01,Simone Santarsiero,2014,1,1,0,2
