#,WCAid,Nome,Anno,Oro,Argento,Bronzo,Totale
1,2021CALZ01,Alessandro Calzoni,2024,10,1,0,11
2,2021CALZ01,Alessandro Calzoni,2025,10,0,0,10
3,2021SALE01,Sofia Saletnich,2025,7,1,5,13
4,2015FAVA01,Alessandro Fava,2023,7,1,1,9
5,2009DIMP01,Mariano D'Imperio,2011,5,0,1,6
6,2009DIMP01,Mariano D'Imperio,2012,5,0,0,5
7,2015FAVA01,Alessandro Fava,2022,3,2,1,6
8,2009DIMP01,Mariano D'Imperio,2015,3,2,0,5
9,2008LOMB01,Pasquale Lombardozzi,2010,3,1,1,5
10,2013FURL01,Mattia Furlan,2015,3,0,1,4
11,2015FAVA01,Alessandro Fava,2024,2,6,0,8
12,2021SALE01,Sofia Saletnich,2024,2,2,3,7
13,2014MAUR06,Lorenzo Mauro,2018,2,2,2,6
14,2010BELO01,Marco Belotti,2016,2,2,0,4
,2013FURL01,Mattia Furlan,2016,2,2,0,4
,2013FURL01,Mattia Furlan,2017,2,2,0,4
17,2020GUAR01,Marco Guarasci,2023,2,1,3,6
18,2007POLI01,Lorenzo Vigani Poli,2014,2,1,1,4
19,2009DIMP01,Mariano D'Imperio,2016,2,1,0,3
20,2018RIMI01,Flavio Rimi,2023,2,0,4,6
21,2018RIMI01,Flavio Rimi,2024,2,0,2,4
22,2009DIMP01,Mariano D'Imperio,2013,2,0,0,2
,2010BELO01,Marco Belotti,2018,2,0,0,2
24,2018CENT02,Giovanni Centili,2023,1,4,0,5
25,2019VALL10,Tea Raimondi Vallesi,2023,1,3,1,5
26,2009ROTA01,Marco Rota,2017,1,3,0,4
,2021CALZ01,Alessandro Calzoni,2023,1,3,0,4
,2018CENT02,Giovanni Centili,2024,1,3,0,4
29,2017TENU01,Enrico Tenuti,2023,1,2,4,7
30,2007POLI01,Lorenzo Vigani Poli,2013,1,2,2,5
31,2023DANT01,Michel D'Antoni,2025,1,2,1,4
32,2009DIMP01,Mariano D'Imperio,2010,1,2,0,3
,2007POLI01,Lorenzo Vigani Poli,2011,1,2,0,3
,2009ROTA01,Marco Rota,2019,1,2,0,3
,2013FURL01,Mattia Furlan,2019,1,2,0,3
36,2009CONT01,Giovanni Contardi,2011,1,1,3,5
37,2020GUAR01,Marco Guarasci,2024,1,1,2,4
38,2017TENU01,Enrico Tenuti,2025,1,1,1,3
,2018ARNE04,Davide Arnesano,2025,1,1,1,3
40,2007POLI01,Lorenzo Vigani Poli,2009,1,1,0,2
,2008LOMB01,Pasquale Lombardozzi,2011,1,1,0,2
,2010BELO01,Marco Belotti,2013,1,1,0,2
,2010BELO01,Marco Belotti,2017,1,1,0,2
,2014MAUR06,Lorenzo Mauro,2019,1,1,0,2
45,2007CHIM01,Giulio Chiminelli,2009,1,0,1,2
,2009CORR02,Lorenzo Corradin,2010,1,0,1,2
,2009LUNA01,Luigi Lunardon,2010,1,0,1,2
,2011BARB03,Nicola Barbaro,2014,1,0,1,2
,2016GAMM01,Vincenzo Maria Gammino,2024,1,0,1,2
,2016GAMM01,Vincenzo Maria Gammino,2025,1,0,1,2
,2022CHIA12,Ismaele Chiarella,2025,1,0,1,2
52,2007CHIM01,Giulio Chiminelli,2007,1,0,0,1
,2007CHIM01,Giulio Chiminelli,2008,1,0,0,1
,2008LOMB01,Pasquale Lombardozzi,2009,1,0,0,1
,2009LUNA01,Luigi Lunardon,2009,1,0,0,1
,2009DIMP01,Mariano D'Imperio,2014,1,0,0,1
,2009ROTA01,Marco Rota,2014,1,0,0,1
,2010BELO01,Marco Belotti,2014,1,0,0,1
,2011BARB03,Nicola Barbaro,2016,1,0,0,1
,2013FURL01,Mattia Furlan,2018,1,0,0,1
,2013FURL01,Mattia Furlan,2020,1,0,0,1
,2021PIUM01,Fabio Piumatti,2023,1,0,0,1
63,2010BELO01,Marco Belotti,2012,0,3,0,3
,2009ROTA01,Marco Rota,2025,0,3,0,3
65,2009TESS01,Giovanni Tessari,2011,0,2,1,3
,2013DISA01,Edoardo Disarò,2014,0,2,1,3
,2009ROTA01,Marco Rota,2018,0,2,1,3
,2014MAUR06,Lorenzo Mauro,2023,0,2,1,3
,2021PARO01,Matteo Parodi,2025,0,2,1,3
,2021ZANG01,Alessandro Zangolini,2025,0,2,1,3
,2022RANN01,Rocco Rannisi,2025,0,2,1,3
72,2011BARB03,Nicola Barbaro,2012,0,2,0,2
,2014MAUR06,Lorenzo Mauro,2022,0,2,0,2
,2022TALA03,Valentina Trinca Talalin,2025,0,2,0,2
75,2009CONT01,Giovanni Contardi,2019,0,1,3,4
,2017TENU01,Enrico Tenuti,2022,0,1,3,4
77,2009ROTA01,Marco Rota,2016,0,1,2,3
,2014MAUR06,Lorenzo Mauro,2017,0,1,2,3
,2017TENU01,Enrico Tenuti,2024,0,1,2,3
,2021PIUM01,Fabio Piumatti,2025,0,1,2,3
81,2010SARD01,Andrea Lo Sardo,2010,0,1,1,2
,2009ROTA01,Marco Rota,2013,0,1,1,2
,2012ANON04,Anonymous,2013,0,1,1,2
,2011BARB03,Nicola Barbaro,2015,0,1,1,2
,2009DIMP01,Mariano D'Imperio,2017,0,1,1,2
,2009DIMP01,Mariano D'Imperio,2018,0,1,1,2
,2009ROTA01,Marco Rota,2022,0,1,1,2
,2021PARO01,Matteo Parodi,2024,0,1,1,2
,2018RIMI01,Flavio Rimi,2025,0,1,1,2
90,2009GLIO01,Alfredo Glioti,2009,0,1,0,1
,2009ROTA01,Marco Rota,2011,0,1,0,1
,2010BELO01,Marco Belotti,2011,0,1,0,1
,2011MARC02,Giovanni Marchetti,2011,0,1,0,1
,2009GIOB01,Piermarco Giobbi,2012,0,1,0,1
,2011ZORZ01,Stefano Zorzi,2013,0,1,0,1
,2009CONT01,Giovanni Contardi,2014,0,1,0,1
,2011ZORZ01,Stefano Zorzi,2014,0,1,0,1
,2012PICC01,Angelo Piccolella,2014,0,1,0,1
,2009CONT01,Giovanni Contardi,2015,0,1,0,1
,2009ROTA01,Marco Rota,2015,0,1,0,1
,2013DISA01,Edoardo Disarò,2016,0,1,0,1
,2014COLI02,Gianluca Colizzi,2016,0,1,0,1
,2013DISA01,Edoardo Disarò,2017,0,1,0,1
,2007POLI01,Lorenzo Vigani Poli,2018,0,1,0,1
,2017DUMM01,Matteo Dummar,2019,0,1,0,1
,2009ROTA01,Marco Rota,2021,0,1,0,1
,2017BRAS01,Luca Brasini,2022,0,1,0,1
,2020GUAR01,Marco Guarasci,2022,0,1,0,1
,2021MARC03,Chiara Marcucci,2024,0,1,0,1
,2021NARB01,Dario Angelo Narbone,2024,0,1,0,1
,2021ZANG01,Alessandro Zangolini,2024,0,1,0,1
,2016LONG18,Gabriele Longo,2025,0,1,0,1
,2018CENT02,Giovanni Centili,2025,0,1,0,1
,2020GUAR01,Marco Guarasci,2025,0,1,0,1
,2024RICC01,Riccardo Fiumefreddo,2025,0,1,0,1
