#,WCAid,Nome,Anno,Oro,Argento,Bronzo,Totale
1,2009SANT01,Simone Santarsiero,2011,4,1,0,5
2,2009SANT01,Simone Santarsiero,2010,2,1,0,3
3,2009CIAN01,Simone Ciancotti,2011,2,0,1,3
4,2008BRAN01,Filippo Brancaleoni,2009,2,0,0,2
5,2008BRAN01,Filippo Brancaleoni,2010,1,4,1,6
6,2009SANT01,Simone Santarsiero,2012,1,0,0,1
7,2008SIMO02,Nicolò Simone,2011,0,3,0,3
8,2009SANT01,Simone Santarsiero,2009,0,1,1,2
,2008SIMO02,Nicolò Simone,2010,0,1,1,2
,2008BRAN01,Filippo Brancaleoni,2011,0,1,1,2
11,2009RUSS02,Massimo Russo,2010,0,1,0,1
,2009MORI05,Paolo Moriello,2011,0,1,0,1
,2008SIMO02,Nicolò Simone,2012,0,1,0,1
14,2010PAUL02,Cesare Paulin,2011,0,0,2,2
15,2009MUSC01,Gianluca Muscò,2009,0,0,1,1
,2009DIMP01,Mariano D'Imperio,2010,0,0,1,1
,2009ROTA01,Marco Rota,2010,0,0,1,1
,2009CONT01,Giovanni Contardi,2011,0,0,1,1
,2010CHAN14,Letian Mattia Chang,2011,0,0,1,1
,2009CIAN01,Simone Ciancotti,2012,0,0,1,1
