#,WCAid,Nome,Anno,Oro,Argento,Bronzo,Totale
1,2014MAUR06,Lorenzo Mauro,2017,9,1,0,10
2,2022CHIA12,Ismaele Chiarella,2025,8,1,3,12
3,2014MAUR06,Lorenzo Mauro,2018,8,1,0,9
4,2018ARNE04,Davide Arnesano,2022,7,2,1,10
5,2014MARC05,Leonardo Marchizza,2016,6,0,0,6
6,2022CHIA12,Ismaele Chiarella,2024,5,4,2,11
7,2021MAGG02,Matteo Maggiali,2023,5,0,2,7
8,2018ARNE04,Davide Arnesano,2023,4,3,1,8
9,2014MARC05,Leonardo Marchizza,2015,4,2,0,6
10,2023NICC01,Flavio Niccoli,2025,4,0,0,4
11,2022MACC01,Evan Maccagnan,2023,3,2,2,7
12,2018CENT02,Giovanni Centili,2024,3,1,2,6
,2022BOLD01,Loris Boldi,2025,3,1,2,6
,2024RICC01,Riccardo Fiumefreddo,2025,3,1,2,6
15,2018ARNE04,Davide Arnesano,2024,3,1,1,5
16,2021ZANG01,Alessandro Zangolini,2025,2,3,2,7
17,2022BOLD01,Loris Boldi,2024,2,1,5,8
18,2021SALE01,Sofia Saletnich,2023,2,1,2,5
,2022MACC01,Evan Maccagnan,2024,2,1,2,5
,2021MARI04,Paolo Marino,2025,2,1,2,5
,2021SALE01,Sofia Saletnich,2025,2,1,2,5
22,2009TESS01,Giovanni Tessari,2011,2,1,1,4
,2012MAZZ02,Matteo Mazzini,2014,2,1,1,4
,2018ARNE04,Davide Arnesano,2025,2,1,1,4
25,2014MAUR06,Lorenzo Mauro,2019,2,1,0,3
26,2015MANN02,Marco Manno,2019,2,0,1,3
,2021ZANG01,Alessandro Zangolini,2024,2,0,1,3
28,2009KASE02,Christian Kaserer,2011,2,0,0,2
,2011MONT02,Kevin Montano,2014,2,0,0,2
30,2014MAUR06,Lorenzo Mauro,2023,1,5,1,7
31,2018CENT02,Giovanni Centili,2023,1,3,2,6
32,2022MACC01,Evan Maccagnan,2025,1,3,1,5
,2024SIME01,Antonello Simeone,2025,1,3,1,5
34,2010MELC01,Jacopo Melchiorri,2011,1,3,0,4
,2014MAUR06,Lorenzo Mauro,2024,1,3,0,4
36,2012CAPP01,Gabriele Cappelletti,2016,1,2,3,6
37,2012NICO02,Alessandro Nicolì,2019,1,2,1,4
,2023POLI03,Riccardo Polignano,2025,1,2,1,4
39,2019GIOR02,Marco Giordano,2022,1,2,0,3
,2017DUMM01,Matteo Dummar,2024,1,2,0,3
,2019GIOR02,Marco Giordano,2024,1,2,0,3
42,2013FURL01,Mattia Furlan,2015,1,1,2,4
,2022CHIA11,Giosuele Chiarella,2024,1,1,2,4
44,2013DISA01,Edoardo Disarò,2015,1,1,1,3
,2015MANN02,Marco Manno,2018,1,1,1,3
,2018CENT02,Giovanni Centili,2022,1,1,1,3
,2019DONA03,Yuri Donati,2023,1,1,1,3
,2012NICO02,Alessandro Nicolì,2025,1,1,1,3
49,2011MONT02,Kevin Montano,2013,1,1,0,2
,2012BERE01,Andrea Beretta,2013,1,1,0,2
,2009ROTA01,Marco Rota,2015,1,1,0,2
,2012NICO02,Alessandro Nicolì,2015,1,1,0,2
,2015FAVA01,Alessandro Fava,2016,1,1,0,2
,2018ARNE04,Davide Arnesano,2021,1,1,0,2
55,2009CONT01,Giovanni Contardi,2011,1,0,1,2
,2009ROTA01,Marco Rota,2017,1,0,1,2
,2017DUMM01,Matteo Dummar,2019,1,0,1,2
,2022CARU01,Gianluca Caruso,2025,1,0,1,2
,2023PICH01,Maximilian Pichler,2025,1,0,1,2
60,2009CONT01,Giovanni Contardi,2009,1,0,0,1
,2009MASI01,Federico Masilunas,2010,1,0,0,1
,2009DIMP01,Mariano D'Imperio,2012,1,0,0,1
,2009TESS01,Giovanni Tessari,2012,1,0,0,1
,2010GAMB01,Gabriele Gambino,2013,1,0,0,1
,2012MAZZ02,Matteo Mazzini,2013,1,0,0,1
,2012PICC01,Angelo Piccolella,2013,1,0,0,1
,2012CAPP01,Gabriele Cappelletti,2014,1,0,0,1
,2012PICC01,Angelo Piccolella,2014,1,0,0,1
,2014MAUR06,Lorenzo Mauro,2015,1,0,0,1
,2012NICO02,Alessandro Nicolì,2016,1,0,0,1
,2015CHIA01,Michele Chiaravalloti,2017,1,0,0,1
,2014MAUR06,Lorenzo Mauro,2020,1,0,0,1
,2018ARNE04,Davide Arnesano,2020,1,0,0,1
,2012NICO02,Alessandro Nicolì,2021,1,0,0,1
,2018LOCA01,Valerio Locatelli,2021,1,0,0,1
,2012NICO02,Alessandro Nicolì,2022,1,0,0,1
,2018GALL13,Alessandro Galloppo,2024,1,0,0,1
,2018RIMI01,Flavio Rimi,2024,1,0,0,1
,2018RIMI01,Flavio Rimi,2025,1,0,0,1
,2021MAGG02,Matteo Maggiali,2025,1,0,0,1
,2022CAPA01,Rocco Daniele Capanna,2025,1,0,0,1
,2022RANN01,Rocco Rannisi,2025,1,0,0,1
83,2012NICO02,Alessandro Nicolì,2017,0,6,1,7
84,2021SALE01,Sofia Saletnich,2024,0,5,1,6
85,2019GIOR02,Marco Giordano,2023,0,4,2,6
86,2009ROTA01,Marco Rota,2018,0,3,1,4
,2023CREA02,Christian Crea,2025,0,3,1,4
88,2021MARI04,Paolo Marino,2023,0,2,3,5
89,2012CAPP01,Gabriele Cappelletti,2015,0,2,2,4
,2015MANN02,Marco Manno,2017,0,2,2,4
91,2012NICO02,Alessandro Nicolì,2018,0,2,1,3
,2021MAGG02,Matteo Maggiali,2022,0,2,1,3
93,2009DIMP01,Mariano D'Imperio,2014,0,2,0,2
,2014MARC05,Leonardo Marchizza,2014,0,2,0,2
,2017SORR02,Mattia Sorrentino,2019,0,2,0,2
,2014MAUR06,Lorenzo Mauro,2025,0,2,0,2
97,2022CHIA11,Giosuele Chiarella,2025,0,1,4,5
98,2009DIMP01,Mariano D'Imperio,2013,0,1,2,3
,2015FAVA01,Alessandro Fava,2017,0,1,2,3
