#,WCAid,Nome,Anno,Oro,Argento,Bronzo,Totale
1,2021CALZ01,Alessandro Calzoni,2023,7,3,1,11
2,2014MAUR06,Lorenzo Mauro,2023,7,1,0,8
3,2014MAUR06,Lorenzo Mauro,2018,6,1,0,7
4,2021CALZ01,Alessandro Calzoni,2024,5,1,2,8
5,2021CALZ01,Alessandro Calzoni,2025,5,1,1,7
6,2009ROTA01,Marco Rota,2016,5,0,0,5
,2021ITAL02,Manfredi Italiano,2025,5,0,0,5
8,2013MANO03,Alessandro Manopulo,2014,4,3,0,7
9,2013MANO03,Alessandro Manopulo,2015,4,2,0,6
10,2014MAUR06,Lorenzo Mauro,2024,4,1,0,5
,2014MAUR06,Lorenzo Mauro,2025,4,1,0,5
12,2009ROTA01,Marco Rota,2015,3,2,1,6
13,2021CALZ01,Alessandro Calzoni,2022,3,0,2,5
14,2009ROTA01,Marco Rota,2017,3,0,1,4
15,2009ROTA01,Marco Rota,2014,3,0,0,3
16,2014MAUR06,Lorenzo Mauro,2017,2,3,2,7
17,2014MAUR06,Lorenzo Mauro,2022,2,3,0,5
18,2015BOND02,Marianna Bondi,2017,2,1,1,4
,2009ROTA01,Marco Rota,2025,2,1,1,4
20,2013FURL01,Mattia Furlan,2016,2,1,0,3
,2024RUSS02,Gabriel La Russa,2025,2,1,0,3
22,2021ITAL02,Manfredi Italiano,2023,2,0,2,4
23,2014MAUR06,Lorenzo Mauro,2019,2,0,0,2
,2015BOND02,Marianna Bondi,2019,2,0,0,2
,2017DUMM01,Matteo Dummar,2019,2,0,0,2
,2014MAUR06,Lorenzo Mauro,2021,2,0,0,2
,2015BOND02,Marianna Bondi,2022,2,0,0,2
28,2023CREA02,Christian Crea,2025,1,5,1,7
29,2009ROTA01,Marco Rota,2024,1,3,1,5
30,2021ITAL02,Manfredi Italiano,2024,1,2,2,5
,2022CORB03,Leonardo Corbelli,2025,1,2,2,5
,2022RANN01,Rocco Rannisi,2025,1,2,2,5
33,2009ROTA01,Marco Rota,2019,1,2,1,4
34,2013FURL01,Mattia Furlan,2015,1,1,1,3
35,2012NICO02,Alessandro Nicolì,2015,1,1,0,2
,2017DUMM01,Matteo Dummar,2022,1,1,0,2
,2018CENT02,Giovanni Centili,2023,1,1,0,2
,2024RICC01,Riccardo Fiumefreddo,2025,1,1,0,2
39,2013DISA01,Edoardo Disarò,2015,1,0,3,4
40,2018RIMI01,Flavio Rimi,2024,1,0,2,3
,2021ZANG01,Alessandro Zangolini,2025,1,0,2,3
42,2012NICO02,Alessandro Nicolì,2019,1,0,1,2
,2019GIOR02,Marco Giordano,2022,1,0,1,2
,2019COLA01,Valerio Colapinto,2023,1,0,1,2
,2022SOZI01,Carolina Sozio,2025,1,0,1,2
46,2011MONT02,Kevin Montano,2014,1,0,0,1
,2014PIZZ02,Christian Pizzasegola,2015,1,0,0,1
,2012NICO02,Alessandro Nicolì,2016,1,0,0,1
,2016PAOL01,Damiano Di Paola,2016,1,0,0,1
,2012NICO02,Alessandro Nicolì,2020,1,0,0,1
,2015BOND02,Marianna Bondi,2020,1,0,0,1
,2017DUMM01,Matteo Dummar,2024,1,0,0,1
,2021PARO01,Matteo Parodi,2024,1,0,0,1
,2023SANN03,Lorenzo Sannibale,2024,1,0,0,1
55,2022RANN01,Rocco Rannisi,2024,0,4,2,6
56,2009ROTA01,Marco Rota,2023,0,3,3,6
57,2015BOND02,Marianna Bondi,2018,0,3,0,3
,2021PARO01,Matteo Parodi,2023,0,3,0,3
,2023SANN03,Lorenzo Sannibale,2025,0,3,0,3
60,2021ZANG01,Alessandro Zangolini,2023,0,2,2,4
,2016PAOL01,Damiano Di Paola,2025,0,2,2,4
62,2016PAOL01,Damiano Di Paola,2019,0,2,1,3
63,2012CAPP01,Gabriele Cappelletti,2016,0,2,0,2
,2013MANO03,Alessandro Manopulo,2016,0,2,0,2
,2022MACC01,Evan Maccagnan,2025,0,2,0,2
66,2022CORB03,Leonardo Corbelli,2024,0,1,4,5
67,2009ROTA01,Marco Rota,2018,0,1,3,4
68,2012NICO02,Alessandro Nicolì,2017,0,1,2,3
,2019GIOR02,Marco Giordano,2023,0,1,2,3
70,2013DISA01,Edoardo Disarò,2014,0,1,1,2
,2013FURL01,Mattia Furlan,2019,0,1,1,2
,2009ROTA01,Marco Rota,2021,0,1,1,2
,2009ROTA01,Marco Rota,2022,0,1,1,2
,2022CHIA11,Giosuele Chiarella,2024,0,1,1,2
,2022SOZI01,Carolina Sozio,2024,0,1,1,2
76,2009DIMP01,Mariano D'Imperio,2014,0,1,0,1
,2011MINI01,Marco Minici,2014,0,1,0,1
,2012CAPP01,Gabriele Cappelletti,2014,0,1,0,1
,2009SANT01,Simone Santarsiero,2016,0,1,0,1
,2014CAST15,Martino Castellana,2016,0,1,0,1
,2015BOND02,Marianna Bondi,2016,0,1,0,1
,2012NICO02,Alessandro Nicolì,2018,0,1,0,1
,2016PAOL01,Damiano Di Paola,2018,0,1,0,1
,2017DUMM01,Matteo Dummar,2018,0,1,0,1
,2014MAUR06,Lorenzo Mauro,2020,0,1,0,1
,2015MANN02,Marco Manno,2020,0,1,0,1
,2018RAND05,Leonardo Randacio,2022,0,1,0,1
,2021GALA01,Riccardo Galanti,2022,0,1,0,1
,2016PAOL01,Damiano Di Paola,2024,0,1,0,1
,2018ARNE04,Davide Arnesano,2024,0,1,0,1
,2018CENT02,Giovanni Centili,2024,0,1,0,1
,2022MACC01,Evan Maccagnan,2024,0,1,0,1
,2023CREA02,Christian Crea,2024,0,1,0,1
,2018RIMI01,Flavio Rimi,2025,0,1,0,1
,2023NICC01,Flavio Niccoli,2025,0,1,0,1
,2023PISC02,Giovanni Piscitelli,2025,0,1,0,1
,2023POLI03,Riccardo Polignano,2025,0,1,0,1
98,2012NICO02,Alessandro Nicolì,2025,0,0,3,3
99,2009SANT01,Simone Santarsiero,2014,0,0,2,2
,2022MACC01,Evan Maccagnan,2023,0,0,2,2
,2021MARC03,Chiara Marcucci,2024,0,0,2,2
,2021ZANG01,Alessandro Zangolini,2024,0,0,2,2
