#,WCAid,Nome,Anno,Oro,Argento,Bronzo,Totale
1,2018RICC02,Alessandro Ricci,2024,7,0,1,8
2,2018RICC02,Alessandro Ricci,2023,6,1,0,7
3,2009ROTA01,Marco Rota,2017,5,1,0,6
4,2018RIMI01,Flavio Rimi,2023,5,0,2,7
5,2018RIMI01,Flavio Rimi,2025,5,0,0,5
6,2014MAUR06,Lorenzo Mauro,2018,4,3,1,8
7,2017DUMM01,Matteo Dummar,2023,4,1,3,8
8,2008SANT01,Andrea Santambrogio,2014,4,0,0,4
,2018RICC02,Alessandro Ricci,2022,4,0,0,4
10,2009ROTA01,Marco Rota,2018,3,4,0,7
11,2017DUMM01,Matteo Dummar,2024,3,3,0,6
12,2018RIMI01,Flavio Rimi,2024,3,1,1,5
13,2022MART13,Valerio Martinelli,2025,3,1,0,4
14,2018RICC02,Alessandro Ricci,2021,3,0,0,3
15,2017DUMM01,Matteo Dummar,2022,2,4,2,8
,2021ZANG01,Alessandro Zangolini,2025,2,4,2,8
17,2017DUMM01,Matteo Dummar,2021,2,2,2,6
,2022FIOR04,Francesco Fiore,2025,2,2,2,6
19,2022COPP03,Vincenzo Coppola,2024,2,2,0,4
20,2009ROTA01,Marco Rota,2016,2,1,1,4
21,2011MOSC01,Andrea Moscatello,2012,2,1,0,3
22,2008SANT01,Andrea Santambrogio,2013,2,0,1,3
,2017DUMM01,Matteo Dummar,2019,2,0,1,3
24,2008SANT01,Andrea Santambrogio,2011,2,0,0,2
,2011MOSC01,Andrea Moscatello,2013,2,0,0,2
26,2019MAZZ02,Pietro Mazza,2023,1,4,0,5
27,2013DISA01,Edoardo Disarò,2015,1,3,0,4
28,2023EMIL02,Matteo Emiliani,2025,1,2,3,6
29,2009ROTA01,Marco Rota,2019,1,2,0,3
30,2010MAZZ02,Marco Mazzuoccolo,2011,1,1,0,2
,2007POLI01,Lorenzo Vigani Poli,2014,1,1,0,2
,2008SANT01,Andrea Santambrogio,2016,1,1,0,2
,2012CANT02,Simone Cantarelli,2016,1,1,0,2
,2018RICC02,Alessandro Ricci,2019,1,1,0,2
,2014MAUR06,Lorenzo Mauro,2023,1,1,0,2
,2021ZANG01,Alessandro Zangolini,2024,1,1,0,2
,2022PISC01,Giovanni Pische,2024,1,1,0,2
38,2018RIMI01,Flavio Rimi,2022,1,0,2,3
39,2009ROTA01,Marco Rota,2015,1,0,1,2
,2014MAUR06,Lorenzo Mauro,2019,1,0,1,2
,2023PICH01,Maximilian Pichler,2024,1,0,1,2
,2023PICH01,Maximilian Pichler,2025,1,0,1,2
43,2010GIRO01,Paolo Girotti,2010,1,0,0,1
,2007POLI01,Lorenzo Vigani Poli,2011,1,0,0,1
,2008SANT01,Andrea Santambrogio,2012,1,0,0,1
,2007POLI01,Lorenzo Vigani Poli,2015,1,0,0,1
,2008SANT01,Andrea Santambrogio,2015,1,0,0,1
,2011MOSC01,Andrea Moscatello,2015,1,0,0,1
,2017DUMM01,Matteo Dummar,2020,1,0,0,1
,2018RICC02,Alessandro Ricci,2020,1,0,0,1
,2009ROTA01,Marco Rota,2021,1,0,0,1
,2018BUZZ01,Gabriele Buzzi,2023,1,0,0,1
53,2014MAUR06,Lorenzo Mauro,2017,0,4,0,4
54,2021ZANG01,Alessandro Zangolini,2023,0,3,2,5
55,2019MAZZ02,Pietro Mazza,2022,0,3,0,3
,2019MAZZ02,Pietro Mazza,2024,0,3,0,3
57,2022FIOR04,Francesco Fiore,2024,0,2,3,5
58,2009ROTA01,Marco Rota,2023,0,2,2,4
59,2010QUAG01,Damiano Quagliotto,2013,0,2,0,2
,2016PAOL01,Damiano Di Paola,2019,0,2,0,2
,2018RIMI01,Flavio Rimi,2021,0,2,0,2
62,2022COPP03,Vincenzo Coppola,2023,0,1,2,3
,2014MAUR06,Lorenzo Mauro,2025,0,1,2,3
,2022PISC01,Giovanni Pische,2025,0,1,2,3
65,2010GIRO01,Paolo Girotti,2011,0,1,1,2
