#,WCAid,Nome,Oro,Argento,Bronzo,Totale
1,2008CIRN01,Fabrizio Cirnigliaro,27,9,5,41
2,2019RIGO01,Mattia Rigo,10,6,0,16
3,2014MAUR06,Lorenzo Mauro,9,9,2,20
4,2022RIPO01,Riccardo Ripoldi,6,6,1,13
5,2007POLI01,Lorenzo Vigani Poli,6,5,9,20
6,2012PLAC01,Gianluca Placenti,2,4,1,7
7,2014BENT02,Roberto Bentivoglio,2,4,0,6
8,2015CITT01,Marco Edoardo Cittar,2,2,1,5
9,2009LEVR01,Marco Levrero,2,1,0,3
10,2021PAND01,Alessio Pandin,2,0,5,7
11,2011TRON02,Sebastiano Tronto,1,4,2,7
12,2009DIMP01,Mariano D'Imperio,1,4,0,5
13,2009BOSI01,Isabella Bosia,1,3,1,5
14,2009ROTA01,Marco Rota,1,2,4,7
15,2018CENT02,Giovanni Centili,1,2,2,5
16,2022MACC01,Evan Maccagnan,1,2,0,3
17,2010BELO01,Marco Belotti,1,1,0,2
18,2022CHIA04,Luca Chiandotto,1,0,1,2
19,2009CIAN01,Simone Ciancotti,1,0,0,1
,2011MONT02,Kevin Montano,1,0,0,1
,2022SCHI01,Giacomo Schiava,1,0,0,1
,2023DANT01,Michel D'Antoni,1,0,0,1
23,2017DUMM01,Matteo Dummar,0,4,1,5
24,2024MESR01,Yassine Mesraoui,0,2,2,4
25,2017TENU01,Enrico Tenuti,0,2,0,2
26,2009COLO03,Matteo Colombo,0,1,5,6
27,2018ARNE04,Davide Arnesano,0,1,2,3
28,2009BEVA01,Stefano Bevacqua,0,1,1,2
,2022SOZI01,Carolina Sozio,0,1,1,2
30,2009CAIM01,Danilo Caimano,0,1,0,1
,2010MAYE01,Michael Volpe Mayerle,0,1,0,1
,2010MAZZ02,Marco Mazzuoccolo,0,1,0,1
,2011GALA01,Filippo Galasso,0,1,0,1
,2011MOSC01,Andrea Moscatello,0,1,0,1
,2012NICO02,Alessandro Nicolì,0,1,0,1
,2016PANN02,Daniele Panna,0,1,0,1
,2018LOCA01,Valerio Locatelli,0,1,0,1
,2021PIUM01,Fabio Piumatti,0,1,0,1
39,2014BACC01,Gabriele Bacchieri,0,0,3,3
40,2008ZOFF01,Tommaso Zoffoli,0,0,2,2
,2009CONT01,Giovanni Contardi,0,0,2,2
,2010PAUL02,Cesare Paulin,0,0,2,2
,2012ORTU01,Federico Ortu,0,0,2,2
44,2008BRAN01,Filippo Brancaleoni,0,0,1,1
,2008MONT04,Andrea Egidio Monti,0,0,1,1
,2010DECA01,Nicola De Cao,0,0,1,1
,2012PICC01,Angelo Piccolella,0,0,1,1
,2013MACA01,Francesco Macaluso,0,0,1,1
,2013MANO03,Alessandro Manopulo,0,0,1,1
,2018SCAL02,Claudio Fabrizio Scalia,0,0,1,1
,2019GIAN04,Eleonora Giangrandi,0,0,1,1
,2020GUAR01,Marco Guarasci,0,0,1,1
,2021SALE01,Sofia Saletnich,0,0,1,1
