#,WCAid,Nome,Oro,Argento,Bronzo,Totale
1,2018LOCA01,Valerio Locatelli,25,3,8,36
2,2009IOVA01,Massimiliano Iovane,14,9,2,25
3,2014MAUR06,Lorenzo Mauro,12,9,11,32
4,2011BARB03,Nicola Barbaro,11,2,2,15
5,2011TRON02,Sebastiano Tronto,10,7,4,21
6,2008SIMO01,Riccardo Simone,10,6,4,20
7,2009CONT01,Giovanni Contardi,8,7,3,18
8,2009MORI05,Paolo Moriello,6,10,5,21
9,2018RIMI01,Flavio Rimi,5,7,3,15
10,2009DIMP01,Mariano D'Imperio,5,4,8,17
11,2013FURL01,Mattia Furlan,5,2,5,12
12,2017BRAS01,Luca Brasini,4,5,5,14
13,2022TALA03,Valentina Trinca Talalin,4,4,4,12
14,2021MARI04,Paolo Marino,3,7,7,17
15,2009PROV01,Matteo Provasi,3,6,7,16
16,2021SALE01,Sofia Saletnich,3,4,4,11
17,2021CALZ01,Alessandro Calzoni,3,4,3,10
18,2011ANNE01,Edoardo Annesi,2,4,3,9
19,2009CAIM01,Danilo Caimano,2,2,1,5
20,2014RAPO01,Tommaso Raposio,1,5,5,11
21,2012NICO02,Alessandro Nicolì,1,3,10,14
22,2008BRAN01,Filippo Brancaleoni,1,3,6,10
23,2019CORO04,Giacomo Daniele Corò,1,1,4,6
24,2013DISA01,Edoardo Disarò,1,1,3,5
25,2019GIOR02,Marco Giordano,1,1,1,3
26,2009MACR01,Davide Macri,1,1,0,2
27,2014ZONT01,Giorgio Zonta,1,0,1,2
28,2012CAPP01,Gabriele Cappelletti,0,5,4,9
29,2018CENT02,Giovanni Centili,0,2,5,7
30,2015FAVA01,Alessandro Fava,0,2,3,5
31,2023BARB17,Nicolò Barbisan,0,2,2,4
32,2017GALE01,Mattia Galentino,0,2,1,3
33,2008SANT01,Andrea Santambrogio,0,2,0,2
34,2010SARD01,Andrea Lo Sardo,0,1,3,4
,2021ZANG01,Alessandro Zangolini,0,1,3,4
,2022CORB03,Leonardo Corbelli,0,1,3,4
37,2015PERU02,Vittorio Maria Perucatti,0,1,2,3
,2021ITAL02,Manfredi Italiano,0,1,2,3
39,2009LEVR01,Marco Levrero,0,1,1,2
,2014CORS01,Costantino Corsi,0,1,1,2
,2016PALI02,Caterina Pali,0,1,1,2
,2017PIER03,Davide Pierrat,0,1,1,2
,2019SART01,Daniel Sartori,0,1,1,2
,2022MANT03,Alberto Mantovani,0,1,1,2
45,2009LUNA01,Luigi Lunardon,0,1,0,1
,2014MATT05,Gabriele De Matteis,0,1,0,1
,2016CANC03,Samuele Cancemi,0,1,0,1
,2017GUID01,Carolina Guidetti,0,1,0,1
,2017TENU01,Enrico Tenuti,0,1,0,1
,2019MONT15,Alberto Monterisi,0,1,0,1
,2021PARO01,Matteo Parodi,0,1,0,1
,2022CONT10,Angelo Contrino,0,1,0,1
,2022RANN01,Rocco Rannisi,0,1,0,1
54,2009SANT01,Simone Santarsiero,0,0,5,5
55,2009ROTA01,Marco Rota,0,0,3,3
56,2011BASA01,Federico Basanese,0,0,2,2
,2012ORTU01,Federico Ortu,0,0,2,2
58,2008ZOFF01,Tommaso Zoffoli,0,0,1,1
,2009BEVA01,Stefano Bevacqua,0,0,1,1
,2009BOSI01,Isabella Bosia,0,0,1,1
,2012CANT02,Simone Cantarelli,0,0,1,1
,2017MAVE01,Leonardo Maver,0,0,1,1
,2017PILL04,Lorenzo Pillon,0,0,1,1
,2018PERE31,Mattia Perego,0,0,1,1
,2018RICC02,Alessandro Ricci,0,0,1,1
,2019CRIP01,Jordan Crippa,0,0,1,1
,2022CARU01,Gianluca Caruso,0,0,1,1
,2022ROSS02,Fabio Rossi,0,0,1,1
,2023CREA02,Christian Crea,0,0,1,1
,2023DANT01,Michel D'Antoni,0,0,1,1
,2024PAGO01,Giuseppe Pagoria,0,0,1,1
,2024RICC01,Riccardo Fiumefreddo,0,0,1,1
