#,WCAid,Nome,Oro,Argento,Bronzo,Totale
1,2008BRAN01,Filippo Brancaleoni,10,3,1,14
2,2009SANT01,Simone Santarsiero,9,6,0,15
3,2007POLI01,Lorenzo Vigani Poli,2,1,2,5
4,2010QUAG01,Damiano Quagliotto,1,3,0,4
5,2009CIAN01,Simone Ciancotti,1,0,2,3
6,2009GRAV01,Lorenzo Gravina,1,0,1,2
7,2009RUSS02,Massimo Russo,1,0,0,1
,2010VERD01,Francesco Verdicchio,1,0,0,1
,2012ANON04,Anonymous,1,0,0,1
10,2008VIGA01,Giacomo Vigani,0,2,1,3
,2009DIMP01,Mariano D'Imperio,0,2,1,3
12,2010CHIO01,Roberta Chiovoloni,0,1,1,2
,2010GIRO01,Paolo Girotti,0,1,1,2
14,2007SCIB01,Emanuele Scibilia,0,1,0,1
,2009GIOR02,Martino Giorgetti,0,1,0,1
,2009KASE02,Christian Kaserer,0,1,0,1
,2009LEVR01,Marco Levrero,0,1,0,1
,2011CECC01,Miriana Cecchi,0,1,0,1
19,2008SIMO02,Nicolò Simone,0,0,2,2
,2009CONT01,Giovanni Contardi,0,0,2,2
21,2006BINE01,Matteo Binello,0,0,1,1
,2008CIRN01,Fabrizio Cirnigliaro,0,0,1,1
,2009GAGG02,Andrea Gaggioli,0,0,1,1
,2009MANZ01,Luigi Manzo,0,0,1,1
,2009MORI05,Paolo Moriello,0,0,1,1
,2009SOAR01,Giosuè Soardo,0,0,1,1
,2010CHAN14,Letian Mattia Chang,0,0,1,1
,2010FRAN04,Mattia Francardi,0,0,1,1
