#,WCAid,Nome,Oro,Argento,Bronzo,Totale
1,2021CALZ01,Alessandro Calzoni,21,4,0,25
2,2009DIMP01,Mariano D'Imperio,19,7,4,30
3,2015FAVA01,Alessandro Fava,12,9,2,23
4,2013FURL01,Mattia Furlan,10,6,1,17
5,2021SALE01,Sofia Saletnich,9,3,9,21
6,2010BELO01,Marco Belotti,7,8,2,17
7,2007POLI01,Lorenzo Vigani Poli,5,7,11,23
8,2008LOMB01,Pasquale Lombardozzi,5,2,1,8
9,2018RIMI01,Flavio Rimi,4,1,7,12
10,2009ROTA01,Marco Rota,3,16,6,25
11,2014MAUR06,Lorenzo Mauro,3,8,7,18
12,2020GUAR01,Marco Guarasci,3,4,6,13
13,2007CHIM01,Giulio Chiminelli,3,0,1,4
14,2018CENT02,Giovanni Centili,2,8,1,11
15,2017TENU01,Enrico Tenuti,2,5,10,17
16,2011BARB03,Nicola Barbaro,2,3,3,8
17,2016GAMM01,Vincenzo Maria Gammino,2,0,3,5
18,2009LUNA01,Luigi Lunardon,2,0,1,3
19,2009CONT01,Giovanni Contardi,1,4,9,14
20,2019VALL10,Tea Raimondi Vallesi,1,3,3,7
21,2023DANT01,Michel D'Antoni,1,2,1,4
22,2021PIUM01,Fabio Piumatti,1,1,2,4
23,2018ARNE04,Davide Arnesano,1,1,1,3
24,2022CHIA12,Ismaele Chiarella,1,0,3,4
25,2009CORR02,Lorenzo Corradin,1,0,1,2
26,2013DISA01,Edoardo Disarò,0,4,1,5
27,2021PARO01,Matteo Parodi,0,3,2,5
28,2021ZANG01,Alessandro Zangolini,0,3,1,4
29,2009TESS01,Giovanni Tessari,0,2,2,4
,2022RANN01,Rocco Rannisi,0,2,2,4
31,2011ZORZ01,Stefano Zorzi,0,2,0,2
,2022TALA03,Valentina Trinca Talalin,0,2,0,2
33,2017BRAS01,Luca Brasini,0,1,3,4
34,2010SARD01,Andrea Lo Sardo,0,1,2,3
35,2012ANON04,Anonymous,0,1,1,2
,2016LONG18,Gabriele Longo,0,1,1,2
,2017DUMM01,Matteo Dummar,0,1,1,2
,2021MARC03,Chiara Marcucci,0,1,1,2
,2021NARB01,Dario Angelo Narbone,0,1,1,2
40,2009GIOB01,Piermarco Giobbi,0,1,0,1
,2009GLIO01,Alfredo Glioti,0,1,0,1
,2011MARC02,Giovanni Marchetti,0,1,0,1
,2012PICC01,Angelo Piccolella,0,1,0,1
,2014COLI02,Gianluca Colizzi,0,1,0,1
,2024RICC01,Riccardo Fiumefreddo,0,1,0,1
46,2011MONT02,Kevin Montano,0,0,4,4
47,2008BRAN01,Filippo Brancaleoni,0,0,2,2
,2008ROSS01,Paolo Rosson,0,0,2,2
,2012MAZZ02,Matteo Mazzini,0,0,2,2
,2014RAPO01,Tommaso Raposio,0,0,2,2
51,2009CIAN01,Simone Ciancotti,0,0,1,1
,2009KASE02,Christian Kaserer,0,0,1,1
,2010GAMB01,Gabriele Gambino,0,0,1,1
,2012CAPP01,Gabriele Cappelletti,0,0,1,1
,2012NICO02,Alessandro Nicolì,0,0,1,1
,2021NOVI01,Alessia Novizio,0,0,1,1
,2022MACC01,Evan Maccagnan,0,0,1,1
,2022SOZI01,Carolina Sozio,0,0,1,1
,2025HUAN57,Tommaso Huang,0,0,1,1
