#,WCAid,Nome,Oro,Argento,Bronzo,Totale
1,2014MAUR06,Lorenzo Mauro,29,11,2,42
2,2021CALZ01,Alessandro Calzoni,20,5,6,31
3,2009ROTA01,Marco Rota,18,14,14,46
4,2013MANO03,Alessandro Manopulo,8,7,0,15
5,2021ITAL02,Manfredi Italiano,8,2,5,15
6,2015BOND02,Marianna Bondi,7,5,2,14
7,2012NICO02,Alessandro Nicolì,4,3,6,13
8,2017DUMM01,Matteo Dummar,4,2,0,6
9,2013FURL01,Mattia Furlan,3,3,3,9
10,2024RUSS02,Gabriel La Russa,2,1,0,3
11,2022RANN01,Rocco Rannisi,1,6,4,11
12,2016PAOL01,Damiano Di Paola,1,6,3,10
13,2023CREA02,Christian Crea,1,6,1,8
14,2022CORB03,Leonardo Corbelli,1,3,6,10
15,2021PARO01,Matteo Parodi,1,3,1,5
16,2023SANN03,Lorenzo Sannibale,1,3,0,4
17,2021ZANG01,Alessandro Zangolini,1,2,7,10
18,2018CENT02,Giovanni Centili,1,2,0,3
19,2013DISA01,Edoardo Disarò,1,1,5,7
20,2019GIOR02,Marco Giordano,1,1,3,5
21,2018RIMI01,Flavio Rimi,1,1,2,4
,2022SOZI01,Carolina Sozio,1,1,2,4
23,2024RICC01,Riccardo Fiumefreddo,1,1,0,2
24,2019COLA01,Valerio Colapinto,1,0,2,3
25,2011MONT02,Kevin Montano,1,0,0,1
,2014PIZZ02,Christian Pizzasegola,1,0,0,1
27,2022MACC01,Evan Maccagnan,0,3,2,5
28,2012CAPP01,Gabriele Cappelletti,0,3,1,4
29,2018ARNE04,Davide Arnesano,0,1,3,4
30,2009SANT01,Simone Santarsiero,0,1,2,3
,2022CHIA11,Giosuele Chiarella,0,1,2,3
32,2015MANN02,Marco Manno,0,1,1,2
,2018RAND05,Leonardo Randacio,0,1,1,2
34,2009DIMP01,Mariano D'Imperio,0,1,0,1
,2011MINI01,Marco Minici,0,1,0,1
,2014CAST15,Martino Castellana,0,1,0,1
,2021GALA01,Riccardo Galanti,0,1,0,1
,2023NICC01,Flavio Niccoli,0,1,0,1
,2023PISC02,Giovanni Piscitelli,0,1,0,1
,2023POLI03,Riccardo Polignano,0,1,0,1
41,2013FARC01,Diego Eustachio Farchione,0,0,2,2
,2014MATT05,Gabriele De Matteis,0,0,2,2
,2017PIER03,Davide Pierrat,0,0,2,2
,2021MARC03,Chiara Marcucci,0,0,2,2
45,2010CHAN14,Letian Mattia Chang,0,0,1,1
,2011TRON02,Sebastiano Tronto,0,0,1,1
,2012CANT02,Simone Cantarelli,0,0,1,1
,2013MACA01,Francesco Macaluso,0,0,1,1
,2014BENT02,Roberto Bentivoglio,0,0,1,1
,2014BORG02,Federico Borgogni,0,0,1,1
,2014MARC05,Leonardo Marchizza,0,0,1,1
,2014RAPO01,Tommaso Raposio,0,0,1,1
,2015FAVA01,Alessandro Fava,0,0,1,1
,2016CUFA01,Martin Cufar,0,0,1,1
,2016SPRI01,Israel Springer,0,0,1,1
,2016TADD01,Filippo Taddei,0,0,1,1
,2018VITA01,Alessio Vitale,0,0,1,1
,2020TOMA01,Fabian Tomasović,0,0,1,1
,2021NARB01,Dario Angelo Narbone,0,0,1,1
,2021PAND01,Alessio Pandin,0,0,1,1
,2021SALE01,Sofia Saletnich,0,0,1,1
,2022CORO03,Giovanni Montagna Coronado,0,0,1,1
,2023BARB17,Nicolò Barbisan,0,0,1,1
