#,WCAid,Nome,Oro,Argento,Bronzo,Totale
1,2018RICC02,Alessandro Ricci,22,2,1,25
2,2017DUMM01,Matteo Dummar,14,11,9,34
3,2018RIMI01,Flavio Rimi,14,4,5,23
4,2009ROTA01,Marco Rota,13,12,7,32
5,2008SANT01,Andrea Santambrogio,11,1,1,13
6,2014MAUR06,Lorenzo Mauro,6,9,6,21
7,2011MOSC01,Andrea Moscatello,5,1,2,8
8,2021ZANG01,Alessandro Zangolini,3,8,4,15
9,2007POLI01,Lorenzo Vigani Poli,3,2,1,6
10,2022MART13,Valerio Martinelli,3,1,1,5
11,2022FIOR04,Francesco Fiore,2,4,5,11
12,2022COPP03,Vincenzo Coppola,2,3,2,7
13,2023PICH01,Maximilian Pichler,2,0,2,4
14,2019MAZZ02,Pietro Mazza,1,10,0,11
15,2013DISA01,Edoardo Disarò,1,3,0,4
16,2023EMIL02,Matteo Emiliani,1,2,3,6
17,2022PISC01,Giovanni Pische,1,2,2,5
18,2010GIRO01,Paolo Girotti,1,1,1,3
,2012CANT02,Simone Cantarelli,1,1,1,3
20,2010MAZZ02,Marco Mazzuoccolo,1,1,0,2
21,2018BUZZ01,Gabriele Buzzi,1,0,0,1
22,2010QUAG01,Damiano Quagliotto,0,4,0,4
23,2016PAOL01,Damiano Di Paola,0,3,1,4
24,2018CENT02,Giovanni Centili,0,2,3,5
25,2018ARNE04,Davide Arnesano,0,1,4,5
26,2014BORG02,Federico Borgogni,0,1,2,3
,2022FUSE01,Daniele Fusella,0,1,2,3
28,2008SIMO02,Nicolò Simone,0,1,1,2
,2011MONT02,Kevin Montano,0,1,1,2
,2012MONC02,Giacomo Monco,0,1,1,2
,2012NICO02,Alessandro Nicolì,0,1,1,2
,2013GUAR02,Lorenzo Guarini,0,1,1,2
,2021MARC03,Chiara Marcucci,0,1,1,2
,2021PARO01,Matteo Parodi,0,1,1,2
,2023GEMO02,Francesco Giuseppe Gemona,0,1,1,2
36,2009GLIO01,Alfredo Glioti,0,1,0,1
,2009LUNA01,Luigi Lunardon,0,1,0,1
,2009SANT01,Simone Santarsiero,0,1,0,1
,2012ANON04,Anonymous,0,1,0,1
,2013FURL01,Mattia Furlan,0,1,0,1
,2014BENT01,Claudio Bentivoglio,0,1,0,1
,2014GERL01,Federico Gerli,0,1,0,1
,2025HUAN57,Tommaso Huang,0,1,0,1
44,2023CARO07,Leonardo Carosio,0,0,3,3
45,2008ZOFF01,Tommaso Zoffoli,0,0,2,2
46,2009GRAV01,Lorenzo Gravina,0,0,1,1
,2010MELC01,Jacopo Melchiorri,0,0,1,1
,2010PAUL02,Cesare Paulin,0,0,1,1
,2011BARB03,Nicola Barbaro,0,0,1,1
,2012CAPP01,Gabriele Cappelletti,0,0,1,1
,2012PLAC01,Gianluca Placenti,0,0,1,1
,2014AURE01,Lorenzo Aureli,0,0,1,1
,2015FAVA01,Alessandro Fava,0,0,1,1
,2017PIER03,Davide Pierrat,0,0,1,1
,2017TENU01,Enrico Tenuti,0,0,1,1
,2017VOCI01,Riccardo Voci,0,0,1,1
,2017ZANI02,Michele Zanirato,0,0,1,1
,2018CANO06,Simone Canova,0,0,1,1
,2018CATA01,Diego Catà,0,0,1,1
,2018REST04,Paolo Resta,0,0,1,1
,2019CORO04,Giacomo Daniele Corò,0,0,1,1
,2019RIGO01,Mattia Rigo,0,0,1,1
,2021MAGG02,Matteo Maggiali,0,0,1,1
,2022RIPO01,Riccardo Ripoldi,0,0,1,1
