#,WCAid,Nome,Competizione,Numero,Eventi
1,2014MAUR06,Lorenzo Mauro,Sicily Open 2018,13,333 222 444 555 666 777 333bf 333fm 333oh minx pyram skewb sq1
2,2009CONT01,Giovanni Contardi,Roma Open 2011,12,333 222 444 555 666 777 333bf 333oh minx pyram magic mmagic
3,2014MAUR06,Lorenzo Mauro,Malpensa: IC Qualifier 2023,11,555 666 777 333bf 333fm 333oh minx pyram sq1 444bf 333mbf
4,2013FURL01,Mattia Furlan,Slovenian Open 2016,10,222 444 555 666 777 333oh clock minx skewb sq1
,2014MAUR06,Lorenzo Mauro,Etna Open 2018,10,333 222 444 777 333bf 333oh minx pyram skewb sq1
,2014MAUR06,Lorenzo Mauro,Eretum Open 2018,10,333 222 444 333bf 333fm 333oh pyram skewb sq1 333mbf
,2014MAUR06,Lorenzo Mauro,Italian Open 2018,10,222 666 333bf 333oh clock minx pyram skewb sq1 444bf
,2014MAUR06,Lorenzo Mauro,Italian Championship 2018,10,222 444 333bf 333fm 333oh pyram skewb sq1 444bf 333mbf
,2017TENU01,Enrico Tenuti,Estonian Championship 2025,10,333 444 555 666 777 333bf 333oh minx sq1 333mbf
,2021NARB01,Dario Angelo Narbone,Sicily Summer: Arancina Open 2024,10,333 222 444 555 666 777 333fm minx pyram skewb
11,2013FURL01,Mattia Furlan,Slovenian Open 2015,9,444 555 666 777 333oh clock minx pyram skewb
,2013FURL01,Mattia Furlan,Ljubljana Open 2016,9,333 444 555 666 777 333oh clock minx skewb
,2013FURL01,Mattia Furlan,Slovenian Open 2017,9,333 444 555 666 777 333oh clock minx skewb
,2013FURL01,Mattia Furlan,Slovenian Nationals 2019,9,333 444 555 666 777 333oh clock minx skewb
,2014MAUR06,Lorenzo Mauro,Road to IC - Monterotondo 2019,9,333 222 444 333bf 333oh pyram 444bf 555bf 333mbf
,2018CENT02,Giovanni Centili,Anzio Open 2023,9,222 444 555 666 777 333oh minx pyram skewb
,2018CENT02,Giovanni Centili,Manduria: Back to Apulia 2024,9,333 222 444 555 666 333oh minx pyram skewb
,2018CENT02,Giovanni Centili,Sicily Summer: Arancino Open 2024,9,333 222 444 555 666 777 333bf 333oh pyram
,2018CENT02,Giovanni Centili,Vieni a Cubare in Puglia Open 2024,9,222 555 666 777 333bf 333oh minx pyram sq1
,2018RIMI01,Flavio Rimi,Sicily Fall 2025,9,333 222 444 555 666 777 333oh pyram skewb
,2021PARO01,Matteo Parodi,Sicily Winter 2025,9,222 444 555 666 333oh clock minx pyram skewb
22,2007POLI01,Lorenzo Vigani Poli,Italian Championship 2012,8,555 666 777 333fm clock minx sq1 magic
,2008BRAN01,Filippo Brancaleoni,Lithuanian Open 2013,8,222 444 555 777 333fm 333oh clock minx
,2009CONT01,Giovanni Contardi,S.P.Q.R. Italian Rubik's Cube Championship 2010,8,333 222 444 555 666 777 333oh 333mbf
,2009CONT01,Giovanni Contardi,Italian Championship 2013,8,333 444 555 666 777 333bf 333oh minx
,2009DIMP01,Mariano D'Imperio,South Italian Open 2009,8,444 555 666 777 333fm minx pyram magic
,2012NICO02,Alessandro Nicolì,Eretum Open 2015,8,333 222 444 555 333oh pyram skewb 333mbf
,2012NICO02,Alessandro Nicolì,Apulia Open 2016,8,333 444 555 333bf 333oh minx pyram skewb
,2012NICO02,Alessandro Nicolì,Salento Cubing Open 2020,8,333 444 666 333fm 333oh pyram skewb sq1
,2013FURL01,Mattia Furlan,PoliMi Open 2015,8,444 555 666 777 clock minx pyram skewb
