#,WCAid,Nome,Competizione,Numero,Eventi
1,2013FURL01,Mattia Furlan,Mantua Summer 2017,8,333 444 555 666 777 333oh clock minx
,2014MAUR06,Lorenzo Mauro,Etna Open 2018,8,333 222 444 333bf 333oh pyram skewb sq1
,2014MAUR06,Lorenzo Mauro,Sicily Open 2018,8,222 444 333bf 333oh minx pyram skewb sq1
4,2009CONT01,Giovanni Contardi,Roma Open 2011,7,333 444 555 777 333oh minx pyram
,2013FURL01,Mattia Furlan,PoliMi Open 2015,7,444 555 666 777 clock minx skewb
,2013FURL01,Mattia Furlan,Italian Open 2018,7,444 555 666 777 333oh clock minx
,2014MAUR06,Lorenzo Mauro,Road to IC - Monterotondo 2019,7,222 333bf 333oh pyram 444bf 555bf 333mbf
,2018RIMI01,Flavio Rimi,Sicily Fall 2025,7,333 222 444 555 666 333oh pyram
9,2013DISA01,Edoardo Disarò,Rome Summer Open 2016,6,333 222 444 555 333fm 333oh
,2013FURL01,Mattia Furlan,Italian Open 2015,6,444 555 666 777 clock minx
,2013FURL01,Mattia Furlan,Slovenian Open 2016,6,444 555 666 777 clock skewb
,2013FURL01,Mattia Furlan,Vienna Open 2016,6,555 666 777 333oh minx skewb
,2014MAUR06,Lorenzo Mauro,Eretum Open 2018,6,222 333bf 333oh pyram skewb 333mbf
,2014MAUR06,Lorenzo Mauro,Malpensa: IC Qualifier 2023,6,555 666 333bf 333oh 444bf 333mbf
15,2009IOVA01,Massimiliano Iovane,South Italian Open 2009,5,333 222 444 333bf 333oh
,2009IOVA01,Massimiliano Iovane,Roma Winter Open 2011,5,333 222 555 666 333oh
,2011TRON02,Sebastiano Tronto,PoliMi Open 2016,5,333bf 333fm 333oh 444bf 555bf
,2013FURL01,Mattia Furlan,Big CubingItaly 2014,5,333 444 555 666 777
,2013FURL01,Mattia Furlan,Dueville Open 2015,5,222 444 555 777 pyram
,2013FURL01,Mattia Furlan,Slovenian Open 2015,5,444 555 666 777 clock
,2013FURL01,Mattia Furlan,Milan Cube Days 2015,5,444 555 666 777 minx
,2013FURL01,Mattia Furlan,Italian Championship 2016,5,444 555 666 777 minx
,2013FURL01,Mattia Furlan,Ljubljana Open 2016,5,444 555 666 777 clock
,2013FURL01,Mattia Furlan,Slovenian Open 2017,5,444 555 666 777 clock
,2013FURL01,Mattia Furlan,Ljubljana Open 2017,5,444 555 666 777 clock
,2013FURL01,Mattia Furlan,Italian Championship 2017,5,444 555 666 777 minx
,2013FURL01,Mattia Furlan,Slovenian Nationals 2019,5,555 666 777 333oh clock
,2014MAUR06,Lorenzo Mauro,Milan Saturday Open 2018,5,222 444 333bf sq1 444bf
,2014MAUR06,Lorenzo Mauro,Italian Open 2018,5,222 333bf pyram skewb 444bf
,2018CENT02,Giovanni Centili,Vieni a Cubare in Puglia Open 2024,5,222 666 333bf minx pyram
,2018RIMI01,Flavio Rimi,Sicily Summer: Arancina Open 2024,5,444 555 minx pyram skewb
,2021MARI04,Paolo Marino,Bündner Open 2025,5,555 666 777 333oh clock
,2021SALE01,Sofia Saletnich,Calabria Open 2025,5,333 555 333oh minx pyram
,2021SALE01,Sofia Saletnich,Salento Tarallucci e Cubing 2025,5,333 555 333oh minx pyram
35,2008BRAN01,Filippo Brancaleoni,Lithuanian Open 2013,4,222 333fm 333oh clock
,2008CIRN01,Fabrizio Cirnigliaro,Italian Rubik's Cube Championship 2011,4,333bf 444bf 555bf 333mbf
,2008CIRN01,Fabrizio Cirnigliaro,Valencia Summer Open 2013,4,333bf 444bf 555bf 333mbf
,2009CONT01,Giovanni Contardi,Italian Rubik's Cube Championship 2011,4,333 444 555 333oh
,2009CONT01,Giovanni Contardi,Italian Open 2011,4,333 444 555 333oh
,2009CONT01,Giovanni Contardi,Mantua Winter 2011,4,333 444 555 333fm
,2009CONT01,Giovanni Contardi,Italian Championship 2013,4,333 444 555 333oh
,2009DIMP01,Mariano D'Imperio,Eretum Open 2015,4,333 555 333oh minx
,2009IOVA01,Massimiliano Iovane,Halloween Cube Open 2010,4,333 222 555 333oh
,2009IOVA01,Massimiliano Iovane,Italian Open 2013,4,222 555 666 333oh
,2009IOVA01,Massimiliano Iovane,San Marino Nationals 2019,4,333 222 666 333oh
,2009MORI05,Paolo Moriello,Legnano Open 2012,4,333 444 555 333oh
,2009MORI05,Paolo Moriello,Eretum Open 2014,4,333 444 555 333oh
,2009MORI05,Paolo Moriello,Monterotondo Open 2015,4,333 444 555 333oh
,2009MORI05,Paolo Moriello,Capodrise Open 2016,4,333 444 555 333oh
,2009ROTA01,Marco Rota,Italian Open 2017,4,333fm minx skewb sq1
,2011BARB03,Nicola Barbaro,Apulia Open 2016,4,333 555 333oh minx
,2011MONT02,Kevin Montano,Italian Open 2013,4,333bf 333fm pyram 333mbf
,2013DISA01,Edoardo Disarò,Topkek Rubik's Open 2015,4,222 555 pyram skewb
,2013DISA01,Edoardo Disarò,Bugella Open 2015,4,333 222 444 555
,2013FURL01,Mattia Furlan,Road to IC - Bologna 2019,4,555 666 777 minx
,2013FURL01,Mattia Furlan,Prebold Open 2019,4,333 444 555 333oh
,2014MAUR06,Lorenzo Mauro,Verona Open 2017,4,222 333bf 333oh pyram
,2014MAUR06,Lorenzo Mauro,Rovigo Open 2018,4,333 222 444 555
,2014MAUR06,Lorenzo Mauro,Mantua Winter 2018,4,222 333bf 333oh pyram
,2014MAUR06,Lorenzo Mauro,Fiorano Open 2018,4,333 333bf pyram skewb
,2014MAUR06,Lorenzo Mauro,San Marino Nationals 2018,4,222 333bf 333oh pyram
,2014MAUR06,Lorenzo Mauro,Monza Euro Warmup 2018,4,222 333bf pyram sq1
,2014MAUR06,Lorenzo Mauro,Turin Winter Open 2019,4,333 333bf skewb sq1
,2014MAUR06,Lorenzo Mauro,Mantua Winter 2019,4,333 222 444 333oh
,2014MAUR06,Lorenzo Mauro,Romagna Open 2019,4,222 333oh minx pyram
,2014MAUR06,Lorenzo Mauro,Italian Championship 2022,4,222 333bf 444bf 333mbf
,2014MAUR06,Lorenzo Mauro,Italian Championship 2023,4,333bf skewb 444bf 555bf
,2017DUMM01,Matteo Dummar,Egypt Fall 2024,4,333bf pyram skewb sq1
,2018CENT02,Giovanni Centili,Anzio Open 2023,4,222 444 555 666
,2018CENT02,Giovanni Centili,Eretum VII: Farewell 2023,4,333 444 666 777
,2018CENT02,Giovanni Centili,Manduria: Back to Apulia 2024,4,222 555 666 pyram
,2018LOCA01,Valerio Locatelli,Sicily Summer: Arancino Open 2024,4,333 222 333bf 333oh
,2018RIMI01,Flavio Rimi,Eretum I 2025,4,444 555 666 333oh
,2019SART01,Daniel Sartori,Crevalcore al Cubo 2025,4,333 444 555 666
,2021CALZ01,Alessandro Calzoni,Sicily Winter 2025,4,555 333oh minx skewb
,2021MARI04,Paolo Marino,Ticino Winter Open 2023,4,555 666 333oh clock
,2021MARI04,Paolo Marino,Almost Flaminia Open 2024,4,555 666 777 clock
,2021MARI04,Paolo Marino,Muggiò: IC Qualifier 2024,4,555 666 777 clock
,2021MARI04,Paolo Marino,Museo d'Arte Gallarate Open 2024,4,333 444 333oh clock
,2021MARI04,Paolo Marino,Sonvico Saturday Solves 2025,4,444 555 666 clock
,2021MARI04,Paolo Marino,Sanda Winter 2025,4,555 666 777 clock
,2021MARI04,Paolo Marino,Südtirol Open 2025,4,555 666 777 clock
,2021MARI04,Paolo Marino,Muggiò: IC Qualifier 2025,4,555 666 777 clock
,2021ZANG01,Alessandro Zangolini,Sardinia Open 2025,4,222 pyram skewb sq1
85,2007POLI01,Lorenzo Vigani Poli,Schio Open 2012,3,444 555 magic
