#,WCAid,Nome,Numero,Eventi
1,2014MAUR06,Lorenzo Mauro,16,333 222 444 555 666 777 333bf 333fm 333oh minx pyram skewb sq1 444bf 555bf 333mbf
2,2018CENT02,Giovanni Centili,13,333 222 444 555 666 777 333bf 333fm minx pyram skewb 444bf 333mbf
3,2013FURL01,Mattia Furlan,11,333 222 444 555 666 777 333oh clock minx pyram skewb
4,2007POLI01,Lorenzo Vigani Poli,10,222 444 555 666 777 333bf 333fm minx sq1 333mbf
,2013DISA01,Edoardo Disarò,10,333 222 444 555 666 333fm 333oh pyram skewb sq1
,2018RIMI01,Flavio Rimi,10,333 222 444 555 666 333oh minx pyram skewb sq1
7,2009CONT01,Giovanni Contardi,9,333 444 555 777 333bf 333fm 333oh minx pyram
,2009ROTA01,Marco Rota,9,222 333bf 333fm minx pyram skewb sq1 444bf 333mbf
9,2009DIMP01,Mariano D'Imperio,8,333 222 555 333bf 333oh minx pyram 333mbf
,2009MORI05,Paolo Moriello,8,333 222 444 555 666 777 333fm 333oh
,2011TRON02,Sebastiano Tronto,8,333 222 333bf 333fm 333oh 444bf 555bf 333mbf
,2016GAMM01,Vincenzo Maria Gammino,8,333 444 555 666 777 333bf 333fm minx
,2017DUMM01,Matteo Dummar,8,333bf 333fm clock pyram skewb sq1 444bf 555bf
,2021MARI04,Paolo Marino,8,333 444 555 666 777 333oh clock pyram
,2021SALE01,Sofia Saletnich,8,333 444 555 666 777 333oh minx pyram
16,2009IOVA01,Massimiliano Iovane,7,333 222 444 555 666 333bf 333oh
,2012NICO02,Alessandro Nicolì,7,333 444 333bf 333fm 333oh pyram skewb
18,2011MONT02,Kevin Montano,6,222 333bf 333fm pyram skewb 333mbf
,2017BRAS01,Luca Brasini,6,444 555 666 777 333fm 333oh
,2018LOCA01,Valerio Locatelli,6,333 222 444 333bf 333oh pyram
21,2008BRAN01,Filippo Brancaleoni,5,222 333bf 333fm 333oh clock
,2008SIMO01,Riccardo Simone,5,333 555 666 777 333oh
,2009COLO03,Matteo Colombo,5,333bf 333fm clock 444bf 555bf
,2011BARB03,Nicola Barbaro,5,333 222 555 333oh minx
,2013MANO03,Alessandro Manopulo,5,333 444 555 clock skewb
,2019GIOR02,Marco Giordano,5,222 333fm 333oh pyram skewb
,2019SART01,Daniel Sartori,5,333 444 555 666 777
,2021PARO01,Matteo Parodi,5,222 444 clock skewb 444bf
,2022RIPO01,Riccardo Ripoldi,5,333bf clock 444bf 555bf 333mbf
30,2008CIRN01,Fabrizio Cirnigliaro,4,333bf 444bf 555bf 333mbf
,2009SANT01,Simone Santarsiero,4,333 333bf 333fm clock
,2010SARD01,Andrea Lo Sardo,4,222 444 666 333fm
,2011ANNE01,Edoardo Annesi,4,333 222 444 333oh
,2012PLAC01,Gianluca Placenti,4,333bf 444bf 555bf 333mbf
,2018ARNE04,Davide Arnesano,4,222 clock minx pyram
,2019CORO04,Giacomo Daniele Corò,4,333 222 444 333oh
,2019RIGO01,Mattia Rigo,4,333bf 444bf 555bf 333mbf
,2020TOMA01,Fabian Tomasović,4,222 444 333fm clock
,2021CALZ01,Alessandro Calzoni,4,555 333oh minx skewb
,2021ZANG01,Alessandro Zangolini,4,222 pyram skewb sq1
,2022CORB03,Leonardo Corbelli,4,333 222 444 skewb
,2022MACC01,Evan Maccagnan,4,222 333fm pyram 333mbf
,2023DANT01,Michel D'Antoni,4,222 333bf minx 333mbf
